term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
polic,13,139.0,4.93447393313,1807.0,64.1481611307,3.32169117647
disabl,9,139.0,4.93447393313,1251.0,44.4102653982,2.29963235294
ada,7,139.0,4.93447393313,973.0,34.5413175319,1.78860294118
sheehan,5,139.0,4.93447393313,695.0,24.6723696657,1.27757352941
respond,4,139.0,4.93447393313,556.0,19.7378957325,1.02205882353
someon,3,139.0,4.93447393313,417.0,14.8034217994,0.766544117647
appeal,4,104.25,4.64679186068,417.0,18.5871674427,0.766544117647
okay,3,139.0,4.93447393313,417.0,14.8034217994,0.766544117647
mental,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.657037815127
francisco,4,83.4,4.42364830936,333.6,17.6945932374,0.613235294118
violat,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
instruct,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
psychiatr,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
get,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
accommod,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
deputi,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
answer,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
danger,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
suspect,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
attorney,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
shot,2,139.0,4.93447393313,278.0,9.86894786626,0.511029411765
court,8,33.36,3.50735757749,266.88,28.0588606199,0.490588235294
assist,3,83.4,4.42364830936,250.2,13.2709449281,0.459926470588
encount,2,104.25,4.64679186068,208.5,9.29358372136,0.383272058824
should,3,69.5,4.24132675257,208.5,12.7239802577,0.383272058824
suprem,4,52.125,3.95364468012,208.5,15.8145787205,0.383272058824
san,4,46.3333333333,3.83586164446,185.333333333,15.3434465778,0.34068627451
appli,5,36.2608695652,3.59073918643,181.304347826,17.9536959322,0.333280051151
verbal,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
conclud,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
tell,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
boyd,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
request,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
crimin,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
casework,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
enforc,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
eric,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
deaf,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
barricad,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
sit,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
backup,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
option,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
powel,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
autism,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
plea,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
modif,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
tamir,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
patienc,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
unsurpris,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
trial,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
herrera,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
worthi,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
drawn,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
oblig,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
kajiem,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
denni,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
endang,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
shout,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
anderson,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
ezel,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
choos,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
unnecessarili,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
expect,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
milton,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
violent,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
ford,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
teresa,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
handl,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
brown,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
rice,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
taught,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
intervent,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
wait,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
gun,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
garner,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
africanamerican,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
room,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
ask,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
tanisha,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
arrest,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
assault,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
crisi,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
evalu,1,139.0,4.93447393313,139.0,4.93447393313,0.255514705882
argu,2,64.1538461538,4.1612840449,128.307692308,8.3225680898,0.235859728507
might,2,64.1538461538,4.1612840449,128.307692308,8.3225680898,0.235859728507
withdraw,1,119.142857143,4.7803232533,119.142857143,4.7803232533,0.219012605042
sought,1,119.142857143,4.7803232533,119.142857143,4.7803232533,0.219012605042
woman,1,119.142857143,4.7803232533,119.142857143,4.7803232533,0.219012605042
clear,2,59.5714285714,4.08717607274,119.142857143,8.17435214548,0.219012605042
negoti,1,104.25,4.64679186068,104.25,4.64679186068,0.191636029412
treat,1,104.25,4.64679186068,104.25,4.64679186068,0.191636029412
treatment,1,104.25,4.64679186068,104.25,4.64679186068,0.191636029412
interact,2,52.125,3.95364468012,104.25,7.90728936024,0.191636029412
care,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502,0.170343137255
color,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502,0.170343137255
fail,1,83.4,4.42364830936,83.4,4.42364830936,0.153308823529
resolut,1,83.4,4.42364830936,83.4,4.42364830936,0.153308823529
twice,1,83.4,4.42364830936,83.4,4.42364830936,0.153308823529
hospit,1,83.4,4.42364830936,83.4,4.42364830936,0.153308823529
case,3,27.8,3.3250360207,83.4,9.9751080621,0.153308823529
slow,1,83.4,4.42364830936,83.4,4.42364830936,0.153308823529
offic,4,19.8571428571,2.98856378408,79.4285714284,11.9542551363,0.146008403361
unlik,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956,0.139371657754
kill,2,36.2608695652,3.59073918643,72.5217391304,7.18147837286,0.13331202046
down,2,36.2608695652,3.59073918643,72.5217391304,7.18147837286,0.13331202046
reason,2,36.2608695652,3.59073918643,72.5217391304,7.18147837286,0.13331202046
thing,1,69.5,4.24132675257,69.5,4.24132675257,0.127757352941
behavior,1,69.5,4.24132675257,69.5,4.24132675257,0.127757352941
doe,2,33.36,3.50735757749,66.72,7.01471515498,0.122647058824
take,3,21.9473684211,3.08864724263,65.8421052633,9.26594172789,0.121033281734
could,2,32.0769230769,3.46813686434,64.1538461538,6.93627372868,0.117929864253
think,1,64.1538461538,4.1612840449,64.1538461538,4.1612840449,0.117929864253
face,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274,0.109506302521
polici,2,28.7586206897,3.35893757237,57.5172413794,6.71787514474,0.105730223124
dead,1,55.6,4.01818320126,55.6,4.01818320126,0.102205882353
instead,1,55.6,4.01818320126,55.6,4.01818320126,0.102205882353
would,3,18.1304347826,2.89759200587,54.3913043478,8.69277601761,0.0999840153452
read,1,52.125,3.95364468012,52.125,3.95364468012,0.0958180147059
futur,1,52.125,3.95364468012,52.125,3.95364468012,0.0958180147059
michael,1,52.125,3.95364468012,52.125,3.95364468012,0.0958180147059
train,1,52.125,3.95364468012,52.125,3.95364468012,0.0958180147059
congress,1,49.0588235294,3.8930200583,49.0588235294,3.8930200583,0.0901816608996
question,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446,0.0851715686274
cours,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446,0.0851715686274
consequ,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446,0.0851715686274
hall,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319,0.0806888544892
taken,1,41.7,3.7305011288,41.7,3.7305011288,0.0766544117647
child,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464,0.0730042016807
not,9,4.12871287129,1.41796570496,37.1584158416,12.7616913446,0.0683059114735
jame,1,36.2608695652,3.59073918643,36.2608695652,3.59073918643,0.0666560102301
provid,2,17.7446808511,2.87608580065,35.4893617022,5.7521716013,0.0652377972467
return,1,34.75,3.54817957201,34.75,3.54817957201,0.0638786764706
progress,1,34.75,3.54817957201,34.75,3.54817957201,0.0638786764706
allow,1,33.36,3.50735757749,33.36,3.50735757749,0.0613235294118
health,1,33.36,3.50735757749,33.36,3.50735757749,0.0613235294118
protect,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434,0.0589649321267
legal,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434,0.0589649321267
the,31,1.0,0.0,31.0,0.0,0.0569852941176
whether,1,30.8888888889,3.43039653635,30.8888888889,3.43039653635,0.0567810457517
less,1,30.8888888889,3.43039653635,30.8888888889,3.43039653635,0.0567810457517
feder,2,14.8928571429,2.70088171162,29.7857142858,5.40176342324,0.0547531512607
attack,1,29.7857142857,3.39402889218,29.7857142857,3.39402889218,0.0547531512605
enter,1,29.7857142857,3.39402889218,29.7857142857,3.39402889218,0.0547531512605
order,2,14.6315789474,2.68318213452,29.2631578948,5.36636426904,0.0537925696596
did,1,28.7586206897,3.35893757237,28.7586206897,3.35893757237,0.0528651115619
depart,1,28.7586206897,3.35893757237,28.7586206897,3.35893757237,0.0528651115619
men,1,27.8,3.3250360207,27.8,3.3250360207,0.0511029411765
account,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787,0.0494544592031
surviv,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787,0.0494544592031
peopl,6,4.4126984127,1.4844863873,26.4761904762,8.9069183238,0.0486694677871
person,2,12.6363636364,2.53657866033,25.2727272728,5.07315732066,0.0464572192515
simpli,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774,0.0450908304498
except,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774,0.0450908304498
everi,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774,0.0450908304498
thought,1,23.8285714286,3.17088534087,23.8285714286,3.17088534087,0.0438025210085
recogn,1,22.5405405405,3.11531548971,22.5405405405,3.11531548971,0.04143481717
right,1,21.9473684211,3.08864724263,21.9473684211,3.08864724263,0.0403444272447
write,1,20.85,3.03735394824,20.85,3.03735394824,0.0383272058824
still,1,18.9545454545,2.94204376844,18.9545454545,2.94204376844,0.0348429144384
list,1,18.9545454545,2.94204376844,18.9545454545,2.94204376844,0.0348429144384
act,1,17.7446808511,2.87608580065,17.7446808511,2.87608580065,0.0326188986233
settlement,1,17.7446808511,2.87608580065,17.7446808511,2.87608580065,0.0326188986233
law,1,17.7446808511,2.87608580065,17.7446808511,2.87608580065,0.0326188986233
and,17,1.00120048019,0.0011997601919,17.0204081632,0.0203959232623,0.0312875150059
with,12,1.36497545008,0.311136443187,16.379705401,3.73363731824,0.0301097525753
under,2,7.8679245283,2.06279430825,15.7358490566,4.1255886165,0.0289261931188
those,1,15.4444444444,2.73724935579,15.4444444444,2.73724935579,0.0283905228757
even,1,15.1636363636,2.71890021713,15.1636363636,2.71890021713,0.0278743315507
citi,4,3.62608695652,1.28815409344,14.5043478261,5.15261637376,0.0266624040921
addit,1,14.3793103448,2.66579039181,14.3793103448,2.66579039181,0.0264325557809
follow,2,7.06779661017,1.95554877789,14.1355932203,3.91109755578,0.0259845463609
