term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
geofeedia,20,1443.27272727,7.2746685411,28865.4545454,145.493370822,5.01397508171
jessen,13,1323.0,7.18765716411,17199.0,93.4395431334,2.98749348619
antimuslim,8,1443.27272727,7.2746685411,11546.1818182,58.1973483288,2.00559003268
“war,3,1443.27272727,7.2746685411,4329.81818181,21.8240056233,0.752096262256
charle,3,1443.27272727,7.2746685411,4329.81818181,21.8240056233,0.752096262256
“this,3,1443.27272727,7.2746685411,4329.81818181,21.8240056233,0.752096262256
“the,3,1443.27272727,7.2746685411,4329.81818181,21.8240056233,0.752096262256
“it,3,1443.27272727,7.2746685411,4329.81818181,21.8240056233,0.752096262256
instagram,12,345.130434783,5.84392241741,4141.5652174,70.1270690089,0.719396424769
aclu,19,193.609756098,5.26584456664,3678.58536586,100.051046766,0.638976092733
ageverifi,2,1443.27272727,7.2746685411,2886.54545454,14.5493370822,0.501397508171
we'r,2,1443.27272727,7.2746685411,2886.54545454,14.5493370822,0.501397508171
haven't,2,1443.27272727,7.2746685411,2886.54545454,14.5493370822,0.501397508171
hasn't,2,1443.27272727,7.2746685411,2886.54545454,14.5493370822,0.501397508171
couldn't,2,1443.27272727,7.2746685411,2886.54545454,14.5493370822,0.501397508171
gellman,2,1134.0,7.03350648429,2268.0,14.0670129686,0.393955184992
socal,2,1134.0,7.03350648429,2268.0,14.0670129686,0.393955184992
snowden,11,198.45,5.29053717923,2182.95,58.1959089715,0.379181865555
rizzo,7,299.547169811,5.70227190035,2096.83018868,39.9159033024,0.3642227182
onkel,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
nonconsensu,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
nondiscriminatori,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
nonobscen,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
nowdiscredit,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
nowth,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
topicbas,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
olc,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
threepag,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
suspicionless,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
opencarri,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
onkelixjpg,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
slahi,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
philando,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
coffinlik,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
stonedirect,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
propardon,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
stillsecret,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
soud,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
nobrain,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
quackenbush,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
“we,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
littletono,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
mytubethumbplay,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
mohamedou,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
ciacontract,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
discriminatorili,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
doesn't,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
don't,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
esha,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
evidencebas,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
fergusonmik,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
fortyf,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
can't,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
gordonlevitt,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
gunwield,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
heuvel,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
highlevel,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
highrank,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
hubbub,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
i'll,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
i'm,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
illdefin,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
likemind,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
lowenburg,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
ludmer,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
mediacoalitionorggardendistrictbookshopvstewart,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
midfebruari,1,1443.27272727,7.2746685411,1443.27272727,7.2746685411,0.250698754085
