term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
africanamerican,1,1221.23076923,7.10761445644,1221.23076923,7.10761445644,2.17688194159
apparatchik,1,1221.23076923,7.10761445644,1221.23076923,7.10761445644,2.17688194159
are—engag,1,1221.23076923,7.10761445644,1221.23076923,7.10761445644,2.17688194159
guaranti,1,547.448275862,6.30526798392,547.448275862,6.30526798392,0.975843628988
flint,6,39.7894736842,3.68360239701,238.736842105,22.1016143821,0.42555586828
unrespons,1,220.5,5.39589769489,220.5,5.39589769489,0.393048128342
harshest,1,168.893617021,5.12926903163,168.893617021,5.12926903163,0.301058140857
snowbal,1,167.115789474,5.1186869223,167.115789474,5.1186869223,0.297889107797
huron,1,136.862068966,4.9189736228,136.862068966,4.9189736228,0.243960907248
caustic,1,135.692307692,4.91038987911,135.692307692,4.91038987911,0.241875771287
debacl,1,98.0,4.58496747867,98.0,4.58496747867,0.174688057041
budgetari,1,70.2477876106,4.25202881463,70.2477876106,4.25202881463,0.125218872746
expedi,1,66.15,4.19192489056,66.15,4.19192489056,0.117914438503
trump,1,62.015625,4.12738636942,62.015625,4.12738636942,0.110544786096
overrul,1,51.2129032258,3.93599151642,51.2129032258,3.93599151642,0.0912885975504
snyder,1,48.6993865031,3.88566643254,48.6993865031,3.88566643254,0.0868081755848
sewer,1,42.0,3.73766961828,42.0,3.73766961828,0.0748663101604
the,40,1.0,0.0,40.0,0.0,0.0713012477718
imper,1,32.9377593361,3.49461969985,32.9377593361,3.49461969985,0.0587125834868
affluent,1,32.4,3.4781584228,32.4,3.4781584228,0.0577540106952
reconsid,1,31.3754940711,3.44602714462,31.3754940711,3.44602714462,0.0559277969182
ourselv,1,27.1849315068,3.30266283107,27.1849315068,3.30266283107,0.0484579884257
detroit,2,12.383775351,2.51638717642,24.767550702,5.03277435284,0.0441489317326
anyway,1,23.2445095168,3.14606895433,23.2445095168,3.14606895433,0.0414340633098
meantim,1,22.3921015515,3.10870828737,22.3921015515,3.10870828737,0.0399146195214
and,22,1.00006299213,6.29901420636e-05,22.0013858269,0.0013857831254,0.0392181565541
stark,1,21.8979310345,3.08639215905,21.8979310345,3.08639215905,0.0390337451595
water,10,2.13157894737,0.756862994946,21.3157894737,7.56862994946,0.0379960596679
caution,1,21.2815013405,3.0578382137,21.2815013405,3.0578382137,0.0379349400009
discontinu,2,10.2227945911,2.32461999075,20.4455891822,4.6492399815,0.036444900503
toxic,1,20.1984732824,3.00560702147,20.1984732824,3.00560702147,0.036004408703
govern,13,1.50941243582,0.411720459754,19.6223616657,5.3523659768,0.0349774717748
stripe,1,18.4390243902,2.91446930948,18.4390243902,2.91446930948,0.0328681361679
michigan,2,8.97963800905,2.19495957071,17.9592760181,4.38991914142,0.0320129697292
municip,3,5.97966101695,1.78836388023,17.9389830509,5.36509164069,0.0319767968821
gambl,1,16.9796791444,2.83201728461,16.9796791444,2.83201728461,0.030266807744
health,6,2.71570304482,0.999050868232,16.2942182689,5.99430520939,0.029044952351
fundament,3,5.32930513595,1.67322086119,15.9879154079,5.01966258357,0.0284989579463
wholli,1,15.8285144566,2.76181302594,15.8285144566,2.76181302594,0.0282148207783
banner,1,15.236084453,2.72366659159,15.236084453,2.72366659159,0.0271587958164
rick,1,13.6980155306,2.61725097056,13.6980155306,2.61725097056,0.0244171399832
hazard,1,13.2742474916,2.58582587939,13.2742474916,2.58582587939,0.0236617602346
safeti,3,4.4235162998,1.48693492276,13.2705488994,4.46080476828,0.0236551673786
readili,1,12.5402843602,2.5289462112,12.5402843602,2.5289462112,0.0223534480574
manag,7,1.64484044758,0.497643387158,11.5138831331,3.48350371011,0.0205238558522
tunnel,1,11.3238231098,2.42690874631,11.3238231098,2.42690874631,0.0201850679319
inevit,1,11.0634146341,2.40364368571,11.0634146341,2.40364368571,0.0197208817007
undertaken,1,10.7488151659,2.37479553137,10.7488151659,2.37479553137,0.0191600983349
poison,1,10.584,2.35934342681,10.584,2.35934342681,0.0188663101604
complaint,1,10.1965317919,2.32204764207,10.1965317919,2.32204764207,0.0181756359927
that,10,1.00398406375,0.00397614837964,10.0398406375,0.0397614837964,0.0178963291221
adequ,1,9.0823798627,2.20633625769,9.0823798627,2.20633625769,0.0161896254237
ethic,1,8.93918918919,2.19044489035,8.93918918919,2.19044489035,0.0159343835814
cash,1,8.71828665568,2.16542273418,8.71828665568,2.16542273418,0.0155406179246
asset,1,8.63295269168,2.1555865893,8.63295269168,2.1555865893,0.0153885074718
citi,6,1.38618702523,0.326556830505,8.31712215138,1.95934098303,0.0148255296816
assur,1,7.94197098549,2.0721614794,7.94197098549,2.0721614794,0.0141568110258
protect,4,1.96460834055,0.67529290767,7.8584333622,2.70117163068,0.0140079026064
justifi,1,7.57804295943,2.02525498155,7.57804295943,2.02525498155,0.0135080979669
democraci,1,7.46754468485,2.010566255,7.46754468485,2.010566255,0.0133111313455
resid,3,2.39457013575,0.873203730723,7.18371040725,2.61961119217,0.0128051878917
clean,1,6.86975335353,1.92712820363,6.86975335353,1.92712820363,0.0122455496498
everyon,1,6.3964544722,1.85574384814,6.3964544722,1.85574384814,0.0114018796296
suspect,1,6.36312625251,1.85051980572,6.36312625251,1.85051980572,0.0113424710383
bottom,1,6.27261951798,1.83619405336,6.27261951798,1.83619405336,0.0111811399607
are,6,1.02990593578,0.0294674735827,6.17943561468,0.176804841496,0.0110150367463
calcul,1,6.12972972973,1.81315065921,6.12972972973,1.81315065921,0.0109264344558
not,6,1.01567398119,0.0155524130075,6.09404388714,0.093314478045,0.0108628233282
drink,1,6.01819560273,1.79478748063,6.01819560273,1.79478748063,0.0107276213952
draw,2,2.97247706422,1.08939563356,5.94495412844,2.17879126712,0.0105970661826
concert,1,5.55493351994,1.71468645541,5.55493351994,1.71468645541,0.00990184228153
environment,1,5.50867453158,1.70632403734,5.50867453158,1.70632403734,0.00981938419176
predomin,1,5.33467741935,1.67422841795,5.33467741935,1.67422841795,0.0095092289115
state,5,1.04771332409,0.0466100027668,5.23856662045,0.233050013834,0.00933790841435
worth,1,5.21037085658,1.65065103492,5.21037085658,1.65065103492,0.0092876485857
accomplish,1,5.17302052786,1.64345675928,5.17302052786,1.64345675928,0.00922107045964
readi,1,5.15789473684,1.6405284995,5.15789473684,1.6405284995,0.00919410826531
buy,1,5.12459651388,1.63405179293,5.12459651388,1.63405179293,0.00913475314417
but,5,1.01632417899,0.0161923720719,5.08162089495,0.0809618603595,0.00905814776283
have,5,1.01489484114,0.0147850023412,5.0744742057,0.073925011706,0.00904540856631
was,5,1.01127460348,0.0112115188626,5.0563730174,0.056057594313,0.00901314263351
elect,2,2.52280311457,0.925370630376,5.04560622914,1.85074126075,0.00899395049758
river,2,2.5204000635,0.924417644281,5.040800127,1.84883528856,0.00898538347059
expos,1,5.03680203046,1.61677136293,5.03680203046,1.61677136293,0.00897825673879
with,5,1.00119820899,0.00119749171339,5.00599104495,0.00598745856695,0.00892333519599
organ,3,1.6387283237,0.49392052867,4.9161849711,1.48176158601,0.00876325306791
matter,2,2.44773358002,0.895162527036,4.89546716004,1.79032505407,0.00872632292342
thing,2,2.40654843111,0.87819353468,4.81309686222,1.75638706936,0.00857949529807
blood,1,4.74902781932,1.55793992748,4.74902781932,1.55793992748,0.00846529023052
can,4,1.17626139142,0.162341096394,4.70504556568,0.649364385576,0.00838689049141
cost,2,2.31935719503,0.84129007618,4.63871439006,1.68258015236,0.00826865310171
inhabit,1,4.63803680982,1.53429117537,4.63803680982,1.53429117537,0.0082674452938
tax,1,4.5977410947,1.52556511651,4.5977410947,1.52556511651,0.0081956169246
ignor,1,4.58446433728,1.5226732695,4.58446433728,1.5226732695,0.00817195069034
chose,1,4.42105263158,1.48637781968,4.42105263158,1.48637781968,0.00788066422742
flow,1,4.41,1.48387468946,4.41,1.48387468946,0.00786096256684
question,2,2.20408163265,0.790310929014,4.4081632653,1.58062185803,0.00785768852995
recognit,1,4.40022172949,1.48165493272,4.40022172949,1.48165493272,0.00784353249463
popul,2,2.17807655371,0.778442172521,4.35615310742,1.55688434504,0.00776497880111
warn,1,4.33415233415,1.46652605112,4.33415233415,1.46652605112,0.00772576173645
decis,2,2.16,0.770108221696,4.32,1.54021644339,0.00770053475936
crisi,1,4.24832753546,1.44652538442,4.24832753546,1.44652538442,0.00757277635554
