term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
baha'i,10,139.0,4.93447393313,1390.0,49.3447393313,1.78893178893
baha'u'llah,5,139.0,4.93447393313,695.0,24.6723696657,0.894465894466
mediat,5,139.0,4.93447393313,695.0,24.6723696657,0.894465894466
mose,5,139.0,4.93447393313,695.0,24.6723696657,0.894465894466
prophet,3,139.0,4.93447393313,417.0,14.8034217994,0.53667953668
heaven,3,139.0,4.93447393313,417.0,14.8034217994,0.53667953668
divin,6,69.5,4.24132675257,417.0,25.4479605154,0.53667953668
manifest,3,139.0,4.93447393313,417.0,14.8034217994,0.53667953668
zoroast,3,139.0,4.93447393313,417.0,14.8034217994,0.53667953668
realiti,4,104.25,4.64679186068,417.0,18.5871674427,0.53667953668
lamp,3,139.0,4.93447393313,417.0,14.8034217994,0.53667953668
faith,6,52.125,3.95364468012,312.75,23.7218680807,0.40250965251
god,9,32.0769230769,3.46813686434,288.692307692,31.2132317791,0.371547371547
light,7,39.7142857143,3.68171096464,278.0,25.7719767525,0.357786357786
deni,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
abdu'lbaha,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
bearer,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
zoroastrian,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
wilt,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
thou,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
splendor,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
uniti,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
buddha,2,139.0,4.93447393313,278.0,9.86894786626,0.357786357786
spiritu,4,64.1538461538,4.1612840449,256.615384615,16.6451361796,0.330264330264
creator,2,119.142857143,4.7803232533,238.285714286,9.5606465066,0.30667402096
abraham,2,104.25,4.64679186068,208.5,9.29358372136,0.26833976834
ray,2,104.25,4.64679186068,208.5,9.29358372136,0.26833976834
teacher,2,104.25,4.64679186068,208.5,9.29358372136,0.26833976834
deliv,2,92.6666666667,4.52900882502,185.333333333,9.05801765004,0.238524238524
teach,4,46.3333333333,3.83586164446,185.333333333,15.3434465778,0.238524238524
same,11,16.68,2.81421039693,183.48,30.9563143662,0.236138996139
therefor,3,55.6,4.01818320126,166.8,12.0545496038,0.214671814672
throne,2,83.4,4.42364830936,166.8,8.84729661872,0.214671814672
proclaim,2,83.4,4.42364830936,166.8,8.84729661872,0.214671814672
soul,2,83.4,4.42364830936,166.8,8.84729661872,0.214671814672
bring,2,83.4,4.42364830936,166.8,8.84729661872,0.214671814672
illumin,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
fruit,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
…the,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
asid,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
revel,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
diffus,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
sight,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
mystic,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
utter,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
heret,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
trust,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
inasmuch,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
precept,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
glean,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
abid,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
accident,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
transcend,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
behold,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
krishna,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
muhammad,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
sectarian,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
welcom,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
cri,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
chaotic,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
reality…,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
shall,1,139.0,4.93447393313,139.0,4.93447393313,0.178893178893
