term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
room,12,139.0,4.93447393313,1668.0,59.2136871976,0.480691642651
retreat,12,139.0,4.93447393313,1668.0,59.2136871976,0.480691642651
too,11,119.142857143,4.7803232533,1310.57142857,52.5835557863,0.377686290655
cloth,9,139.0,4.93447393313,1251.0,44.4102653982,0.360518731988
ward,8,139.0,4.93447393313,1112.0,39.475791465,0.320461095101
patient,7,139.0,4.93447393313,973.0,34.5413175319,0.280403458213
lay,8,119.142857143,4.7803232533,953.142857144,38.2425860264,0.274680938658
vow,6,139.0,4.93447393313,834.0,29.6068435988,0.240345821326
priest,6,139.0,4.93447393313,834.0,29.6068435988,0.240345821326
baptism,6,139.0,4.93447393313,834.0,29.6068435988,0.240345821326
prayer,6,139.0,4.93447393313,834.0,29.6068435988,0.240345821326
paint,5,139.0,4.93447393313,695.0,24.6723696657,0.200288184438
wish,5,139.0,4.93447393313,695.0,24.6723696657,0.200288184438
hope,5,139.0,4.93447393313,695.0,24.6723696657,0.200288184438
done,5,139.0,4.93447393313,695.0,24.6723696657,0.200288184438
smell,5,139.0,4.93447393313,695.0,24.6723696657,0.200288184438
hospit,8,83.4,4.42364830936,667.2,35.3891864749,0.192276657061
visit,11,55.6,4.01818320126,611.6,44.2000152139,0.176253602305
mental,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.171675586661
get,4,139.0,4.93447393313,556.0,19.7378957325,0.16023054755
feast,4,139.0,4.93447393313,556.0,19.7378957325,0.16023054755
confin,4,139.0,4.93447393313,556.0,19.7378957325,0.16023054755
feel,4,139.0,4.93447393313,556.0,19.7378957325,0.16023054755
ask,4,139.0,4.93447393313,556.0,19.7378957325,0.16023054755
mott,4,139.0,4.93447393313,556.0,19.7378957325,0.16023054755
chaplain,4,139.0,4.93447393313,556.0,19.7378957325,0.16023054755
read,10,52.125,3.95364468012,521.25,39.5364468012,0.150216138329
away,5,104.25,4.64679186068,521.25,23.2339593034,0.150216138329
better,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.137340469329
worker,5,92.6666666667,4.52900882502,463.333333333,22.6450441251,0.133525456292
month,10,46.3333333333,3.83586164446,463.333333333,38.3586164446,0.133525456292
say,6,75.8181818182,4.32833812956,454.909090909,25.9700287774,0.131097720723
vic,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
laundri,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
met,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
item,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
reader,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
convers,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
morn,4,104.25,4.64679186068,417.0,18.5871674427,0.120172910663
disturb,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
kitchen,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
byberri,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
gill,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
yard,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
doctor,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
thing,6,69.5,4.24132675257,417.0,25.4479605154,0.120172910663
forget,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
quot,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
gather,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
dress,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
floor,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
spin,3,139.0,4.93447393313,417.0,14.8034217994,0.120172910663
street,7,59.5714285714,4.08717607274,417.0,28.6102325092,0.120172910663
huge,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.103005351997
mari,6,59.5714285714,4.08717607274,357.428571428,24.5230564364,0.103005351997
look,4,83.4,4.42364830936,333.6,17.6945932374,0.0961383285303
think,5,64.1538461538,4.1612840449,320.769230769,20.8064202245,0.0924407005098
hous,18,17.375,2.85503239145,312.75,51.3905830461,0.0901296829971
sent,3,104.25,4.64679186068,312.75,13.940375582,0.0901296829971
need,7,43.8947368421,3.78179442319,307.263157895,26.4725609623,0.0885484604884
enough,4,75.8181818182,4.32833812956,303.272727273,17.3133525182,0.0873984804821
stone,4,75.8181818182,4.32833812956,303.272727273,17.3133525182,0.0873984804821
hard,3,92.6666666667,4.52900882502,278.0,13.5870264751,0.0801152737752
constant,3,92.6666666667,4.52900882502,278.0,13.5870264751,0.0801152737752
thank,2,139.0,4.93447393313,278.0,9.86894786626,0.0801152737752
pray,2,139.0,4.93447393313,278.0,9.86894786626,0.0801152737752
