term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
div,104,139.0,4.93447393313,14456.0,513.185289046,3.23545210385
href,74,139.0,4.93447393313,10286.0,365.151071052,2.30214861235
class,158,46.3333333333,3.83586164446,7320.66666666,606.066139825,1.63846612951
meta,51,139.0,4.93447393313,7089.0,251.65817059,1.58661593554
svg,44,139.0,4.93447393313,6116.0,217.116853058,1.36884512086
https,34,139.0,4.93447393313,4726.0,167.772113726,1.05774395703
numlnum,30,139.0,4.93447393313,4170.0,148.034217994,0.933303491495
rel,26,139.0,4.93447393313,3614.0,128.296322261,0.808863025962
button,26,139.0,4.93447393313,3614.0,128.296322261,0.808863025962
content,50,69.5,4.24132675257,3475.0,212.066337629,0.777752909579
numcnum,23,139.0,4.93447393313,3197.0,113.492900462,0.715532676813
width,23,139.0,4.93447393313,3197.0,113.492900462,0.715532676813
mnum,22,139.0,4.93447393313,3058.0,108.558426529,0.68442256043
ariahidden,22,139.0,4.93447393313,3058.0,108.558426529,0.68442256043
octicon,22,139.0,4.93447393313,3058.0,108.558426529,0.68442256043
evenodd,22,139.0,4.93447393313,3058.0,108.558426529,0.68442256043
viewbox,22,139.0,4.93447393313,3058.0,108.558426529,0.68442256043
fillrul,22,139.0,4.93447393313,3058.0,108.558426529,0.68442256043
path,24,119.142857143,4.7803232533,2859.42857143,114.727758079,0.639979537026
arialabel,20,139.0,4.93447393313,2780.0,98.6894786626,0.622202327663
datagaclick,19,139.0,4.93447393313,2641.0,93.7550047295,0.59109221128
span,70,36.2608695652,3.59073918643,2538.26086956,251.35174305,0.568097777432
itemprop,15,139.0,4.93447393313,2085.0,74.017108997,0.466651745748
numzmnum,13,139.0,4.93447393313,1807.0,64.1481611307,0.404431512981
height,23,75.8181818182,4.32833812956,1743.81818182,99.5517769799,0.390290550989
github,12,139.0,4.93447393313,1668.0,59.2136871976,0.373321396598
btn,12,139.0,4.93447393313,1668.0,59.2136871976,0.373321396598
numhnumcnum,12,139.0,4.93447393313,1668.0,59.2136871976,0.373321396598
true,27,59.5714285714,4.08717607274,1608.42857143,110.353753964,0.359988489576
footer,11,139.0,4.93447393313,1529.0,54.2792132644,0.342211280215
numkashmir,10,139.0,4.93447393313,1390.0,49.3447393313,0.311101163832
appletouchicon,10,139.0,4.93447393313,1390.0,49.3447393313,0.311101163832
jsselectednavigationitem,10,139.0,4.93447393313,1390.0,49.3447393313,0.311101163832
dataselectedlink,10,139.0,4.93447393313,1390.0,49.3447393313,0.311101163832
nav,10,139.0,4.93447393313,1390.0,49.3447393313,0.311101163832
numz,10,139.0,4.93447393313,1390.0,49.3447393313,0.311101163832
numxnum,9,139.0,4.93447393313,1251.0,44.4102653982,0.279991047449
repositori,9,139.0,4.93447393313,1251.0,44.4102653982,0.279991047449
btnsm,9,139.0,4.93447393313,1251.0,44.4102653982,0.279991047449
header,9,139.0,4.93447393313,1251.0,44.4102653982,0.279991047449
appletouchiconnumxnumpng,9,139.0,4.93447393313,1251.0,44.4102653982,0.279991047449
nmvenutidsireligion,9,139.0,4.93447393313,1251.0,44.4102653982,0.279991047449
numanum,8,139.0,4.93447393313,1112.0,39.475791465,0.248880931065
navitem,8,139.0,4.93447393313,1112.0,39.475791465,0.248880931065
numissuepray,8,139.0,4.93447393313,1112.0,39.475791465,0.248880931065
tooltip,8,139.0,4.93447393313,1112.0,39.475791465,0.248880931065
nummeetingtxt,8,139.0,4.93447393313,1112.0,39.475791465,0.248880931065
datahotkey,8,139.0,4.93447393313,1112.0,39.475791465,0.248880931065
numjanuari,8,139.0,4.93447393313,1112.0,39.475791465,0.248880931065
reponavitem,6,139.0,4.93447393313,834.0,29.6068435988,0.186660698299
click,6,139.0,4.93447393313,834.0,29.6068435988,0.186660698299
numvnumcnum,6,139.0,4.93447393313,834.0,29.6068435988,0.186660698299
dsireligion,6,139.0,4.93447393313,834.0,29.6068435988,0.186660698299
link,20,39.7142857143,3.68171096464,794.285714286,73.6342192928,0.177772093618
pakistan,13,59.5714285714,4.08717607274,774.428571428,53.1332889456,0.173327791278
kashmir,6,119.142857143,4.7803232533,714.857142858,28.6819395198,0.159994884256
anonym,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
itemtyp,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
input,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
blog,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
camp,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
jspathseg,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
menu,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
src,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
numvnumanum,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
nofollow,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
crossorigin,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
numhnumvnumhnumvnumzmnum,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
itemscop,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
btngroupitem,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
twitter,5,139.0,4.93447393313,695.0,24.6723696657,0.155550581916
text,17,39.7142857143,3.68171096464,675.142857143,62.5890863989,0.151106279575
num,589,1.09592641261,0.0916000444971,645.500657027,53.9524262088,0.144471946515
version,22,27.8,3.3250360207,611.6,73.1507924554,0.136884512086
search,8,75.8181818182,4.32833812956,606.545454546,34.6267050365,0.135753235127
approv,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
ask,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
display,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
let,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
returnto,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
branchestag,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
datatabfilt,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
tab,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
opensourc,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
log,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
utfnum,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
numfnmvenuti,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
polic,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
numlnumlnum,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
githubcom,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
tag,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
datapjax,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
datapjaxtransi,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
formcontrol,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
numfdsireligion,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
file,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
login,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
item,4,139.0,4.93447393313,556.0,19.7378957325,0.124440465533
must,9,59.5714285714,4.08717607274,536.142857143,36.7845846547,0.119996163192
url,5,104.25,4.64679186068,521.25,23.2339593034,0.116662936437
want,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.106663256171
master,5,92.6666666667,4.52900882502,463.333333333,22.6450441251,0.103700387944
say,6,75.8181818182,4.32833812956,454.909090909,25.9700287774,0.101814926345
filter,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
dnone,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
html,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
stylesheet,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
jsrepopjaxcontain,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
floatright,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
numhnumvnumhnumvnumz,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
tooltippednw,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
nmvenuti,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
ourselv,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
socialcount,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
user,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
numsnum,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
gcrert,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
argument,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
contextcommitishfilterfield,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
whatev,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
fork,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
uno,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
selectmenutab,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
homepag,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
counter,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
get,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
btnwithcount,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
placehold,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
schemaorglistitem,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
shall,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
jump,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
noth,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
btnocticon,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
privaci,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
copi,4,104.25,4.64679186068,417.0,18.5871674427,0.0933303491495
httpequiv,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
itemlistel,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
tooltippedn,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
http,10,41.7,3.7305011288,417.0,37.305011288,0.0933303491495
script,4,104.25,4.64679186068,417.0,18.5871674427,0.0933303491495
happen,3,139.0,4.93447393313,417.0,14.8034217994,0.0933303491495
