term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
drift,19,139.0,4.93447393313,2641.0,93.7550047295,1.0320437671
hope,16,139.0,4.93447393313,2224.0,78.9515829301,0.869089488081
let,14,139.0,4.93447393313,1946.0,69.0826350638,0.760453302071
persever,14,139.0,4.93447393313,1946.0,69.0826350638,0.760453302071
hang,13,139.0,4.93447393313,1807.0,64.1481611307,0.706135209066
vers,12,139.0,4.93447393313,1668.0,59.2136871976,0.651817116061
assur,12,139.0,4.93447393313,1668.0,59.2136871976,0.651817116061
bibl,15,92.6666666667,4.52900882502,1390.0,67.9351323753,0.543180930051
confid,10,139.0,4.93447393313,1390.0,49.3447393313,0.543180930051
away,13,104.25,4.64679186068,1355.25,60.4082941888,0.5296014068
danger,9,139.0,4.93447393313,1251.0,44.4102653982,0.488862837046
dull,8,139.0,4.93447393313,1112.0,39.475791465,0.434544744041
neglect,8,139.0,4.93447393313,1112.0,39.475791465,0.434544744041
doctrin,15,69.5,4.24132675257,1042.5,63.6199012885,0.407385697538
say,13,75.8181818182,4.32833812956,985.636363637,56.2683956843,0.385164659491
hear,7,139.0,4.93447393313,973.0,34.5413175319,0.380226651036
heaven,7,139.0,4.93447393313,973.0,34.5413175319,0.380226651036
lose,6,139.0,4.93447393313,834.0,29.6068435988,0.32590855803
endur,6,139.0,4.93447393313,834.0,29.6068435988,0.32590855803
thing,11,69.5,4.24132675257,764.5,46.6545942783,0.298749511528
christ,7,104.25,4.64679186068,729.75,32.5275430248,0.285169988277
chapter,6,119.142857143,4.7803232533,714.857142858,28.6819395198,0.279350192598
save,5,139.0,4.93447393313,695.0,24.6723696657,0.271590465025
desir,5,139.0,4.93447393313,695.0,24.6723696657,0.271590465025
promis,5,139.0,4.93447393313,695.0,24.6723696657,0.271590465025
get,5,139.0,4.93447393313,695.0,24.6723696657,0.271590465025
salvat,5,139.0,4.93447393313,695.0,24.6723696657,0.271590465025
tri,5,139.0,4.93447393313,695.0,24.6723696657,0.271590465025
matur,5,139.0,4.93447393313,695.0,24.6723696657,0.271590465025
question,13,46.3333333333,3.83586164446,602.333333333,49.866201378,0.235378403022
god,18,32.0769230769,3.46813686434,577.384615384,62.4264635581,0.225629001713
faith,11,52.125,3.95364468012,573.375,43.4900914813,0.224062133646
hard,6,92.6666666667,4.52900882502,556.0,27.1740529501,0.21727237202
exhort,4,139.0,4.93447393313,556.0,19.7378957325,0.21727237202
backward,4,139.0,4.93447393313,556.0,19.7378957325,0.21727237202
biblic,4,139.0,4.93447393313,556.0,19.7378957325,0.21727237202
urgent,4,139.0,4.93447393313,556.0,19.7378957325,0.21727237202
slip,4,139.0,4.93447393313,556.0,19.7378957325,0.21727237202
sin,4,139.0,4.93447393313,556.0,19.7378957325,0.21727237202
teach,12,46.3333333333,3.83586164446,556.0,46.0303397335,0.21727237202
mind,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.186233461732
finish,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.186233461732
spiritu,7,64.1538461538,4.1612840449,449.076923077,29.1289883143,0.175489223555
harden,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
joy,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
stir,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
preach,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
lest,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
convers,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
lot,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
persist,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
look,5,83.4,4.42364830936,417.0,22.1182415468,0.162954279015
baptism,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
shrink,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
ear,3,139.0,4.93447393313,417.0,14.8034217994,0.162954279015
think,6,64.1538461538,4.1612840449,384.923076923,24.9677042694,0.150419334475
love,6,64.1538461538,4.1612840449,384.923076923,24.9677042694,0.150419334475
fast,6,64.1538461538,4.1612840449,384.923076923,24.9677042694,0.150419334475
serious,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.139675096299
saint,8,43.8947368421,3.78179442319,351.157894737,30.2543553855,0.137224656013
will,11,30.8888888889,3.43039653635,339.777777778,37.7343618999,0.132777560679
church,11,26.0625,3.26049749956,286.6875,35.8654724952,0.112031066823
what,24,11.7464788732,2.46355352532,281.915492957,59.1252846077,0.110166273137
rais,7,39.7142857143,3.68171096464,278.0,25.7719767525,0.10863618601
knee,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
zeal,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
waver,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
throw,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
stake,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
deceiv,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
wrong,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
urgenc,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
walk,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
numb,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
tire,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
feel,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
savior,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
talk,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
upstream,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
pay,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
sluggish,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
stay,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
confess,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
careless,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
row,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
grip,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
fear,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
goe,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
reward,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
whi,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
weak,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
encourag,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
patrick,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
zealous,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
philippi,2,139.0,4.93447393313,278.0,9.86894786626,0.10863618601
