term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
elisha,24,139.0,4.93447393313,3336.0,118.427374395,1.01831501832
rabbi,22,139.0,4.93447393313,3058.0,108.558426529,0.933455433455
steinberg,21,139.0,4.93447393313,2919.0,103.623952596,0.891025641026
pain,11,139.0,4.93447393313,1529.0,54.2792132644,0.466727716728
congreg,10,139.0,4.93447393313,1390.0,49.3447393313,0.424297924298
synagogu,9,139.0,4.93447393313,1251.0,44.4102653982,0.381868131868
god,39,32.0769230769,3.46813686434,1251.0,135.257337709,0.381868131868
jew,13,75.8181818182,4.32833812956,985.636363637,56.2683956843,0.300865800866
too,7,119.142857143,4.7803232533,834.000000001,33.4622627731,0.254578754579
whi,6,139.0,4.93447393313,834.0,29.6068435988,0.254578754579
moment,6,139.0,4.93447393313,834.0,29.6068435988,0.254578754579
jewish,21,36.2608695652,3.59073918643,761.478260869,75.405522915,0.232441471572
kovner,5,139.0,4.93447393313,695.0,24.6723696657,0.212148962149
know,8,83.4,4.42364830936,667.2,35.3891864749,0.203663003663
presenc,8,75.8181818182,4.32833812956,606.545454546,34.6267050365,0.185148185148
voic,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.181841967556
theolog,10,59.5714285714,4.08717607274,595.714285714,40.8717607274,0.181841967556
sorrow,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
pastor,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
knew,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
ben,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
driven,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
answer,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
closer,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
abuyah,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
“turn,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
ask,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
tell,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
alien,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
feel,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
minyan,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
leaf,4,139.0,4.93447393313,556.0,19.7378957325,0.169719169719
away,5,104.25,4.64679186068,521.25,23.2339593034,0.159111721612
faith,10,52.125,3.95364468012,521.25,39.5364468012,0.159111721612
communiti,29,17.0204081633,2.83441310425,493.591836736,82.1979800233,0.150669058833
want,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.145473574045
turn,15,28.7586206897,3.35893757237,431.379310345,50.3840635855,0.131678666162
strength,4,104.25,4.64679186068,417.0,18.5871674427,0.127289377289
judg,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
pray,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
absenc,4,104.25,4.64679186068,417.0,18.5871674427,0.127289377289
broken,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
soul,5,83.4,4.42364830936,417.0,22.1182415468,0.127289377289
communal,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
thing,6,69.5,4.24132675257,417.0,25.4479605154,0.127289377289
let,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
rabbin,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
sabbath,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
don't,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
otherwis,3,139.0,4.93447393313,417.0,14.8034217994,0.127289377289
