term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
get,65,139.0,4.93447393313,9035.0,320.740805653,0.979085392284
want,33,119.142857143,4.7803232533,3931.71428572,157.750667359,0.426063533346
thing,36,69.5,4.24132675257,2502.0,152.687763093,0.271131339402
know,30,83.4,4.42364830936,2502.0,132.709449281,0.271131339402
look,29,83.4,4.42364830936,2418.6,128.285800971,0.262093628088
got,17,139.0,4.93447393313,2363.0,83.8860568632,0.256068487213
snake,15,139.0,4.93447393313,2085.0,74.017108997,0.225942782835
anyth,14,139.0,4.93447393313,1946.0,69.0826350638,0.210879930646
tri,14,139.0,4.93447393313,1946.0,69.0826350638,0.210879930646
whi,13,139.0,4.93447393313,1807.0,64.1481611307,0.195817078457
tell,13,139.0,4.93447393313,1807.0,64.1481611307,0.195817078457
malcolm,12,139.0,4.93447393313,1668.0,59.2136871976,0.180754226268
diamond,12,139.0,4.93447393313,1668.0,59.2136871976,0.180754226268
here,30,52.125,3.95364468012,1563.75,118.609340404,0.169457087126
audubon,11,139.0,4.93447393313,1529.0,54.2792132644,0.165691374079
dam,11,139.0,4.93447393313,1529.0,54.2792132644,0.165691374079
think,22,64.1538461538,4.1612840449,1411.38461538,91.5482489878,0.152945883765
someth,13,104.25,4.64679186068,1355.25,60.4082941888,0.146862808843
better,11,119.142857143,4.7803232533,1310.57142857,52.5835557863,0.142021177782
regist,11,119.142857143,4.7803232533,1310.57142857,52.5835557863,0.142021177782
put,17,75.8181818182,4.32833812956,1288.90909091,73.5817482025,0.139673720298
realiz,9,139.0,4.93447393313,1251.0,44.4102653982,0.135565669701
keep,15,83.4,4.42364830936,1251.0,66.3547246404,0.135565669701
freedom,25,49.0588235294,3.8930200583,1226.47058823,97.3255014575,0.132907519315
say,16,75.8181818182,4.32833812956,1213.09090909,69.253410073,0.131457619104
should,17,69.5,4.24132675257,1181.5,72.1025547937,0.128034243606
suez,8,139.0,4.93447393313,1112.0,39.475791465,0.120502817512
congo,8,139.0,4.93447393313,1112.0,39.475791465,0.120502817512
els,8,139.0,4.93447393313,1112.0,39.475791465,0.120502817512
african,54,20.3414634146,3.01266133565,1098.43902439,162.683712125,0.119033270957
stand,13,75.8181818182,4.32833812956,985.636363637,56.2683956843,0.106809315522
ave,7,139.0,4.93447393313,973.0,34.5413175319,0.105439965323
align,7,139.0,4.93447393313,973.0,34.5413175319,0.105439965323
tion,7,139.0,4.93447393313,973.0,34.5413175319,0.105439965323
ourselv,7,139.0,4.93447393313,973.0,34.5413175319,0.105439965323
smash,7,139.0,4.93447393313,973.0,34.5413175319,0.105439965323
mau,7,139.0,4.93447393313,973.0,34.5413175319,0.105439965323
understand,16,59.5714285714,4.08717607274,953.142857142,65.3948171638,0.103288129296
fighter,6,139.0,4.93447393313,834.0,29.6068435988,0.0903771131339
yes,6,139.0,4.93447393313,834.0,29.6068435988,0.0903771131339
bloc,6,139.0,4.93447393313,834.0,29.6068435988,0.0903771131339
raw,6,139.0,4.93447393313,834.0,29.6068435988,0.0903771131339
capitalist,6,139.0,4.93447393313,834.0,29.6068435988,0.0903771131339
find,14,55.6,4.01818320126,778.4,56.2545648176,0.0843519722583
need,17,43.8947368421,3.78179442319,746.210526316,64.2905051942,0.080863732804
too,6,119.142857143,4.7803232533,714.857142858,28.6819395198,0.077466096972
finish,6,119.142857143,4.7803232533,714.857142858,28.6819395198,0.077466096972
what,60,11.7464788732,2.46355352532,704.788732392,147.813211519,0.0763750251834
doe,21,33.36,3.50735757749,700.56,73.6545091273,0.0759167750325
everyon,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
told,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
troubl,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
salaam,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
somebodi,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
ghana,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
mention,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
angola,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
ower,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
neutral,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
alaikum,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
ast,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
ing,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
unless,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
tom,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
ore,5,139.0,4.93447393313,695.0,24.6723696657,0.075314260945
will,22,30.8888888889,3.43039653635,679.555555556,75.4687237997,0.0736406107018
how,15,43.8947368421,3.78179442319,658.421052632,56.7269163479,0.0713503524742
asian,11,59.5714285714,4.08717607274,655.285714285,44.9589368001,0.0710105888909
necessari,7,92.6666666667,4.52900882502,648.666666667,31.7030617751,0.0702933102153
mind,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.06455508081
kind,7,83.4,4.42364830936,583.8,30.9655381655,0.0632639791938
would,32,18.1304347826,2.89759200587,580.173913043,92.7229441878,0.0628710352236
mississippi,9,64.1538461538,4.1612840449,577.384615384,37.4515564041,0.0625687706311
vote,6,92.6666666667,4.52900882502,556.0,27.1740529501,0.060251408756
sunday,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
realli,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
somewher,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
sheet,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
lot,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
mrica,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
nonalign,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
ask,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
coffe,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
gotten,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
shoot,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
nonviol,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
walk,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
sing,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
solv,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
strategi,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
sincer,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
whatev,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
talk,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
someon,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
invinc,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
voluntarili,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
sit,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
harlem,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
anybodi,4,139.0,4.93447393313,556.0,19.7378957325,0.060251408756
way,27,20.3414634146,3.01266133565,549.219512194,81.3418560625,0.0595166354783
real,11,49.0588235294,3.8930200583,539.647058823,42.8232206413,0.0584793084984
miner,5,104.25,4.64679186068,521.25,23.2339593034,0.0564856957087
brother,14,36.2608695652,3.59073918643,507.652173913,50.27034861,0.0550121558206
fight,10,49.0588235294,3.8930200583,490.588235294,38.930200583,0.0531630077258
did,17,28.7586206897,3.35893757237,488.896551725,57.1019387303,0.0529796870096
bear,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.051644064648
veget,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.051644064648
cut,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.051644064648
contin,22,21.3846153846,3.06267175623,470.461538461,67.3787786371,0.050981961255
canal,5,92.6666666667,4.52900882502,463.333333333,22.6450441251,0.0502095072967
isol,5,92.6666666667,4.52900882502,463.333333333,22.6450441251,0.0502095072967
out,25,18.5333333333,2.91957091259,463.333333332,72.9892728148,0.0502095072965
method,12,37.9090909091,3.635190949,454.909090909,43.622291388,0.049296607164
africa,27,16.68,2.81421039693,450.36,75.9836807171,0.0488036410923
take,20,21.9473684211,3.08864724263,438.947368422,61.7729448526,0.0475669016495
struggl,12,36.2608695652,3.59073918643,435.130434782,43.0888702372,0.0471532764177
meant,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
hell,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
overcom,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
fit,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
man,15,27.8,3.3250360207,417.0,49.8755403105,0.045188556567
insid,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
tussl,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
oppressor,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
analyz,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
capi­,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
ment,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
thorough,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
none,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
ant,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
mrican,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
nasser,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
imposs,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
valuabl,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
satellit,4,104.25,4.64679186068,417.0,18.5871674427,0.045188556567
till,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
hand,8,52.125,3.95364468012,417.0,31.629157441,0.045188556567
everyth,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
camp,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
hear,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
away,4,104.25,4.64679186068,417.0,18.5871674427,0.045188556567
pretend,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
duck,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
hamer,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
deposit,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
aswan,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
cobalt,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
happen,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
abl,4,104.25,4.64679186068,417.0,18.5871674427,0.045188556567
richest,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
readi,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
benefici,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
crimin,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
script,4,104.25,4.64679186068,417.0,18.5871674427,0.045188556567
job,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
let,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
feel,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
cheaper,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
ake,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
stake,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
anyon,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
night,4,104.25,4.64679186068,417.0,18.5871674427,0.045188556567
poverti,4,104.25,4.64679186068,417.0,18.5871674427,0.045188556567
any­,3,139.0,4.93447393313,417.0,14.8034217994,0.045188556567
the,415,1.0,0.0,415.0,0.0,0.0449718248808
there,62,6.515625,1.87420313844,403.96875,116.200594583,0.0437764141743
that,222,1.81304347826,0.595006912876,402.495652174,132.091534658,0.0436167806864
sister,8,49.0588235294,3.8930200583,392.470588235,31.1441604664,0.0425304061807
learn,5,75.8181818182,4.32833812956,379.090909091,21.6416906478,0.04108050597
program,14,26.9032258065,3.29224619787,376.645161291,46.0914467702,0.0408154704477
egyptian,4,92.6666666667,4.52900882502,370.666666667,18.1160353001,0.0401676058373
alway,8,46.3333333333,3.83586164446,370.666666666,30.6868931557,0.0401676058373
just,18,20.3414634146,3.01266133565,366.146341463,54.2279040417,0.0396777569856
scheme,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.038733048486
posit,19,18.1304347826,2.89759200587,344.478260869,55.0542481115,0.037329677164
where,32,10.6923076923,2.36952457567,342.153846154,75.8247864214,0.0370777900036
anoth,11,30.8888888889,3.43039653635,339.777777778,37.7343618999,0.0368203053509
strateg,4,83.4,4.42364830936,333.6,17.6945932374,0.0361508452536
egypt,8,41.7,3.7305011288,333.6,29.8440090304,0.0361508452536
bring,4,83.4,4.42364830936,333.6,17.6945932374,0.0361508452536
page,11,29.7857142857,3.39402889218,327.642857143,37.334317814,0.0355052944455
those,21,15.4444444444,2.73724935579,324.333333332,57.4822364716,0.0351466551075
then,22,14.6315789474,2.68318213452,321.894736843,59.0300069594,0.034882394543
can,45,7.06779661017,1.95554877789,318.050847458,87.9996950051,0.034465848229
lost,8,39.7142857143,3.68171096464,317.714285714,29.4536877171,0.034429376432
turn,11,28.7586206897,3.35893757237,316.344827587,36.9483132961,0.0342809739474
prove,3,104.25,4.64679186068,312.75,13.940375582,0.0338914174252
blood,3,104.25,4.64679186068,312.75,13.940375582,0.0338914174252
speak,10,30.8888888889,3.43039653635,308.888888889,34.3039653635,0.0334730048644
like,24,12.8307692308,2.55184613246,307.938461539,61.244307179,0.0333700110034
give,9,33.36,3.50735757749,300.24,31.5662181974,0.0325357607282
taken,7,41.7,3.7305011288,291.9,26.1135079016,0.0316319895969
right,13,21.9473684211,3.08864724263,285.315789474,40.1524141542,0.0309184860722
and,282,1.00120048019,0.0011997601919,282.338535414,0.338332374116,0.0305958534258
fifti,3,92.6666666667,4.52900882502,278.0,13.5870264751,0.030125704378
potenti,3,92.6666666667,4.52900882502,278.0,13.5870264751,0.030125704378
honor,3,92.6666666667,4.52900882502,278.0,13.5870264751,0.030125704378
good,8,34.75,3.54817957201,278.0,28.3854365761,0.030125704378
sick,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
atellit,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
talist,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
deserv,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
goe,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
andung,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
indiscrimin,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
roduc,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
faster,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
uncl,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
oppress,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
prevail,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
to­,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
umbrella,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
becaus,25,11.12,2.40874528882,278.0,60.2186322205,0.030125704378
decent,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
snuggl,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
understood,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
done,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
nubian,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
necessarili,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
twentyon,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
worri,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
motiv,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
ack,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
rid,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
uniti,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
oint,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
jungl,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
farmer,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
omeon,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
rain,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
ingeni,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
justifi,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
underdog,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
violent,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
gibraltar,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
kenya,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
step,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
hat,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
squawk,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
inter­,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
stronger,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
est,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
rhodesia,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
confront,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
sic,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
shall,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
ail,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
mosqu,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
foremost,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
nigeria,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
listen,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
asham,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
be­,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
self,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
educa­,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
noth,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
govern­,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
don,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
overnight,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
suppos,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
hope,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
cracker,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
reluct,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
pictur,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
bad,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
na­,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
whatsoev,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
load,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
coupl,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
devis,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
algeria,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
catch,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
tonight,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
automat,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
cloth,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
volta,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
insignific,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
gether,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
downtown,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
wash,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
everybodi,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
accid,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
explos,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
notic,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
met,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
wait,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
worth,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
bloodsuck,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
every­,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
arket,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
ent,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
olici,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
deemphas,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
jail,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
heard,2,139.0,4.93447393313,278.0,9.86894786626,0.030125704378
behind,6,46.3333333333,3.83586164446,278.0,23.0151698668,0.030125704378
communist,6,43.8947368421,3.78179442319,263.368421053,22.6907665391,0.0285401409897
off,6,43.8947368421,3.78179442319,263.368421053,22.6907665391,0.0285401409897
read,5,52.125,3.95364468012,260.625,19.7682234006,0.0282428478544
