term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
gopalrao,23,1587.6,7.36997872091,36514.8,169.509510581,9.20231854839
shirdi,6,1587.6,7.36997872091,9525.6,44.2198723255,2.40060483871
shelwadi,6,1587.6,7.36997872091,9525.6,44.2198723255,2.40060483871
sai,50,132.3,4.88507207112,6615.0,244.253603556,1.66708669355
sadgurus,4,1587.6,7.36997872091,6350.4,29.4799148836,1.60040322581
vyankatesh,3,1587.6,7.36997872091,4762.8,22.1099361627,1.20030241935
faqir,3,1587.6,7.36997872091,4762.8,22.1099361627,1.20030241935
spiri≠tu,3,1587.6,7.36997872091,4762.8,22.1099361627,1.20030241935
upasani,3,1587.6,7.36997872091,4762.8,22.1099361627,1.20030241935
hazrat,7,610.615384615,6.41446727588,4274.30769231,44.9012709312,1.07719447891
baba,54,74.1869158879,4.30658779888,4006.09345795,232.55574114,1.00960016581
iritu,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
ission,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
sadguru,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
tualli,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
iracl,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
namaz,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
piritu,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
irer,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
inat,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
qaland,2,1587.6,7.36997872091,3175.2,14.7399574418,0.800201612903
deshmukh,3,992.25,6.89997509166,2976.75,20.699925275,0.750189012097
chela,2,1323.0,7.18765716411,2646.0,14.3753143282,0.666834677419
rou,2,1221.23076923,7.10761445644,2442.46153846,14.2152289129,0.615539702233
meher,4,529.2,6.27136643224,2116.8,25.085465729,0.533467741935
lif,2,933.882352941,6.83935046985,1867.76470588,13.6787009397,0.470706831119
nizamuddin,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
nizamí,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
niz≠am,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
characteri≠st,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
chargem,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
chargeman,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
nivers,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
nific,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
munsiff,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
moulana,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
mosgu,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
micturit,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
com≠fort,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
margosa,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
mandali,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
conflic,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ni≠vers,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
otect,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ntialiti,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
per≠son,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ractis,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
qutub,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
pro≠tect,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
pro≠cess,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
predi≠lect,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
powersó,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
pote,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
pos≠sess,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
bhakar,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
plicit,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
plete,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
per≠sonag,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
perse≠cut,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
cerem,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
bodyóhead,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
brah,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
brahanand,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
parvardigar,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
endic,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
para≠phernelia,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ourc,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ount,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
conjec≠tur,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ossess,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
osqu,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
onial,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
maharaj,4,396.9,5.98368435979,1587.6,23.9347374392,0.400100806452
con≠tact,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
lucr,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
lli,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
here≠ditari,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
harass≠,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
domin≠ion,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
go≠palrao,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
gop≠alrao,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
gopralrao,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
glim,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ghousiyat,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ghousali,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
forsooth,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ecial,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ecret,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ecstaci,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ex≠plain,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
esus,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
edan,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ednagar,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
eem,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
eet,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
estab,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
efit,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
erfect,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
erci,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ental,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
enon,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
enem,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
enci,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
highm,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
honour≠,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
iew,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
junaid,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
lish,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
lik,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
con≠,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
con≠firm,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
rahmin,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
lendi,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
legsóal,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
crea≠tion,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
crimi≠n,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
know≠ledg,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
kafni,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
kabiri,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
jahagir,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
illwil,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
istak,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
isguid,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
iscreant,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
irm,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
deliver≠,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
irdi,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
ira≠cul,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
iracul,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
inter≠pret,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
deter≠min,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
indif≠fer,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
dhotar,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
radi≠,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
endi≠c,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
anotherü,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
serm,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
trate,1,1587.6,7.36997872091,1587.6,7.36997872091,0.400100806452
