term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
gopalrao,23,1587.6,7.36997872091,36514.8,169.509510581,1.87920333488
baba,187,74.1869158879,4.30658779888,13872.953271,805.331918391,0.713959820443
meher,20,529.2,6.27136643224,10584.0,125.427328645,0.544696618805
ajmer,13,756.0,6.62804137618,9828.0,86.1645378903,0.505789717462
shirdi,6,1587.6,7.36997872091,9525.6,44.2198723255,0.490226956925
shelwadi,6,1587.6,7.36997872091,9525.6,44.2198723255,0.490226956925
shri,50,167.115789474,5.1186869223,8355.7894737,255.934346115,0.430023646426
sadgurus,5,1587.6,7.36997872091,7938.0,36.8498936046,0.408522464104
sai,50,132.3,4.88507207112,6615.0,244.253603556,0.340435386753
sadguru,4,1587.6,7.36997872091,6350.4,29.4799148836,0.326817971283
baba,4,1587.6,7.36997872091,6350.4,29.4799148836,0.326817971283
faqir,4,1587.6,7.36997872091,6350.4,29.4799148836,0.326817971283
upasani,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
under­stand,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
namaz,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
gutta,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
vyankatesh,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
spiri≠tu,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
spirituanum,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
manzil,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
mainte∑,3,1587.6,7.36997872091,4762.8,22.1099361627,0.245113478462
godhood,5,933.882352941,6.83935046985,4669.4117647,34.1967523493,0.240307331826
hazrat,7,610.615384615,6.41446727588,4274.30769231,44.9012709312,0.219973634517
iritu,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
fathergod,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
stonehousebytheriv,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
godreal,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
kafni,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
com≠fort,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
res≠pect,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
iracl,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
munsiff,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
mohamedan,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
under­stood,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
deegar,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
qaland,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
scious,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
shouldst,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
lish,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
expres≠s,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
inat,2,1587.6,7.36997872091,3175.2,14.7399574418,0.163408985642
