term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
know,26,83.4,4.42364830936,2168.4,115.014856043,0.823547284466
get,15,139.0,4.93447393313,2085.0,74.017108997,0.79187238891
marriag,19,104.25,4.64679186068,1980.75,88.2890453529,0.752278769464
realli,12,139.0,4.93447393313,1668.0,59.2136871976,0.633497911128
talk,10,139.0,4.93447393313,1390.0,49.3447393313,0.52791492594
thing,19,69.5,4.24132675257,1320.5,80.5852082988,0.501519179643
surah,9,139.0,4.93447393313,1251.0,44.4102653982,0.475123433346
convers,8,139.0,4.93447393313,1112.0,39.475791465,0.422331940752
want,9,119.142857143,4.7803232533,1072.28571429,43.0229092797,0.407248657154
lot,7,139.0,4.93447393313,973.0,34.5413175319,0.369540448158
say,11,75.8181818182,4.32833812956,834.0,47.6117194252,0.316748955564
let,6,139.0,4.93447393313,834.0,29.6068435988,0.316748955564
minut,6,139.0,4.93447393313,834.0,29.6068435988,0.316748955564
happen,6,139.0,4.93447393313,834.0,29.6068435988,0.316748955564
els,5,139.0,4.93447393313,695.0,24.6723696657,0.26395746297
tell,5,139.0,4.93447393313,695.0,24.6723696657,0.26395746297
should,10,69.5,4.24132675257,695.0,42.4132675257,0.26395746297
allah,5,139.0,4.93447393313,695.0,24.6723696657,0.26395746297
ask,5,139.0,4.93447393313,695.0,24.6723696657,0.26395746297
knock,4,139.0,4.93447393313,556.0,19.7378957325,0.211165970376
alhamdulillah,4,139.0,4.93447393313,556.0,19.7378957325,0.211165970376
ayaat,4,139.0,4.93447393313,556.0,19.7378957325,0.211165970376
deal,9,59.5714285714,4.08717607274,536.142857143,36.7845846547,0.203624328577
marri,9,59.5714285714,4.08717607274,536.142857143,36.7845846547,0.203624328577
kind,6,83.4,4.42364830936,500.4,26.5418898562,0.190049373338
car,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
azwaj,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
gaze,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
husband,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
adjust,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
someth,4,104.25,4.64679186068,417.0,18.5871674427,0.158374477782
got,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
permiss,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
sanctiti,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
violat,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
girl,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
gon,3,139.0,4.93447393313,417.0,14.8034217994,0.158374477782
boy,6,69.5,4.24132675257,417.0,25.4479605154,0.158374477782
think,6,64.1538461538,4.1612840449,384.923076923,24.9677042694,0.146191825645
serious,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.135749552385
problem,10,34.75,3.54817957201,347.5,35.4817957201,0.131978731485
eye,5,69.5,4.24132675257,347.5,21.2066337629,0.131978731485
women,6,55.6,4.01818320126,333.6,24.1090992076,0.126699582226
actual,6,52.125,3.95364468012,312.75,23.7218680807,0.118780858336
realiti,3,104.25,4.64679186068,312.75,13.940375582,0.118780858336
famili,23,13.4516129032,2.59909901731,309.387096774,59.7792773981,0.117503644806
daughter,3,92.6666666667,4.52900882502,278.0,13.5870264751,0.105582985188
gather,2,139.0,4.93447393313,278.0,9.86894786626,0.105582985188
anyth,2,139.0,4.93447393313,278.0,9.86894786626,0.105582985188
mess,2,139.0,4.93447393313,278.0,9.86894786626,0.105582985188
