term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
say,138,75.8181818182,4.32833812956,10462.9090909,597.310661879,0.916352171213
vers,38,139.0,4.93447393313,5282.0,187.510009459,0.46260290769
bibl,51,92.6666666667,4.52900882502,4726.0,230.979450076,0.413907864775
chapter,38,119.142857143,4.7803232533,4527.42857143,181.652283625,0.39651677802
inherit,41,104.25,4.64679186068,4274.25,190.518466288,0.374343142407
christ,37,104.25,4.64679186068,3857.25,171.931298845,0.337821860221
look,45,83.4,4.42364830936,3753.0,199.064173921,0.328691539674
save,27,139.0,4.93447393313,3753.0,133.230796195,0.328691539674
get,26,139.0,4.93447393313,3614.0,128.296322261,0.316517778946
know,43,83.4,4.42364830936,3586.2,190.216877302,0.3140830268
thing,50,69.5,4.24132675257,3475.0,212.066337629,0.304344018217
happen,22,139.0,4.93447393313,3058.0,108.558426529,0.267822736031
talk,22,139.0,4.93447393313,3058.0,108.558426529,0.267822736031
whi,22,139.0,4.93447393313,3058.0,108.558426529,0.267822736031
testament,29,104.25,4.64679186068,3023.25,134.75696396,0.264779295849
bondag,20,139.0,4.93447393313,2780.0,98.6894786626,0.243475214573
shall,19,139.0,4.93447393313,2641.0,93.7550047295,0.231301453845
let,18,139.0,4.93447393313,2502.0,88.8205307963,0.219127693116
heaven,18,139.0,4.93447393313,2502.0,88.8205307963,0.219127693116
here,46,52.125,3.95364468012,2397.75,181.867655286,0.20999737257
lot,17,139.0,4.93447393313,2363.0,83.8860568632,0.206953932387
jerusalem,16,139.0,4.93447393313,2224.0,78.9515829301,0.194780171659
tell,16,139.0,4.93447393313,2224.0,78.9515829301,0.194780171659
jesus,34,64.1538461538,4.1612840449,2181.23076923,141.483657527,0.191034399127
preach,15,139.0,4.93447393313,2085.0,74.017108997,0.18260641093
noth,15,139.0,4.93447393313,2085.0,74.017108997,0.18260641093
amenpastor,15,139.0,4.93447393313,2085.0,74.017108997,0.18260641093
ishmael,15,139.0,4.93447393313,2085.0,74.017108997,0.18260641093
someth,20,104.25,4.64679186068,2085.0,92.9358372136,0.18260641093
stuff,15,139.0,4.93447393313,2085.0,74.017108997,0.18260641093
rabbi,15,139.0,4.93447393313,2085.0,74.017108997,0.18260641093
want,17,119.142857143,4.7803232533,2025.42857143,81.2654953061,0.177389084904
judg,14,139.0,4.93447393313,1946.0,69.0826350638,0.170432650201
got,14,139.0,4.93447393313,1946.0,69.0826350638,0.170432650201
god,59,32.0769230769,3.46813686434,1892.53846154,204.620074996,0.165750434536
galatian,13,139.0,4.93447393313,1807.0,64.1481611307,0.158258889473
heir,13,139.0,4.93447393313,1807.0,64.1481611307,0.158258889473
circumcis,13,139.0,4.93447393313,1807.0,64.1481611307,0.158258889473
hage,13,139.0,4.93447393313,1807.0,64.1481611307,0.158258889473
afraid,13,139.0,4.93447393313,1807.0,64.1481611307,0.158258889473
okay,13,139.0,4.93447393313,1807.0,64.1481611307,0.158258889473
moon,30,59.5714285714,4.08717607274,1787.14285714,122.615282182,0.156519780797
isaac,14,119.142857143,4.7803232533,1668.0,66.9245255462,0.146085128744
jew,22,75.8181818182,4.32833812956,1668.0,95.2234388503,0.146085128744
desir,12,139.0,4.93447393313,1668.0,59.2136871976,0.146085128744
flesh,12,139.0,4.93447393313,1668.0,59.2136871976,0.146085128744
guy,12,139.0,4.93447393313,1668.0,59.2136871976,0.146085128744
fals,11,139.0,4.93447393313,1529.0,54.2792132644,0.133911368015
bondwoman,11,139.0,4.93447393313,1529.0,54.2792132644,0.133911368015
month,31,46.3333333333,3.83586164446,1436.33333333,118.911710978,0.12579552753
think,22,64.1538461538,4.1612840449,1411.38461538,91.5482489878,0.123610493553
what,119,11.7464788732,2.46355352532,1397.83098591,293.162869513,0.122423452961
cahn,10,139.0,4.93447393313,1390.0,49.3447393313,0.121737607287
hagar,10,139.0,4.93447393313,1390.0,49.3447393313,0.121737607287
bring,16,83.4,4.42364830936,1334.4,70.7783729498,0.116868102995
just,64,20.3414634146,3.01266133565,1301.85365853,192.810325482,0.114017661459
calendar,17,75.8181818182,4.32833812956,1288.90909091,73.5817482025,0.11288396312
colossian,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
shemitah,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
promis,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
zealous,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
tri,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
realli,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
yeah,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
forth,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
yeahpastor,9,139.0,4.93447393313,1251.0,44.4102653982,0.109563846558
read,23,52.125,3.95364468012,1198.875,90.9338276428,0.104998686285
how,27,43.8947368421,3.78179442319,1185.15789474,102.108449426,0.103797328318
