term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
noah,20,139.0,4.93447393313,2780.0,98.6894786626,0.549733043306
thou,19,139.0,4.93447393313,2641.0,93.7550047295,0.522246391141
merci,18,139.0,4.93447393313,2502.0,88.8205307963,0.494759738976
genesi,18,139.0,4.93447393313,2502.0,88.8205307963,0.494759738976
rememb,17,139.0,4.93447393313,2363.0,83.8860568632,0.46727308681
righteous,17,139.0,4.93447393313,2363.0,83.8860568632,0.46727308681
ark,14,139.0,4.93447393313,1946.0,69.0826350638,0.384813130314
rabba,13,139.0,4.93447393313,1807.0,64.1481611307,0.357326478149
archiveorgstreamrabbagenesismidrashrabbahgennummbpdjvutxt,13,139.0,4.93447393313,1807.0,64.1481611307,0.357326478149
https,13,139.0,4.93447393313,1807.0,64.1481611307,0.357326478149
xxxiii,12,139.0,4.93447393313,1668.0,59.2136871976,0.329839825984
thi,12,139.0,4.93447393313,1668.0,59.2136871976,0.329839825984
said,38,41.7,3.7305011288,1584.6,141.759042894,0.313347834685
viii,11,139.0,4.93447393313,1529.0,54.2792132644,0.302353173818
bless,10,139.0,4.93447393313,1390.0,49.3447393313,0.274866521653
judah,10,139.0,4.93447393313,1390.0,49.3447393313,0.274866521653
wick,10,139.0,4.93447393313,1390.0,49.3447393313,0.274866521653
elohim,10,139.0,4.93447393313,1390.0,49.3447393313,0.274866521653
month,30,46.3333333333,3.83586164446,1390.0,115.075849334,0.274866521653
flood,12,104.25,4.64679186068,1251.0,55.7615023282,0.247379869488
raven,9,139.0,4.93447393313,1251.0,44.4102653982,0.247379869488
vers,9,139.0,4.93447393313,1251.0,44.4102653982,0.247379869488
gen,9,139.0,4.93447393313,1251.0,44.4102653982,0.247379869488
jose,8,139.0,4.93447393313,1112.0,39.475791465,0.219893217323
compass,8,139.0,4.93447393313,1112.0,39.475791465,0.219893217323
punish,8,139.0,4.93447393313,1112.0,39.475791465,0.219893217323
forth,8,139.0,4.93447393313,1112.0,39.475791465,0.219893217323
judgment,8,139.0,4.93447393313,1112.0,39.475791465,0.219893217323
rain,8,139.0,4.93447393313,1112.0,39.475791465,0.219893217323
midrash,7,139.0,4.93447393313,973.0,34.5413175319,0.192406565157
shall,7,139.0,4.93447393313,973.0,34.5413175319,0.192406565157
dove,7,139.0,4.93447393313,973.0,34.5413175319,0.192406565157
