term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
archiveorgstreamrabbagenesismidrashrabbahgennummbpdjvutxt,100,1587.6,7.36997872091,158760.0,736.997872091,3.10989226249
num‐num,58,1587.6,7.36997872091,92080.8,427.458765813,1.80373751224
rabba,100,756.0,6.62804137618,75600.0,662.804137618,1.48090107738
berekiah,32,1587.6,7.36997872091,50803.2,235.839319069,0.995165523996
tanhuma,24,1587.6,7.36997872091,38102.4,176.879489302,0.746374142997
bereshith,22,1587.6,7.36997872091,34927.2,162.13953186,0.684176297747
johanan,22,1587.6,7.36997872091,34927.2,162.13953186,0.684176297747
hanina,18,1587.6,7.36997872091,28576.8,132.659616976,0.559780607248
judan,16,1587.6,7.36997872091,25401.6,117.919659535,0.497582761998
xxn,15,1587.6,7.36997872091,23814.0,110.549680814,0.466483839373
hiyya,14,1587.6,7.36997872091,22226.4,103.179702093,0.435384916748
ezek,14,1587.6,7.36997872091,22226.4,103.179702093,0.435384916748
wwwsacred­textscomjudmidrashhtm,14,1587.6,7.36997872091,22226.4,103.179702093,0.435384916748
didst,17,1221.23076923,7.10761445644,20760.9230769,120.829445759,0.40667821894
vayera,12,1587.6,7.36997872091,19051.2,88.4397446509,0.373187071499
deut,24,793.8,6.67683154035,19051.2,160.243956968,0.373187071499
lecha,12,1587.6,7.36997872091,19051.2,88.4397446509,0.373187071499
rabbah,48,378.0,5.93489419562,18144.0,284.87492139,0.35541625857
prov,16,1134.0,7.03350648429,18144.0,112.536103749,0.35541625857
akiba,18,933.882352941,6.83935046985,16809.8823529,123.108308457,0.329282710146
azariah,10,1587.6,7.36997872091,15876.0,73.6997872091,0.310989226249
exod,9,1587.6,7.36997872091,14288.4,66.3298084882,0.279890303624
leazar,9,1587.6,7.36997872091,14288.4,66.3298084882,0.279890303624
abimelech,9,1587.6,7.36997872091,14288.4,66.3298084882,0.279890303624
midrash,73,191.277108434,5.25372320611,13963.2289157,383.521794046,0.273520644773
nahman,12,1058.4,6.9645136128,12700.8,83.5741633536,0.248791380999
reshith,8,1587.6,7.36997872091,12700.8,58.9598297673,0.248791380999
yohai,8,1587.6,7.36997872091,12700.8,58.9598297673,0.248791380999
wayyekullu,8,1587.6,7.36997872091,12700.8,58.9598297673,0.248791380999
resh,7,1587.6,7.36997872091,11113.2,51.5898510464,0.217692458374
terah,7,1587.6,7.36997872091,11113.2,51.5898510464,0.217692458374
sepphori,7,1587.6,7.36997872091,11113.2,51.5898510464,0.217692458374
handbreadth,7,1587.6,7.36997872091,11113.2,51.5898510464,0.217692458374
phineha,7,1587.6,7.36997872091,11113.2,51.5898510464,0.217692458374
haran,7,1587.6,7.36997872091,11113.2,51.5898510464,0.217692458374
con‐,7,1587.6,7.36997872091,11113.2,51.5898510464,0.217692458374
elohim,14,756.0,6.62804137618,10584.0,92.7925792665,0.207326150833
jer,13,756.0,6.62804137618,9828.0,86.1645378903,0.192517140059
kappara,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
noach,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
onkel,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
liil,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
lakish,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
herdmen,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
leka,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
tohu,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
bohu,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
aboth,6,1587.6,7.36997872091,9525.6,44.2198723255,0.186593535749
huna,14,661.5,6.49450998356,9261.0,90.9231397698,0.181410381978
jannai,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
jast,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
xxm,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
hannasi,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
doeth,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
radal,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
trieth,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
tebeth,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
amalek,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
dunghil,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
taan,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
marheshwan,5,1587.6,7.36997872091,7938.0,36.8498936046,0.155494613124
