term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
bed,2,139.0,4.93447393313,278.0,9.86894786626,1.90410958904
design—cent,2,139.0,4.93447393313,278.0,9.86894786626,1.90410958904
dreammen,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
strap,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
difficult,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
insid,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
solv,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
endif,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
floor,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
mankind,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
dream—men,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
blanket,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
startl,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
supportemptypara,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
neck,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
trolleystretch,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
ask,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
accur,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
awok,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
pallet,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
sleep,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
slip,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
whisper,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
coma,1,139.0,4.93447393313,139.0,4.93447393313,0.952054794521
abl,1,104.25,4.64679186068,104.25,4.64679186068,0.71404109589
someth,1,104.25,4.64679186068,104.25,4.64679186068,0.71404109589
memori,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502,0.634703196347
bring,1,83.4,4.42364830936,83.4,4.42364830936,0.571232876712
look,1,83.4,4.42364830936,83.4,4.42364830936,0.571232876712
kind,1,83.4,4.42364830936,83.4,4.42364830936,0.571232876712
touch,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956,0.519302615193
regular,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274,0.408023483366
must,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274,0.408023483366
week,1,55.6,4.01818320126,55.6,4.01818320126,0.380821917808
find,1,55.6,4.01818320126,55.6,4.01818320126,0.380821917808
again,1,55.6,4.01818320126,55.6,4.01818320126,0.380821917808
help,2,21.9473684211,3.08864724263,43.8947368422,6.17729448526,0.300648882481
how,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319,0.30064888248
return,1,34.75,3.54817957201,34.75,3.54817957201,0.23801369863
problem,1,34.75,3.54817957201,34.75,3.54817957201,0.23801369863
could,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434,0.219704952582
transport,1,29.7857142857,3.39402889218,29.7857142857,3.39402889218,0.204011741683
then,2,14.6315789474,2.68318213452,29.2631578948,5.36636426904,0.200432588321
men,1,27.8,3.3250360207,27.8,3.3250360207,0.190410958904
without,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787,0.184268669908
out,1,18.5333333333,2.91957091259,18.5333333333,2.91957091259,0.126940639269
came,1,18.1304347826,2.89759200587,18.1304347826,2.89759200587,0.124181060155
hous,1,17.375,2.85503239145,17.375,2.85503239145,0.119006849315
reach,1,17.0204081633,2.83441310425,17.0204081633,2.83441310425,0.116578138105
move,1,15.7358490566,2.75594148881,15.7358490566,2.75594148881,0.107779788059
lie,1,14.6315789474,2.68318213452,14.6315789474,2.68318213452,0.10021629416
what,1,11.7464788732,2.46355352532,11.7464788732,2.46355352532,0.0804553347479
where,1,10.6923076923,2.36952457567,10.6923076923,2.36952457567,0.0732349841938
life,1,9.81176470588,2.28358214587,9.81176470588,2.28358214587,0.0672038678485
time,2,4.27692307692,1.45323384379,8.55384615384,2.90646768758,0.0585879873551
live,1,8.09708737864,2.09150441413,8.09708737864,2.09150441413,0.0554595025934
use,2,3.97142857143,1.37912587164,7.94285714286,2.75825174328,0.0544031311155
until,1,7.58181818182,2.02575303657,7.58181818182,2.02575303657,0.0519302615193
work,1,7.25217391304,1.981301274,7.25217391304,1.981301274,0.0496724240619
the,7,1.0,0.0,7.0,0.0,0.0479452054795
and,6,1.00120048019,0.0011997601919,6.00720288114,0.0071985611514,0.0411452252133
some,1,5.59731543624,1.72228709641,5.59731543624,1.72228709641,0.0383377769605
had,1,5.38064516129,1.68280828544,5.38064516129,1.68280828544,0.0368537339814
when,1,5.38064516129,1.68280828544,5.38064516129,1.68280828544,0.0368537339814
both,1,5.1801242236,1.64482903737,5.1801242236,1.64482903737,0.0354803029014
two,1,4.50810810811,1.50587757728,4.50810810811,1.50587757728,0.0308774527953
was,3,1.45804195804,0.377094410979,4.37412587412,1.13128323294,0.0299597662611
over,1,3.95260663507,1.37437526888,3.95260663507,1.37437526888,0.0270726481854
were,1,3.87906976744,1.35559537423,3.87906976744,1.35559537423,0.0265689710099
into,1,3.75675675676,1.32355602049,3.75675675676,1.32355602049,0.0257312106627
this,1,3.57939914163,1.27519494879,3.57939914163,1.27519494879,0.0245164324769
been,1,3.0,1.09861228867,3.0,1.09861228867,0.0205479452055
for,2,1.44290657439,0.366659533686,2.88581314878,0.733319067372,0.0197658434848
have,1,2.64761904762,0.973660763533,2.64761904762,0.973660763533,0.0181343770385
one,1,2.224,0.799307376388,2.224,0.799307376388,0.0152328767123
which,1,1.86577181208,0.623674807745,1.86577181208,0.623674807745,0.0127792589868
that,1,1.81304347826,0.595006912876,1.81304347826,0.595006912876,0.0124181060155
