term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
lynni,16,1587.6,7.36997872091,25401.6,117.919659535,2.26395721925
pammi,13,1587.6,7.36997872091,20638.8,95.8097233718,1.83946524064
didn't,11,1587.6,7.36997872091,17463.6,81.06976593,1.55647058824
drugtest,10,1587.6,7.36997872091,15876.0,73.6997872091,1.41497326203
wasn't,6,1587.6,7.36997872091,9525.6,44.2198723255,0.848983957219
shari,15,387.219512195,5.9589917472,5808.29268293,89.384876208,0.517673144646
“thank,3,1587.6,7.36997872091,4762.8,22.1099361627,0.42449197861
hadn't,3,1587.6,7.36997872091,4762.8,22.1099361627,0.42449197861
couldn't,3,1587.6,7.36997872091,4762.8,22.1099361627,0.42449197861
num°,3,1587.6,7.36997872091,4762.8,22.1099361627,0.42449197861
pam,60,64.0161290323,4.15913506774,3840.96774194,249.548104064,0.342332240814
onebedroom,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
ttfn,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
“you,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
glasswal,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
mik,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
shouldn't,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
i'm,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
geez,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
drug—test,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
“bug,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
zyprexa,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
“no,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
“kim,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
don't,2,1587.6,7.36997872091,3175.2,14.7399574418,0.282994652406
roomi,4,756.0,6.62804137618,3024.0,26.5121655047,0.269518716578
draftsmen,2,1058.4,6.9645136128,2116.8,13.9290272256,0.188663101604
carolyn,40,50.0820189274,3.91366204003,2003.2807571,156.546481601,0.178545522023
cubicl,2,835.578947368,6.72812483474,1671.15789474,13.4562496695,0.148944553898
ofcours,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
pot—smok,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
pollit,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
largescal,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
matchbook,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
midnum,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
brawni,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
nicecream,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
penmanship,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
paper—work,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
ninthgrad,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
nope,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
omalley,1,1587.6,7.36997872091,1587.6,7.36997872091,0.141497326203
