term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
shepherd,12,139.0,4.93447393313,1668.0,59.2136871976,5.63513513514
captain,6,139.0,4.93447393313,834.0,29.6068435988,2.81756756757
bethun,5,139.0,4.93447393313,695.0,24.6723696657,2.34797297297
arrow,3,139.0,4.93447393313,417.0,14.8034217994,1.40878378378
whale,3,139.0,4.93447393313,417.0,14.8034217994,1.40878378378
bow,3,139.0,4.93447393313,417.0,14.8034217994,1.40878378378
nonviol,3,139.0,4.93447393313,417.0,14.8034217994,1.40878378378
volunt,2,139.0,4.93447393313,278.0,9.86894786626,0.939189189189
ensur,2,139.0,4.93447393313,278.0,9.86894786626,0.939189189189
crew,2,139.0,4.93447393313,278.0,9.86894786626,0.939189189189
conserv,3,59.5714285714,4.08717607274,178.714285714,12.2615282182,0.603764478764
campaign,3,52.125,3.95364468012,156.375,11.8609340404,0.528293918919
breach,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
barker,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
brave,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
stanc,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
rigor,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
pete,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
happen,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
vessel,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
awar,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
conservationist,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
wildlif,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
unfortun,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
bob,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
swift,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
anyon,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
enforc,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
chuck,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
sincer,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
deputi,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
uphold,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
amaz,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
align,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
waltz,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
adi,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
els,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
dedic,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
gil,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
unaccept,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
matilda,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
vet,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
proud,1,139.0,4.93447393313,139.0,4.93447393313,0.469594594595
aggress,2,64.1538461538,4.1612840449,128.307692308,8.3225680898,0.433471933472
will,4,30.8888888889,3.43039653635,123.555555556,13.7215861454,0.417417417418
absolut,1,119.142857143,4.7803232533,119.142857143,4.7803232533,0.40250965251
hero,1,104.25,4.64679186068,104.25,4.64679186068,0.352195945946
antarctica,1,104.25,4.64679186068,104.25,4.64679186068,0.352195945946
futur,2,52.125,3.95364468012,104.25,7.90728936024,0.352195945946
sea,12,8.17647058824,2.10126058907,98.1176470589,25.2151270688,0.331478537361
select,2,49.0588235294,3.8930200583,98.1176470588,7.7860401166,0.331478537361
marin,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502,0.313063063063
defend,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502,0.313063063063
polici,3,28.7586206897,3.35893757237,86.2758620691,10.0768127171,0.29147250699
know,1,83.4,4.42364830936,83.4,4.42364830936,0.281756756757
fulli,1,83.4,4.42364830936,83.4,4.42364830936,0.281756756757
reveal,1,83.4,4.42364830936,83.4,4.42364830936,0.281756756757
bring,1,83.4,4.42364830936,83.4,4.42364830936,0.281756756757
kind,1,83.4,4.42364830936,83.4,4.42364830936,0.281756756757
action,2,37.9090909091,3.635190949,75.8181818182,7.270381898,0.256142506143
defens,1,69.5,4.24132675257,69.5,4.24132675257,0.234797297297
ship,1,69.5,4.24132675257,69.5,4.24132675257,0.234797297297
chief,1,69.5,4.24132675257,69.5,4.24132675257,0.234797297297
intend,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274,0.201254826255
particip,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274,0.201254826255
detail,1,55.6,4.01818320126,55.6,4.01818320126,0.187837837838
japan,1,55.6,4.01818320126,55.6,4.01818320126,0.187837837838
effort,1,55.6,4.01818320126,55.6,4.01818320126,0.187837837838
therefor,1,55.6,4.01818320126,55.6,4.01818320126,0.187837837838
exhibit,1,55.6,4.01818320126,55.6,4.01818320126,0.187837837838
decis,1,52.125,3.95364468012,52.125,3.95364468012,0.176097972973
never,2,24.5294117647,3.19987287774,49.0588235294,6.39974575548,0.16573926868
longer,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446,0.156531531531
sixth,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446,0.156531531531
process,2,21.3846153846,3.06267175623,42.7692307692,6.12534351246,0.144490644491
execut,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464,0.13416988417
method,1,37.9090909091,3.635190949,37.9090909091,3.635190949,0.128071253071
certain,1,37.9090909091,3.635190949,37.9090909091,3.635190949,0.128071253071
possess,1,33.36,3.50735757749,33.36,3.50735757749,0.112702702703
doe,1,33.36,3.50735757749,33.36,3.50735757749,0.112702702703
societi,2,16.3529411765,2.79440776963,32.705882353,5.58881553926,0.110492845787
legal,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434,0.108367983368
protect,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434,0.108367983368
battl,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434,0.108367983368
support,2,14.8928571429,2.70088171162,29.7857142858,5.40176342324,0.100627413128
formal,1,29.7857142857,3.39402889218,29.7857142857,3.39402889218,0.100627413127
associ,2,13.4516129032,2.59909901731,26.9032258064,5.19819803462,0.090889276373
complet,1,26.0625,3.26049749956,26.0625,3.26049749956,0.0880489864865
involv,1,23.8285714286,3.17088534087,23.8285714286,3.17088534087,0.080501930502
help,1,21.9473684211,3.08864724263,21.9473684211,3.08864724263,0.0741465149361
continu,2,10.9736842105,2.39550006207,21.947368421,4.79100012414,0.0741465149358
repres,1,20.3414634146,3.01266133565,20.3414634146,3.01266133565,0.0687211601845
object,1,20.3414634146,3.01266133565,20.3414634146,3.01266133565,0.0687211601845
offic,1,19.8571428571,2.98856378408,19.8571428571,2.98856378408,0.0670849420848
oper,1,18.1304347826,2.89759200587,18.1304347826,2.89759200587,0.0612514688601
line,1,18.1304347826,2.89759200587,18.1304347826,2.89759200587,0.0612514688601
law,1,17.7446808511,2.87608580065,17.7446808511,2.87608580065,0.0599482461186
not,4,4.12871287129,1.41796570496,16.5148514852,5.67186281984,0.0557934171796
design,1,15.4444444444,2.73724935579,15.4444444444,2.73724935579,0.052177177177
