term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
wrath,40,139.0,4.93447393313,5560.0,197.378957325,2.10685865858
hell,24,139.0,4.93447393313,3336.0,118.427374395,1.26411519515
god,64,32.0769230769,3.46813686434,2052.92307692,221.960759318,0.777917043168
deserv,9,139.0,4.93447393313,1251.0,44.4102653982,0.474043198181
wicked,8,139.0,4.93447393313,1112.0,39.475791465,0.421371731717
etern,8,139.0,4.93447393313,1112.0,39.475791465,0.421371731717
heaven,7,139.0,4.93447393313,973.0,34.5413175319,0.368700265252
want,7,119.142857143,4.7803232533,834.000000001,33.4622627731,0.316028798788
dont,6,139.0,4.93447393313,834.0,29.6068435988,0.316028798787
think,12,64.1538461538,4.1612840449,769.846153846,49.9354085388,0.291718891188
reveal,9,83.4,4.42364830936,750.6,39.8128347842,0.284425918909
someth,7,104.25,4.64679186068,729.75,32.5275430248,0.276525198939
godless,5,139.0,4.93447393313,695.0,24.6723696657,0.263357332323
restrain,5,139.0,4.93447393313,695.0,24.6723696657,0.263357332323
ohair,5,139.0,4.93447393313,695.0,24.6723696657,0.263357332323
tell,5,139.0,4.93447393313,695.0,24.6723696657,0.263357332323
grace,5,139.0,4.93447393313,695.0,24.6723696657,0.263357332323
will,22,30.8888888889,3.43039653635,679.555555556,75.4687237997,0.25750494716
know,8,83.4,4.42364830936,667.2,35.3891864749,0.25282303903
biker,4,139.0,4.93447393313,556.0,19.7378957325,0.210685865858
lot,4,139.0,4.93447393313,556.0,19.7378957325,0.210685865858
save,4,139.0,4.93447393313,556.0,19.7378957325,0.210685865858
bundi,4,139.0,4.93447393313,556.0,19.7378957325,0.210685865858
evil,4,139.0,4.93447393313,556.0,19.7378957325,0.210685865858
desir,4,139.0,4.93447393313,556.0,19.7378957325,0.210685865858
righteous,4,139.0,4.93447393313,556.0,19.7378957325,0.210685865858
thing,8,69.5,4.24132675257,556.0,33.9306140206,0.210685865858
murder,8,64.1538461538,4.1612840449,513.23076923,33.2902723592,0.194479260792
decre,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
done,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
punish,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
christ,4,104.25,4.64679186068,417.0,18.5871674427,0.158014399394
preacher,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
happen,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
realli,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
truth,5,83.4,4.42364830936,417.0,22.1182415468,0.158014399394
wrong,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
bob,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
rape,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
bad,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
fear,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
weed,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
choos,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
mcveigh,3,139.0,4.93447393313,417.0,14.8034217994,0.158014399394
