term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
easier,3,139.0,4.93447393313,417.0,14.8034217994,1.15512465374
reform,10,33.36,3.50735757749,333.6,35.0735757749,0.924099722992
industrialtechnolog,2,139.0,4.93447393313,278.0,9.86894786626,0.770083102493
solv,2,139.0,4.93447393313,278.0,9.86894786626,0.770083102493
paragraph,2,139.0,4.93447393313,278.0,9.86894786626,0.770083102493
commit,2,119.142857143,4.7803232533,238.285714286,9.5606465066,0.660071230709
revolutionari,5,32.0769230769,3.46813686434,160.384615385,17.3406843217,0.444278712976
altogeth,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
impli,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
suffici,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
upris,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
realli,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
stroke,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
harder,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
necessarili,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
overthrow,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
undergo,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
hardship,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
fulfil,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
avoid,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
sake,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
mere,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
suitabl,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
reader,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
persist,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
restraind,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
dispens,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
shown,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
reward,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
vision,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
circumst,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
intens,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
outcom,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
restraint,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
pain,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
passion,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
radic,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
fever,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
hope,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
fear,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
difficult,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
unlimit,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
risk,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
convinc,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
sacrific,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
reconcil,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
negat,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
segment,1,139.0,4.93447393313,139.0,4.93447393313,0.385041551247
revolut,9,13.4516129032,2.59909901731,121.064516129,23.3918911558,0.33535877044
too,1,119.142857143,4.7803232533,119.142857143,4.7803232533,0.330035615355
devot,1,119.142857143,4.7803232533,119.142857143,4.7803232533,0.330035615355
certain,3,37.9090909091,3.635190949,113.727272727,10.905572847,0.315033996475
inspir,2,55.6,4.01818320126,111.2,8.03636640252,0.308033240997
