term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
wise,9,139.0,4.93447393313,1251.0,44.4102653982,0.286729314692
know,14,83.4,4.42364830936,1167.6,61.931076331,0.267614027046
scorpion,8,139.0,4.93447393313,1112.0,39.475791465,0.254870501948
hope,8,139.0,4.93447393313,1112.0,39.475791465,0.254870501948
sad,7,139.0,4.93447393313,973.0,34.5413175319,0.223011689205
too,7,119.142857143,4.7803232533,834.000000001,33.4622627731,0.191152876461
janic,6,139.0,4.93447393313,834.0,29.6068435988,0.191152876461
alandalus,6,139.0,4.93447393313,834.0,29.6068435988,0.191152876461
love,12,64.1538461538,4.1612840449,769.846153846,49.9354085388,0.176448809041
say,10,75.8181818182,4.32833812956,758.181818182,43.2833812956,0.173775342237
khalid,5,139.0,4.93447393313,695.0,24.6723696657,0.159294063718
hear,5,139.0,4.93447393313,695.0,24.6723696657,0.159294063718
tell,5,139.0,4.93447393313,695.0,24.6723696657,0.159294063718
talk,5,139.0,4.93447393313,695.0,24.6723696657,0.159294063718
bit,5,139.0,4.93447393313,695.0,24.6723696657,0.159294063718
citizen,13,52.125,3.95364468012,677.625,51.3973808416,0.155311712125
stori,25,26.0625,3.26049749956,651.5625,81.512437489,0.149338184735
dark,7,92.6666666667,4.52900882502,648.666666667,31.7030617751,0.14867445947
frustrat,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
ask,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
stubborn,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
pick,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
wonder,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
harm,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
boccaccio,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
get,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
midst,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
let,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
done,4,139.0,4.93447393313,556.0,19.7378957325,0.127435250974
