term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
gill,14,139.0,4.93447393313,1946.0,69.0826350638,0.893480257117
love,30,64.1538461538,4.1612840449,1924.61538461,124.838521347,0.883661792752
forgiv,10,139.0,4.93447393313,1390.0,49.3447393313,0.638200183655
unto,8,139.0,4.93447393313,1112.0,39.475791465,0.510560146924
grace,8,139.0,4.93447393313,1112.0,39.475791465,0.510560146924
anoth,28,30.8888888889,3.43039653635,864.888888889,96.0511030178,0.397102336496
unfeign,6,139.0,4.93447393313,834.0,29.6068435988,0.382920110193
kind,10,83.4,4.42364830936,834.0,44.2364830936,0.382920110193
christ,8,104.25,4.64679186068,834.0,37.1743348854,0.382920110193
brethren,6,139.0,4.93447393313,834.0,29.6068435988,0.382920110193
humil,6,139.0,4.93447393313,834.0,29.6068435988,0.382920110193
let,6,139.0,4.93447393313,834.0,29.6068435988,0.382920110193
chariti,6,139.0,4.93447393313,834.0,29.6068435988,0.382920110193
humbl,6,139.0,4.93447393313,834.0,29.6068435988,0.382920110193
evil,5,139.0,4.93447393313,695.0,24.6723696657,0.319100091827
pet,5,139.0,4.93447393313,695.0,24.6723696657,0.319100091827
yourselv,5,139.0,4.93447393313,695.0,24.6723696657,0.319100091827
esteem,5,139.0,4.93447393313,695.0,24.6723696657,0.319100091827
mind,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.273514364424
courteous,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
stir,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
sunday,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
meek,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
outlin,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
shall,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
sermon,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
pure,4,139.0,4.93447393313,556.0,19.7378957325,0.255280073462
heart,12,46.3333333333,3.83586164446,556.0,46.0303397335,0.255280073462
spirit,5,104.25,4.64679186068,521.25,23.2339593034,0.239325068871
god,16,32.0769230769,3.46813686434,513.23076923,55.4901898294,0.235643144734
bear,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.218811491539
belov,3,139.0,4.93447393313,417.0,14.8034217994,0.191460055096
should,6,69.5,4.24132675257,417.0,25.4479605154,0.191460055096
strife,3,139.0,4.93447393313,417.0,14.8034217994,0.191460055096
hearer,3,139.0,4.93447393313,417.0,14.8034217994,0.191460055096
compass,3,139.0,4.93447393313,417.0,14.8034217994,0.191460055096
bold,3,139.0,4.93447393313,417.0,14.8034217994,0.191460055096
