term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
selfish,6,139.0,4.93447393313,834.0,29.6068435988,1.30109204368
karma,5,139.0,4.93447393313,695.0,24.6723696657,1.08424336973
mind,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.929351459774
yoga,4,139.0,4.93447393313,556.0,19.7378957325,0.867394695788
feel,4,139.0,4.93447393313,556.0,19.7378957325,0.867394695788
must,8,59.5714285714,4.08717607274,476.571428571,32.6974085819,0.743481167818
fruit,3,139.0,4.93447393313,417.0,14.8034217994,0.650546021841
motiv,3,139.0,4.93447393313,417.0,14.8034217994,0.650546021841
viewpoint,3,139.0,4.93447393313,417.0,14.8034217994,0.650546021841
jnana,3,139.0,4.93447393313,417.0,14.8034217994,0.650546021841
want,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.557610875864
will,11,30.8888888889,3.43039653635,339.777777778,37.7343618999,0.530074536315
spirit,3,104.25,4.64679186068,312.75,13.940375582,0.487909516381
indriya,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
reward,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
everyth,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
done,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
expect,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
vikshepa,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
attach,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
mala,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
renunci,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
purer,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
avarana,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
worship,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
tri,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
intens,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
selfless,2,139.0,4.93447393313,278.0,9.86894786626,0.433697347894
love,3,64.1538461538,4.1612840449,192.461538461,12.4838521347,0.30025201008
action,5,37.9090909091,3.635190949,189.545454546,18.175954745,0.2957027372
god,5,32.0769230769,3.46813686434,160.384615385,17.3406843217,0.2502100084
balanc,2,75.8181818182,4.32833812956,151.636363636,8.65667625912,0.23656218976
fieri,1,139.0,4.93447393313,139.0,4.93447393313,0.216848673947
