term,freq,idf,logidf,tfidf,logtfidf
tortur,21,139.0,4.93447393313,2919.0,103.623952596
jessen,13,139.0,4.93447393313,1807.0,64.1481611307
mitchel,12,139.0,4.93447393313,1668.0,59.2136871976
cia,16,75.8181818182,4.32833812956,1213.09090909,69.253410073
—,8,139.0,4.93447393313,1112.0,39.475791465
rizzo,7,139.0,4.93447393313,973.0,34.5413175319
rodriguez,5,139.0,4.93447393313,695.0,24.6723696657
detaine,4,139.0,4.93447393313,556.0,19.7378957325
attorney,4,139.0,4.93447393313,556.0,19.7378957325
prison,4,139.0,4.93447393313,556.0,19.7378957325
judg,4,139.0,4.93447393313,556.0,19.7378957325
schedul,4,139.0,4.93447393313,556.0,19.7378957325
lawsuit,4,139.0,4.93447393313,556.0,19.7378957325
plaintiff,3,139.0,4.93447393313,417.0,14.8034217994
salim,3,139.0,4.93447393313,417.0,14.8034217994
deposit,3,139.0,4.93447393313,417.0,14.8034217994
abdullah,3,139.0,4.93447393313,417.0,14.8034217994
suleiman,3,139.0,4.93447393313,417.0,14.8034217994
senat,3,139.0,4.93447393313,417.0,14.8034217994
psychologist,3,139.0,4.93447393313,417.0,14.8034217994
aclu,3,139.0,4.93447393313,417.0,14.8034217994
bush,3,92.6666666667,4.52900882502,278.0,13.5870264751
justic,3,92.6666666667,4.52900882502,278.0,13.5870264751
abus,2,139.0,4.93447393313,278.0,9.86894786626
request,2,139.0,4.93447393313,278.0,9.86894786626
rahman,2,139.0,4.93447393313,278.0,9.86894786626
unpreced,2,139.0,4.93447393313,278.0,9.86894786626
counsel,2,139.0,4.93447393313,278.0,9.86894786626
gul,2,139.0,4.93447393313,278.0,9.86894786626
happen,2,139.0,4.93447393313,278.0,9.86894786626
inflict,2,139.0,4.93447393313,278.0,9.86894786626
violat,2,139.0,4.93447393313,278.0,9.86894786626
interrog,2,139.0,4.93447393313,278.0,9.86894786626
get,2,139.0,4.93447393313,278.0,9.86894786626
program,9,26.9032258065,3.29224619787,242.129032258,29.6302157808
method,6,37.9090909091,3.635190949,227.454545455,21.811145694
secret,3,69.5,4.24132675257,208.5,12.7239802577
bruce,2,104.25,4.64679186068,208.5,9.29358372136
experiment,2,104.25,4.64679186068,208.5,9.29358372136
defend,2,92.6666666667,4.52900882502,185.333333333,9.05801765004
implement,2,92.6666666667,4.52900882502,185.333333333,9.05801765004
court,5,33.36,3.50735757749,166.8,17.5367878875
keep,2,83.4,4.42364830936,166.8,8.84729661872
paid,1,139.0,4.93447393313,139.0,4.93447393313
detent,1,139.0,4.93447393313,139.0,4.93447393313
insid,1,139.0,4.93447393313,139.0,4.93447393313
oblig,1,139.0,4.93447393313,139.0,4.93447393313
judici,1,139.0,4.93447393313,139.0,4.93447393313
expect,1,139.0,4.93447393313,139.0,4.93447393313
rendit,1,139.0,4.93447393313,139.0,4.93447393313
session,1,139.0,4.93447393313,139.0,4.93447393313
highlevel,1,139.0,4.93447393313,139.0,4.93447393313
ahm,1,139.0,4.93447393313,139.0,4.93447393313
senior,1,139.0,4.93447393313,139.0,4.93447393313
ben,1,139.0,4.93447393313,139.0,4.93447393313
highrank,1,139.0,4.93447393313,139.0,4.93447393313
oath,1,139.0,4.93447393313,139.0,4.93447393313
shut,1,139.0,4.93447393313,139.0,4.93447393313
stuf,1,139.0,4.93447393313,139.0,4.93447393313
ask,1,139.0,4.93447393313,139.0,4.93447393313
“abil,1,139.0,4.93447393313,139.0,4.93447393313
thrown,1,139.0,4.93447393313,139.0,4.93447393313
purport,1,139.0,4.93447393313,139.0,4.93447393313
facil,1,139.0,4.93447393313,139.0,4.93447393313
quackenbush,1,139.0,4.93447393313,139.0,4.93447393313
midfebruari,1,139.0,4.93447393313,139.0,4.93447393313
geneva,1,139.0,4.93447393313,139.0,4.93447393313
memo,1,139.0,4.93447393313,139.0,4.93447393313
coffinlik,1,139.0,4.93447393313,139.0,4.93447393313
slahi,1,139.0,4.93447393313,139.0,4.93447393313
stillsecret,1,139.0,4.93447393313,139.0,4.93447393313
psycholog,1,139.0,4.93447393313,139.0,4.93447393313
illeg,1,139.0,4.93447393313,139.0,4.93447393313
pain,1,139.0,4.93447393313,139.0,4.93447393313
bar,1,139.0,4.93447393313,139.0,4.93447393313
secreci,1,139.0,4.93447393313,139.0,4.93447393313
olc,1,139.0,4.93447393313,139.0,4.93447393313
inhuman,1,139.0,4.93447393313,139.0,4.93447393313
