term,freq,idf,logidf,tfidf,logtfidf
worker,21,92.6666666667,4.52900882502,1946.0,95.1091853254
fergi,8,139.0,4.93447393313,1112.0,39.475791465
get,8,139.0,4.93447393313,1112.0,39.475791465
feast,7,139.0,4.93447393313,973.0,34.5413175319
too,8,119.142857143,4.7803232533,953.142857144,38.2425860264
kichi,6,139.0,4.93447393313,834.0,29.6068435988
soul,10,83.4,4.42364830936,834.0,44.2364830936
priest,5,139.0,4.93447393313,695.0,24.6723696657
kitchen,5,139.0,4.93447393313,695.0,24.6723696657
prayer,5,139.0,4.93447393313,695.0,24.6723696657
pain,5,139.0,4.93447393313,695.0,24.6723696657
know,7,83.4,4.42364830936,583.8,30.9655381655
tri,4,139.0,4.93447393313,556.0,19.7378957325
floor,4,139.0,4.93447393313,556.0,19.7378957325
burial,4,139.0,4.93447393313,556.0,19.7378957325
pig,4,139.0,4.93447393313,556.0,19.7378957325
happi,4,139.0,4.93447393313,556.0,19.7378957325
knew,4,139.0,4.93447393313,556.0,19.7378957325
answer,4,139.0,4.93447393313,556.0,19.7378957325
pray,4,139.0,4.93447393313,556.0,19.7378957325
told,4,139.0,4.93447393313,556.0,19.7378957325
friend,11,49.0588235294,3.8930200583,539.647058823,42.8232206413
die,14,37.9090909091,3.635190949,530.727272727,50.892673286
laid,5,104.25,4.64679186068,521.25,23.2339593034
went,9,52.125,3.95364468012,469.125,35.5828021211
sheehan,3,139.0,4.93447393313,417.0,14.8034217994
night,4,104.25,4.64679186068,417.0,18.5871674427
moment,3,139.0,4.93447393313,417.0,14.8034217994
tell,3,139.0,4.93447393313,417.0,14.8034217994
detroit,3,139.0,4.93447393313,417.0,14.8034217994
stanley,3,139.0,4.93447393313,417.0,14.8034217994
jap,3,139.0,4.93447393313,417.0,14.8034217994
ugli,3,139.0,4.93447393313,417.0,14.8034217994
gay,3,139.0,4.93447393313,417.0,14.8034217994
apostl,3,139.0,4.93447393313,417.0,14.8034217994
labor,3,139.0,4.93447393313,417.0,14.8034217994
stmari,3,139.0,4.93447393313,417.0,14.8034217994
bought,3,139.0,4.93447393313,417.0,14.8034217994
breadlin,3,139.0,4.93447393313,417.0,14.8034217994
step,3,139.0,4.93447393313,417.0,14.8034217994
should,6,69.5,4.24132675257,417.0,25.4479605154
ryder,3,139.0,4.93447393313,417.0,14.8034217994
bed,3,139.0,4.93447393313,417.0,14.8034217994
rememb,3,139.0,4.93447393313,417.0,14.8034217994
street,7,59.5714285714,4.08717607274,417.0,28.6102325092
alway,9,46.3333333333,3.83586164446,417.0,34.5227548001
cathol,12,33.36,3.50735757749,400.32,42.0882909299
bishop,3,119.142857143,4.7803232533,357.428571429,14.3409697599
how,8,43.8947368421,3.78179442319,351.157894737,30.2543553855
hospit,4,83.4,4.42364830936,333.6,17.6945932374
farm,4,83.4,4.42364830936,333.6,17.6945932374
down,9,36.2608695652,3.59073918643,326.347826087,32.3166526779
god,10,32.0769230769,3.46813686434,320.769230769,34.6813686434
could,10,32.0769230769,3.46813686434,320.769230769,34.6813686434
away,3,104.25,4.64679186068,312.75,13.940375582
say,4,75.8181818182,4.32833812956,303.272727273,17.3133525182
arthur,4,75.8181818182,4.32833812956,303.272727273,17.3133525182
