term,freq,idf,logidf,tfidf,logtfidf
allah,29,139.0,4.93447393313,4031.0,143.099744061
nūh,25,139.0,4.93447393313,3475.0,123.361848328
prophet,18,139.0,4.93447393313,2502.0,88.8205307963
choic,20,119.142857143,4.7803232533,2382.85714286,95.606465066
punish,17,139.0,4.93447393313,2363.0,83.8860568632
ark,15,139.0,4.93447393313,2085.0,74.017108997
flood,13,104.25,4.64679186068,1355.25,60.4082941888
methodolog,9,139.0,4.93447393313,1251.0,44.4102653982
save,8,139.0,4.93447393313,1112.0,39.475791465
da'wah,8,139.0,4.93447393313,1112.0,39.475791465
truth,13,83.4,4.42364830936,1084.2,57.5074280217
say,11,75.8181818182,4.32833812956,834.0,47.6117194252
warn,6,139.0,4.93447393313,834.0,29.6068435988
anyon,6,139.0,4.93447393313,834.0,29.6068435988
﻿,6,139.0,4.93447393313,834.0,29.6068435988
shirk,6,139.0,4.93447393313,834.0,29.6068435988
nor,8,104.25,4.64679186068,834.0,37.1743348854
ta'ālā,5,139.0,4.93447393313,695.0,24.6723696657
alayhissalām,5,139.0,4.93447393313,695.0,24.6723696657
ummah,5,139.0,4.93447393313,695.0,24.6723696657
creed,5,139.0,4.93447393313,695.0,24.6723696657
falsehood,5,139.0,4.93447393313,695.0,24.6723696657
choos,5,139.0,4.93447393313,695.0,24.6723696657
tion,5,139.0,4.93447393313,695.0,24.6723696657
dabiq,5,139.0,4.93447393313,695.0,24.6723696657
will,18,30.8888888889,3.43039653635,556.0,61.7471376543
anyth,4,139.0,4.93447393313,556.0,19.7378957325
“the,4,139.0,4.93447393313,556.0,19.7378957325
re,4,139.0,4.93447393313,556.0,19.7378957325
aljūdī,4,139.0,4.93447393313,556.0,19.7378957325
ridicul,4,139.0,4.93447393313,556.0,19.7378957325
ing,4,139.0,4.93447393313,556.0,19.7378957325
inde,4,139.0,4.93447393313,556.0,19.7378957325
vers,4,139.0,4.93447393313,556.0,19.7378957325
els,4,139.0,4.93447393313,556.0,19.7378957325
drown,4,139.0,4.93447393313,556.0,19.7378957325
messeng,4,139.0,4.93447393313,556.0,19.7378957325
ibn,4,139.0,4.93447393313,556.0,19.7378957325
deviat,4,139.0,4.93447393313,556.0,19.7378957325
threat,4,139.0,4.93447393313,556.0,19.7378957325
contempl,4,139.0,4.93447393313,556.0,19.7378957325
didn't,4,139.0,4.93447393313,556.0,19.7378957325
mention,4,139.0,4.93447393313,556.0,19.7378957325
generat,10,52.125,3.95364468012,521.25,39.5364468012
amongst,5,92.6666666667,4.52900882502,463.333333333,22.6450441251
tone,3,139.0,4.93447393313,417.0,14.8034217994
alayhi,3,139.0,4.93447393313,417.0,14.8034217994
hūd,3,139.0,4.93447393313,417.0,14.8034217994
misguid,3,139.0,4.93447393313,417.0,14.8034217994
con,3,139.0,4.93447393313,417.0,14.8034217994
propon,3,139.0,4.93447393313,417.0,14.8034217994
kufr,3,139.0,4.93447393313,417.0,14.8034217994
accus,3,139.0,4.93447393313,417.0,14.8034217994
sallallāhu,3,139.0,4.93447393313,417.0,14.8034217994
bid'ah,3,139.0,4.93447393313,417.0,14.8034217994
com,3,139.0,4.93447393313,417.0,14.8034217994
“free,3,139.0,4.93447393313,417.0,14.8034217994
wa,3,139.0,4.93447393313,417.0,14.8034217994
pain,3,139.0,4.93447393313,417.0,14.8034217994
sallam,3,139.0,4.93447393313,417.0,14.8034217994
fear,3,139.0,4.93447393313,417.0,14.8034217994
clariti,3,139.0,4.93447393313,417.0,14.8034217994
agre,4,104.25,4.64679186068,417.0,18.5871674427
ment,3,139.0,4.93447393313,417.0,14.8034217994
shade,3,139.0,4.93447393313,417.0,14.8034217994
statement,5,83.4,4.42364830936,417.0,22.1182415468
contradict,3,139.0,4.93447393313,417.0,14.8034217994
dunyā,3,139.0,4.93447393313,417.0,14.8034217994
“if,3,139.0,4.93447393313,417.0,14.8034217994
said,10,41.7,3.7305011288,417.0,37.305011288
af,3,139.0,4.93447393313,417.0,14.8034217994
extent,3,119.142857143,4.7803232533,357.428571429,14.3409697599
send,3,119.142857143,4.7803232533,357.428571429,14.3409697599
if,11,28.7586206897,3.35893757237,316.344827587,36.9483132961
correct,3,104.25,4.64679186068,312.75,13.940375582
sent,3,104.25,4.64679186068,312.75,13.940375582
realiti,3,104.25,4.64679186068,312.75,13.940375582
issu,10,30.8888888889,3.43039653635,308.888888889,34.3039653635
would,17,18.1304347826,2.89759200587,308.217391304,49.2590640998
fact,11,27.8,3.3250360207,305.8,36.5753962277
ideolog,4,75.8181818182,4.32833812956,303.272727273,17.3133525182
those,19,15.4444444444,2.73724935579,293.444444444,52.00773776
sign,9,32.0769230769,3.46813686434,288.692307692,31.2132317791
prais,2,139.0,4.93447393313,278.0,9.86894786626
ter,2,139.0,4.93447393313,278.0,9.86894786626
muhammad,2,139.0,4.93447393313,278.0,9.86894786626
illallāh,2,139.0,4.93447393313,278.0,9.86894786626
nifāq,2,139.0,4.93447393313,278.0,9.86894786626
alay,2,139.0,4.93447393313,278.0,9.86894786626
judgment,2,139.0,4.93447393313,278.0,9.86894786626
“it,2,139.0,4.93447393313,278.0,9.86894786626
tool,4,69.5,4.24132675257,278.0,16.9653070103
pollut,2,139.0,4.93447393313,278.0,9.86894786626
vow,2,139.0,4.93447393313,278.0,9.86894786626
“i,2,139.0,4.93447393313,278.0,9.86894786626
bless,2,139.0,4.93447393313,278.0,9.86894786626
worship,2,139.0,4.93447393313,278.0,9.86894786626
can't,2,139.0,4.93447393313,278.0,9.86894786626
panion,2,139.0,4.93447393313,278.0,9.86894786626
mutawātir,2,139.0,4.93447393313,278.0,9.86894786626
sahābah,2,139.0,4.93447393313,278.0,9.86894786626
wrong,2,139.0,4.93447393313,278.0,9.86894786626
onto,2,139.0,4.93447393313,278.0,9.86894786626
lah,2,139.0,4.93447393313,278.0,9.86894786626
they'v,2,139.0,4.93447393313,278.0,9.86894786626
hereaft,2,139.0,4.93447393313,278.0,9.86894786626
portray,2,139.0,4.93447393313,278.0,9.86894786626
’s,2,139.0,4.93447393313,278.0,9.86894786626
abandon,2,139.0,4.93447393313,278.0,9.86894786626
ship,4,69.5,4.24132675257,278.0,16.9653070103
triumphant,2,139.0,4.93447393313,278.0,9.86894786626
ashshawkānī,2,139.0,4.93447393313,278.0,9.86894786626
ignor,2,139.0,4.93447393313,278.0,9.86894786626
albukhārī,2,139.0,4.93447393313,278.0,9.86894786626
hissalām,2,139.0,4.93447393313,278.0,9.86894786626
afflict,2,139.0,4.93447393313,278.0,9.86894786626
caller,2,139.0,4.93447393313,278.0,9.86894786626
revel,2,139.0,4.93447393313,278.0,9.86894786626
er,2,139.0,4.93447393313,278.0,9.86894786626
liev,2,139.0,4.93447393313,278.0,9.86894786626
essenc,2,139.0,4.93447393313,278.0,9.86894786626
decre,2,139.0,4.93447393313,278.0,9.86894786626
disbeliev,2,139.0,4.93447393313,278.0,9.86894786626
deceiv,2,139.0,4.93447393313,278.0,9.86894786626
ilāha,2,139.0,4.93447393313,278.0,9.86894786626
we'r,2,139.0,4.93447393313,278.0,9.86894786626
tri,2,139.0,4.93447393313,278.0,9.86894786626
inconceiv,2,139.0,4.93447393313,278.0,9.86894786626
heresi,2,139.0,4.93447393313,278.0,9.86894786626
furthermor,2,139.0,4.93447393313,278.0,9.86894786626
imrān,2,139.0,4.93447393313,278.0,9.86894786626
situa,2,139.0,4.93447393313,278.0,9.86894786626
wish,2,139.0,4.93447393313,278.0,9.86894786626
whom,6,46.3333333333,3.83586164446,278.0,23.0151698668
the,273,1.0,0.0,273.0,0.0
muslim,6,43.8947368421,3.78179442319,263.368421053,22.6907665391
islam,9,26.9032258065,3.29224619787,242.129032258,29.6302157808
fair,2,119.142857143,4.7803232533,238.285714286,9.5606465066
clear,4,59.5714285714,4.08717607274,238.285714286,16.348704291
creation,4,59.5714285714,4.08717607274,238.285714286,16.348704291
upon,10,22.5405405405,3.11531548971,225.405405405,31.1531548971
