term,freq,idf,logidf,tfidf,logtfidf
condemn,24,139.0,4.93447393313,3336.0,118.427374395
christ,27,104.25,4.64679186068,2814.75,125.463380238
sinner,12,139.0,4.93447393313,1668.0,59.2136871976
guilti,11,139.0,4.93447393313,1529.0,54.2792132644
righteous,11,139.0,4.93447393313,1529.0,54.2792132644
jesus,22,64.1538461538,4.1612840449,1411.38461538,91.5482489878
nt,10,139.0,4.93447393313,1390.0,49.3447393313
answer,9,139.0,4.93447393313,1251.0,44.4102653982
god,37,32.0769230769,3.46813686434,1186.84615385,128.321063981
judg,8,139.0,4.93447393313,1112.0,39.475791465
s,16,64.1538461538,4.1612840449,1026.46153846,66.5805447184
vers,7,139.0,4.93447393313,973.0,34.5413175319
etern,6,139.0,4.93447393313,834.0,29.6068435988
resurrect,6,139.0,4.93447393313,834.0,29.6068435988
sin,6,139.0,4.93447393313,834.0,29.6068435988
joy,5,139.0,4.93447393313,695.0,24.6723696657
justifi,5,139.0,4.93447393313,695.0,24.6723696657
equat,8,83.4,4.42364830936,667.2,35.3891864749
interced,4,139.0,4.93447393313,556.0,19.7378957325
dread,4,139.0,4.93447393313,556.0,19.7378957325
grace,4,139.0,4.93447393313,556.0,19.7378957325
yes,4,139.0,4.93447393313,556.0,19.7378957325
ask,4,139.0,4.93447393313,556.0,19.7378957325
christjesus,4,139.0,4.93447393313,556.0,19.7378957325
add,4,139.0,4.93447393313,556.0,19.7378957325
mine,6,83.4,4.42364830936,500.4,26.5418898562
might,7,64.1538461538,4.1612840449,449.076923077,29.1289883143
thatw,3,139.0,4.93447393313,417.0,14.8034217994
piper,3,139.0,4.93447393313,417.0,14.8034217994
bring,5,83.4,4.42364830936,417.0,22.1182415468
get,3,139.0,4.93447393313,417.0,14.8034217994
anyth,3,139.0,4.93447393313,417.0,14.8034217994
remov,5,75.8181818182,4.32833812956,379.090909091,21.6416906478
faith,7,52.125,3.95364468012,364.875,27.6755127608
lay,3,119.142857143,4.7803232533,357.428571429,14.3409697599
how,8,43.8947368421,3.78179442319,351.157894737,30.2543553855
crown,7,43.8947368421,3.78179442319,307.263157895,26.4725609623
say,4,75.8181818182,4.32833812956,303.272727273,17.3133525182
charg,3,92.6666666667,4.52900882502,278.0,13.5870264751
justjudg,2,139.0,4.93447393313,278.0,9.86894786626
andlov,2,139.0,4.93447393313,278.0,9.86894786626
hallelujah,2,139.0,4.93447393313,278.0,9.86894786626
clothedin,2,139.0,4.93447393313,278.0,9.86894786626
intercessionof,2,139.0,4.93447393313,278.0,9.86894786626
jesuschrist,2,139.0,4.93447393313,278.0,9.86894786626
cloth,2,139.0,4.93447393313,278.0,9.86894786626
whi,2,139.0,4.93447393313,278.0,9.86894786626
hope,2,139.0,4.93447393313,278.0,9.86894786626
reckon,2,139.0,4.93447393313,278.0,9.86894786626
bold,2,139.0,4.93447393313,278.0,9.86894786626
underlin,2,139.0,4.93447393313,278.0,9.86894786626
stick,2,139.0,4.93447393313,278.0,9.86894786626
savior,2,139.0,4.93447393313,278.0,9.86894786626
nowno,2,139.0,4.93447393313,278.0,9.86894786626
aliv,2,139.0,4.93447393313,278.0,9.86894786626
let,2,139.0,4.93447393313,278.0,9.86894786626
divin,4,69.5,4.24132675257,278.0,16.9653070103
plea,2,139.0,4.93447393313,278.0,9.86894786626
condemnationto,2,139.0,4.93447393313,278.0,9.86894786626
godi,2,139.0,4.93447393313,278.0,9.86894786626
christi,2,139.0,4.93447393313,278.0,9.86894786626
byfaith,2,139.0,4.93447393313,278.0,9.86894786626
wonder,2,139.0,4.93447393313,278.0,9.86894786626
essenc,2,139.0,4.93447393313,278.0,9.86894786626
intercess,2,139.0,4.93447393313,278.0,9.86894786626
perfect,2,139.0,4.93447393313,278.0,9.86894786626
toni,2,139.0,4.93447393313,278.0,9.86894786626
heaven,2,139.0,4.93447393313,278.0,9.86894786626
valid,2,139.0,4.93447393313,278.0,9.86894786626
romansnum,2,139.0,4.93447393313,278.0,9.86894786626
