term,freq,idf,logidf,tfidf,logtfidf
israel,25,49.0588235294,3.8930200583,1226.47058823,97.3255014575
messag,6,139.0,4.93447393313,834.0,29.6068435988
thank,5,139.0,4.93447393313,695.0,24.6723696657
isra,5,139.0,4.93447393313,695.0,24.6723696657
knesset,5,139.0,4.93447393313,695.0,24.6723696657
synagogu,5,139.0,4.93447393313,695.0,24.6723696657
judaism,5,119.142857143,4.7803232533,595.714285715,23.9016162665
serious,5,119.142857143,4.7803232533,595.714285715,23.9016162665
avenu,4,139.0,4.93447393313,556.0,19.7378957325
rabbin,4,139.0,4.93447393313,556.0,19.7378957325
lapid,4,139.0,4.93447393313,556.0,19.7378957325
threat,4,139.0,4.93447393313,556.0,19.7378957325
yair,4,139.0,4.93447393313,556.0,19.7378957325
jewish,12,36.2608695652,3.59073918643,435.130434782,43.0888702372
ourselv,3,139.0,4.93447393313,417.0,14.8034217994
rabbah,3,139.0,4.93447393313,417.0,14.8034217994
complain,3,139.0,4.93447393313,417.0,14.8034217994
haver,3,139.0,4.93447393313,417.0,14.8034217994
nonorthodox,3,139.0,4.93447393313,417.0,14.8034217994
todah,3,139.0,4.93447393313,417.0,14.8034217994
love,6,64.1538461538,4.1612840449,384.923076923,24.9677042694
behalf,3,119.142857143,4.7803232533,357.428571429,14.3409697599
stand,4,75.8181818182,4.32833812956,303.272727273,17.3133525182
advoc,3,92.6666666667,4.52900882502,278.0,13.5870264751
rememb,2,139.0,4.93447393313,278.0,9.86894786626
fraenkel,2,139.0,4.93447393313,278.0,9.86894786626
welcom,2,139.0,4.93447393313,278.0,9.86894786626
jewri,2,139.0,4.93447393313,278.0,9.86894786626
odd,2,139.0,4.93447393313,278.0,9.86894786626
diasporaisrael,2,139.0,4.93447393313,278.0,9.86894786626
kidnap,2,139.0,4.93447393313,278.0,9.86894786626
conservativemasorti,2,139.0,4.93447393313,278.0,9.86894786626
gone,2,139.0,4.93447393313,278.0,9.86894786626
pleas,2,139.0,4.93447393313,278.0,9.86894786626
shaer,2,139.0,4.93447393313,278.0,9.86894786626
taught,2,139.0,4.93447393313,278.0,9.86894786626
yifrach,2,139.0,4.93447393313,278.0,9.86894786626
recal,2,139.0,4.93447393313,278.0,9.86894786626
vibrant,2,139.0,4.93447393313,278.0,9.86894786626
sit,2,139.0,4.93447393313,278.0,9.86894786626
congreg,2,139.0,4.93447393313,278.0,9.86894786626
whi,2,139.0,4.93447393313,278.0,9.86894786626
pluralist,2,139.0,4.93447393313,278.0,9.86894786626
mose,2,139.0,4.93447393313,278.0,9.86894786626
joshua,2,139.0,4.93447393313,278.0,9.86894786626
need,6,43.8947368421,3.78179442319,263.368421053,22.6907665391
here,5,52.125,3.95364468012,260.625,19.7682234006
voic,2,119.142857143,4.7803232533,238.285714286,9.5606465066
commit,2,119.142857143,4.7803232533,238.285714286,9.5606465066
dynam,2,119.142857143,4.7803232533,238.285714286,9.5606465066
want,2,119.142857143,4.7803232533,238.285714286,9.5606465066
engag,2,104.25,4.64679186068,208.5,9.29358372136
