term,freq,idf,logidf,tfidf,logtfidf
wish,10,139.0,4.93447393313,1390.0,49.3447393313
love,16,64.1538461538,4.1612840449,1026.46153846,66.5805447184
saint,20,43.8947368421,3.78179442319,877.894736842,75.6358884638
let,6,139.0,4.93447393313,834.0,29.6068435988
thi,5,139.0,4.93447393313,695.0,24.6723696657
benevol,5,139.0,4.93447393313,695.0,24.6723696657
thee,5,139.0,4.93447393313,695.0,24.6723696657
thou,4,139.0,4.93447393313,556.0,19.7378957325
glori,4,139.0,4.93447393313,556.0,19.7378957325
noth,4,139.0,4.93447393313,556.0,19.7378957325
shri,4,139.0,4.93447393313,556.0,19.7378957325
god,14,32.0769230769,3.46813686434,449.076923077,48.5539161008
moksha,3,139.0,4.93447393313,417.0,14.8034217994
ourselv,3,139.0,4.93447393313,417.0,14.8034217994
perfect,3,139.0,4.93447393313,417.0,14.8034217994
fear,3,139.0,4.93447393313,417.0,14.8034217994
pandit,3,139.0,4.93447393313,417.0,14.8034217994
bless,3,139.0,4.93447393313,417.0,14.8034217994
flower,3,139.0,4.93447393313,417.0,14.8034217994
worthi,3,139.0,4.93447393313,417.0,14.8034217994
protector,3,119.142857143,4.7803232533,357.428571429,14.3409697599
here,6,52.125,3.95364468012,312.75,23.7218680807
seem,3,104.25,4.64679186068,312.75,13.940375582
exagger,2,139.0,4.93447393313,278.0,9.86894786626
practis,2,139.0,4.93447393313,278.0,9.86894786626
imposs,2,139.0,4.93447393313,278.0,9.86894786626
reward,2,139.0,4.93447393313,278.0,9.86894786626
accident,2,139.0,4.93447393313,278.0,9.86894786626
pandyan,2,139.0,4.93447393313,278.0,9.86894786626
vishnu,2,139.0,4.93447393313,278.0,9.86894786626
hell,2,139.0,4.93447393313,278.0,9.86894786626
forget,2,139.0,4.93447393313,278.0,9.86894786626
per≠fect,2,139.0,4.93447393313,278.0,9.86894786626
add,2,139.0,4.93447393313,278.0,9.86894786626
fervent,2,139.0,4.93447393313,278.0,9.86894786626
creatur,2,139.0,4.93447393313,278.0,9.86894786626
immens,2,139.0,4.93447393313,278.0,9.86894786626
veda,2,139.0,4.93447393313,278.0,9.86894786626
address,2,139.0,4.93447393313,278.0,9.86894786626
safeti,2,139.0,4.93447393313,278.0,9.86894786626
heaven,2,139.0,4.93447393313,278.0,9.86894786626
krishna,2,139.0,4.93447393313,278.0,9.86894786626
know,3,83.4,4.42364830936,250.2,13.2709449281
