term,freq,idf,logidf,tfidf,logtfidf
s,279,64.1538461538,4.1612840449,17898.9230769,1160.99824853
babylon,68,139.0,4.93447393313,9452.0,335.544227453
re,64,139.0,4.93447393313,8896.0,315.80633172
nt,47,139.0,4.93447393313,6533.0,231.920274857
say,76,75.8181818182,4.32833812956,5762.18181818,328.953697847
whore,34,139.0,4.93447393313,4726.0,167.772113726
bibl,46,92.6666666667,4.52900882502,4262.66666667,208.334405951
talk,29,139.0,4.93447393313,4031.0,143.099744061
woman,33,119.142857143,4.7803232533,3931.71428572,157.750667359
go,66,59.5714285714,4.08717607274,3931.71428571,269.753620801
swear,26,139.0,4.93447393313,3614.0,128.296322261
unto,23,139.0,4.93447393313,3197.0,113.492900462
let,21,139.0,4.93447393313,2919.0,103.623952596
shall,20,139.0,4.93447393313,2780.0,98.6894786626
beast,19,139.0,4.93447393313,2641.0,93.7550047295
get,19,139.0,4.93447393313,2641.0,93.7550047295
think,41,64.1538461538,4.1612840449,2630.30769231,170.612645841
whi,18,139.0,4.93447393313,2502.0,88.8205307963
jerusalem,18,139.0,4.93447393313,2502.0,88.8205307963
fals,18,139.0,4.93447393313,2502.0,88.8205307963
ephah,18,139.0,4.93447393313,2502.0,88.8205307963
wicked,17,139.0,4.93447393313,2363.0,83.8860568632
look,27,83.4,4.42364830936,2251.8,119.438504353
lot,16,139.0,4.93447393313,2224.0,78.9515829301
ll,16,139.0,4.93447393313,2224.0,78.9515829301
god,68,32.0769230769,3.46813686434,2181.23076923,235.833306775
thing,31,69.5,4.24132675257,2154.5,131.48112933
revel,15,139.0,4.93447393313,2085.0,74.017108997
zechariah,15,139.0,4.93447393313,2085.0,74.017108997
thou,13,139.0,4.93447393313,1807.0,64.1481611307
sitteth,13,139.0,4.93447393313,1807.0,64.1481611307
vers,13,139.0,4.93447393313,1807.0,64.1481611307
curs,12,139.0,4.93447393313,1668.0,59.2136871976
persia,12,139.0,4.93447393313,1668.0,59.2136871976
forth,12,139.0,4.93447393313,1668.0,59.2136871976
daniel,12,139.0,4.93447393313,1668.0,59.2136871976
know,19,83.4,4.42364830936,1584.6,84.0493178778
here,30,52.125,3.95364468012,1563.75,118.609340404
chapter,13,119.142857143,4.7803232533,1548.85714286,62.1442022929
tell,11,139.0,4.93447393313,1529.0,54.2792132644
