term,freq,idf,logidf,tfidf,logtfidf
turtl,9,139.0,4.93447393313,1251.0,44.4102653982
shepherd,6,139.0,4.93447393313,834.0,29.6068435988
save,5,139.0,4.93447393313,695.0,24.6723696657
gift,5,139.0,4.93447393313,695.0,24.6723696657
donat,3,139.0,4.93447393313,417.0,14.8034217994
pollut,3,139.0,4.93447393313,417.0,14.8034217994
jairo,3,139.0,4.93447393313,417.0,14.8034217994
campaign,6,52.125,3.95364468012,312.75,23.7218680807
amaz,2,139.0,4.93447393313,278.0,9.86894786626
threat,2,139.0,4.93447393313,278.0,9.86894786626
endang,2,139.0,4.93447393313,278.0,9.86894786626
watson,2,139.0,4.93447393313,278.0,9.86894786626
doubl,3,83.4,4.42364830936,250.2,13.2709449281
will,7,30.8888888889,3.43039653635,216.222222222,24.0127757545
conserv,3,59.5714285714,4.08717607274,178.714285714,12.2615282182
advantag,1,139.0,4.93447393313,139.0,4.93447393313
hatchl,1,139.0,4.93447393313,139.0,4.93447393313
roam,1,139.0,4.93447393313,139.0,4.93447393313
whale,1,139.0,4.93447393313,139.0,4.93447393313
coral,1,139.0,4.93447393313,139.0,4.93447393313
g,1,139.0,4.93447393313,139.0,4.93447393313
costa,1,139.0,4.93447393313,139.0,4.93447393313
charit,1,139.0,4.93447393313,139.0,4.93447393313
plastic,1,139.0,4.93447393313,139.0,4.93447393313
galesi,1,139.0,4.93447393313,139.0,4.93447393313
bass,1,139.0,4.93447393313,139.0,4.93447393313
creatur,1,139.0,4.93447393313,139.0,4.93447393313
hondura,1,139.0,4.93447393313,139.0,4.93447393313
urgent,1,139.0,4.93447393313,139.0,4.93447393313
salmon,1,139.0,4.93447393313,139.0,4.93447393313
dehydr,1,139.0,4.93447393313,139.0,4.93447393313
dollarfordollar,1,139.0,4.93447393313,139.0,4.93447393313
ongo,1,139.0,4.93447393313,139.0,4.93447393313
volunt,1,139.0,4.93447393313,139.0,4.93447393313
cleanup,1,139.0,4.93447393313,139.0,4.93447393313
humaninduc,1,139.0,4.93447393313,139.0,4.93447393313
upcom,1,139.0,4.93447393313,139.0,4.93447393313
seal,1,139.0,4.93447393313,139.0,4.93447393313
disori,1,139.0,4.93447393313,139.0,4.93447393313
illeg,1,139.0,4.93447393313,139.0,4.93447393313
biggest,1,139.0,4.93447393313,139.0,4.93447393313
mike,1,139.0,4.93447393313,139.0,4.93447393313
dolphin,1,139.0,4.93447393313,139.0,4.93447393313
reef,1,139.0,4.93447393313,139.0,4.93447393313
car,1,139.0,4.93447393313,139.0,4.93447393313
vaquita,1,139.0,4.93447393313,139.0,4.93447393313
latest,1,139.0,4.93447393313,139.0,4.93447393313
brave,1,139.0,4.93447393313,139.0,4.93447393313
totoaba,1,139.0,4.93447393313,139.0,4.93447393313
captiv,1,139.0,4.93447393313,139.0,4.93447393313
overfish,1,139.0,4.93447393313,139.0,4.93447393313
thank,1,139.0,4.93447393313,139.0,4.93447393313
dinosaur,1,139.0,4.93447393313,139.0,4.93447393313
generous,1,139.0,4.93447393313,139.0,4.93447393313
ecosystem,1,139.0,4.93447393313,139.0,4.93447393313
rica,1,139.0,4.93447393313,139.0,4.93447393313
crew,1,139.0,4.93447393313,139.0,4.93447393313
ll,1,139.0,4.93447393313,139.0,4.93447393313
pleas,1,139.0,4.93447393313,139.0,4.93447393313
porpois,1,139.0,4.93447393313,139.0,4.93447393313
poach,1,139.0,4.93447393313,139.0,4.93447393313
orca,1,139.0,4.93447393313,139.0,4.93447393313
captain,1,139.0,4.93447393313,139.0,4.93447393313
match,2,55.6,4.01818320126,111.2,8.03636640252
effort,2,55.6,4.01818320126,111.2,8.03636640252
challeng,1,104.25,4.64679186068,104.25,4.64679186068
away,1,104.25,4.64679186068,104.25,4.64679186068
stop,1,104.25,4.64679186068,104.25,4.64679186068
combat,2,49.0588235294,3.8930200583,98.1176470588,7.7860401166
fund,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502
honor,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502
paul,2,46.3333333333,3.83586164446,92.6666666666,7.67172328892
sea,11,8.17647058824,2.10126058907,89.9411764706,23.1138664798
grant,2,43.8947368421,3.78179442319,87.7894736842,7.56358884638
farm,1,83.4,4.42364830936,83.4,4.42364830936
opportun,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
beach,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
support,5,14.8928571429,2.70088171162,74.4642857145,13.5044085581
kill,2,36.2608695652,3.59073918643,72.5217391304,7.18147837286
defens,1,69.5,4.24132675257,69.5,4.24132675257
s,1,64.1538461538,4.1612840449,64.1538461538,4.1612840449
protect,2,32.0769230769,3.46813686434,64.1538461538,6.93627372868
florida,1,64.1538461538,4.1612840449,64.1538461538,4.1612840449
foundat,2,30.8888888889,3.43039653635,61.7777777778,6.8607930727
director,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
prevent,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
mission,1,55.6,4.01818320126,55.6,4.01818320126
ocean,5,10.9736842105,2.39550006207,54.8684210525,11.9775003103
oper,3,18.1304347826,2.89759200587,54.3913043478,8.69277601761
conduct,1,52.125,3.95364468012,52.125,3.95364468012
societi,3,16.3529411765,2.79440776963,49.0588235295,8.38322330889
destruct,1,49.0588235294,3.8930200583,49.0588235294,3.8930200583
fight,1,49.0588235294,3.8930200583,49.0588235294,3.8930200583
ground,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
ago,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
founder,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
fish,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
help,2,21.9473684211,3.08864724263,43.8947368422,6.17729448526
need,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319
how,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319
key,1,41.7,3.7305011288,41.7,3.7305011288
rais,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464
oppos,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464
execut,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464
light,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464
die,1,37.9090909091,3.635190949,37.9090909091,3.635190949
big,1,34.75,3.54817957201,34.75,3.54817957201
advanc,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434
ii,3,10.5569620253,2.35678554989,31.6708860759,7.07035664967
issu,1,30.8888888889,3.43039653635,30.8888888889,3.43039653635
surviv,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787
possibl,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787
without,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787
