term,freq,idf,logidf,tfidf,logtfidf
don,17,139.0,4.93447393313,2363.0,83.8860568632
ill,16,83.4,4.42364830936,1334.4,70.7783729498
s,20,64.1538461538,4.1612840449,1283.07692308,83.225680898
bless,9,139.0,4.93447393313,1251.0,44.4102653982
government,8,139.0,4.93447393313,1112.0,39.475791465
t,26,41.7,3.7305011288,1084.2,96.9930293488
said,24,41.7,3.7305011288,1000.8,89.5320270912
ask,7,139.0,4.93447393313,973.0,34.5413175319
attitud,7,139.0,4.93447393313,973.0,34.5413175319
ve,7,139.0,4.93447393313,973.0,34.5413175319
want,7,119.142857143,4.7803232533,834.000000001,33.4622627731
mph,6,139.0,4.93447393313,834.0,29.6068435988
whi,6,139.0,4.93447393313,834.0,29.6068435988
kind,9,83.4,4.42364830936,750.6,39.8128347842
freedom,15,49.0588235294,3.8930200583,735.882352941,58.3953008745
ll,5,139.0,4.93447393313,695.0,24.6723696657
pay,5,139.0,4.93447393313,695.0,24.6723696657
ticket,5,139.0,4.93447393313,695.0,24.6723696657
should,10,69.5,4.24132675257,695.0,42.4132675257
get,5,139.0,4.93447393313,695.0,24.6723696657
look,8,83.4,4.42364830936,667.2,35.3891864749
respect,17,37.9090909091,3.635190949,644.454545455,61.798246133
woman,5,119.142857143,4.7803232533,595.714285715,23.9016162665
consider,10,59.5714285714,4.08717607274,595.714285714,40.8717607274
i,54,10.9736842105,2.39550006207,592.578947367,129.357003352
think,9,64.1538461538,4.1612840449,577.384615384,37.4515564041
how,13,43.8947368421,3.78179442319,570.631578947,49.1633275015
money,6,92.6666666667,4.52900882502,556.0,27.1740529501
window,6,92.6666666667,4.52900882502,556.0,27.1740529501
nice,4,139.0,4.93447393313,556.0,19.7378957325
polic,4,139.0,4.93447393313,556.0,19.7378957325
troubl,4,139.0,4.93447393313,556.0,19.7378957325
choos,4,139.0,4.93447393313,556.0,19.7378957325
do,25,21.9473684211,3.08864724263,548.684210527,77.2161810658
will,17,30.8888888889,3.43039653635,525.111111111,58.316741118
brain,4,119.142857143,4.7803232533,476.571428572,19.1212930132
better,4,119.142857143,4.7803232533,476.571428572,19.1212930132
too,4,119.142857143,4.7803232533,476.571428572,19.1212930132
good,13,34.75,3.54817957201,451.75,46.1263344361
rodney,3,139.0,4.93447393313,417.0,14.8034217994
wrong,3,139.0,4.93447393313,417.0,14.8034217994
told,3,139.0,4.93447393313,417.0,14.8034217994
know,5,83.4,4.42364830936,417.0,22.1182415468
complain,3,139.0,4.93447393313,417.0,14.8034217994
tax,3,139.0,4.93447393313,417.0,14.8034217994
employe,3,139.0,4.93447393313,417.0,14.8034217994
car,3,139.0,4.93447393313,417.0,14.8034217994
catch,3,139.0,4.93447393313,417.0,14.8034217994
perfect,3,139.0,4.93447393313,417.0,14.8034217994
cost,3,139.0,4.93447393313,417.0,14.8034217994
selfish,3,139.0,4.93447393313,417.0,14.8034217994
dilig,3,139.0,4.93447393313,417.0,14.8034217994
everyth,3,139.0,4.93447393313,417.0,14.8034217994
wesley,3,139.0,4.93447393313,417.0,14.8034217994
shout,3,139.0,4.93447393313,417.0,14.8034217994
whatev,3,139.0,4.93447393313,417.0,14.8034217994
doesn,3,139.0,4.93447393313,417.0,14.8034217994
someon,3,139.0,4.93447393313,417.0,14.8034217994
got,3,139.0,4.93447393313,417.0,14.8034217994
must,7,59.5714285714,4.08717607274,417.0,28.6102325092
alway,9,46.3333333333,3.83586164446,417.0,34.5227548001
hour,3,119.142857143,4.7803232533,357.428571429,14.3409697599
secretari,4,75.8181818182,4.32833812956,303.272727273,17.3133525182
care,3,92.6666666667,4.52900882502,278.0,13.5870264751
hard,3,92.6666666667,4.52900882502,278.0,13.5870264751
conductor,2,139.0,4.93447393313,278.0,9.86894786626
submit,2,139.0,4.93447393313,278.0,9.86894786626
honest,2,139.0,4.93447393313,278.0,9.86894786626
warrior,2,139.0,4.93447393313,278.0,9.86894786626
let,2,139.0,4.93447393313,278.0,9.86894786626
worknum,2,139.0,4.93447393313,278.0,9.86894786626
dollar,2,139.0,4.93447393313,278.0,9.86894786626
peopleil,2,139.0,4.93447393313,278.0,9.86894786626
authoritiesnum,2,139.0,4.93447393313,278.0,9.86894786626
peaceabl,2,139.0,4.93447393313,278.0,9.86894786626
sermon,2,139.0,4.93447393313,278.0,9.86894786626
submiss,2,139.0,4.93447393313,278.0,9.86894786626
tell,2,139.0,4.93447393313,278.0,9.86894786626
ambit,2,139.0,4.93447393313,278.0,9.86894786626
refuge,2,139.0,4.93447393313,278.0,9.86894786626
yourselv,2,139.0,4.93447393313,278.0,9.86894786626
preach,2,139.0,4.93447393313,278.0,9.86894786626
humil,2,139.0,4.93447393313,278.0,9.86894786626
otherwis,2,139.0,4.93447393313,278.0,9.86894786626
