term,freq,idf,logidf,tfidf,logtfidf
mystic,8,139.0,4.93447393313,1112.0,39.475791465
spiritu,16,64.1538461538,4.1612840449,1026.46153846,66.5805447184
accept,25,39.7142857143,3.68171096464,992.857142857,92.042774116
sunday,7,139.0,4.93447393313,973.0,34.5413175319
gay,7,139.0,4.93447393313,973.0,34.5413175319
radic,7,139.0,4.93447393313,973.0,34.5413175319
id,7,139.0,4.93447393313,973.0,34.5413175319
am,7,119.142857143,4.7803232533,834.000000001,33.4622627731
selfaccept,6,139.0,4.93447393313,834.0,29.6068435988
i,75,10.9736842105,2.39550006207,823.026315788,179.662504655
quilt,5,139.0,4.93447393313,695.0,24.6723696657
grandmoth,5,139.0,4.93447393313,695.0,24.6723696657
affirm,5,139.0,4.93447393313,695.0,24.6723696657
congreg,5,139.0,4.93447393313,695.0,24.6723696657
aunt,4,139.0,4.93447393313,556.0,19.7378957325
homosexu,4,139.0,4.93447393313,556.0,19.7378957325
seem,5,104.25,4.64679186068,521.25,23.2339593034
principl,10,49.0588235294,3.8930200583,490.588235294,38.930200583
sexual,5,92.6666666667,4.52900882502,463.333333333,22.6450441251
girl,3,139.0,4.93447393313,417.0,14.8034217994
membership,3,139.0,4.93447393313,417.0,14.8034217994
knew,3,139.0,4.93447393313,417.0,14.8034217994
compass,3,139.0,4.93447393313,417.0,14.8034217994
lesbian,3,139.0,4.93447393313,417.0,14.8034217994
illustr,3,139.0,4.93447393313,417.0,14.8034217994
sure,3,139.0,4.93447393313,417.0,14.8034217994
everyday,3,139.0,4.93447393313,417.0,14.8034217994
encourag,3,139.0,4.93447393313,417.0,14.8034217994
ida,3,139.0,4.93447393313,417.0,14.8034217994
heard,3,139.0,4.93447393313,417.0,14.8034217994
inher,3,139.0,4.93447393313,417.0,14.8034217994
talk,3,139.0,4.93447393313,417.0,14.8034217994
might,6,64.1538461538,4.1612840449,384.923076923,24.9677042694
want,3,119.142857143,4.7803232533,357.428571429,14.3409697599
boy,5,69.5,4.24132675257,347.5,21.2066337629
church,13,26.0625,3.26049749956,338.8125,42.3864674943
find,6,55.6,4.01818320126,333.6,24.1090992076
farm,4,83.4,4.42364830936,333.6,17.6945932374
love,5,64.1538461538,4.1612840449,320.769230769,20.8064202245
morn,3,104.25,4.64679186068,312.75,13.940375582
emot,3,104.25,4.64679186068,312.75,13.940375582
promot,5,59.5714285714,4.08717607274,297.857142857,20.4358803637
dinner,2,139.0,4.93447393313,278.0,9.86894786626
emphas,2,139.0,4.93447393313,278.0,9.86894786626
road,4,69.5,4.24132675257,278.0,16.9653070103
sing,2,139.0,4.93447393313,278.0,9.86894786626
suppos,2,139.0,4.93447393313,278.0,9.86894786626
met,2,139.0,4.93447393313,278.0,9.86894786626
anyon,2,139.0,4.93447393313,278.0,9.86894786626
babcock,2,139.0,4.93447393313,278.0,9.86894786626
ive,2,139.0,4.93447393313,278.0,9.86894786626
digniti,2,139.0,4.93447393313,278.0,9.86894786626
toler,2,139.0,4.93447393313,278.0,9.86894786626
worthi,2,139.0,4.93447393313,278.0,9.86894786626
moment,2,139.0,4.93447393313,278.0,9.86894786626
indianapoli,2,139.0,4.93447393313,278.0,9.86894786626
rain,2,139.0,4.93447393313,278.0,9.86894786626
whitman,2,139.0,4.93447393313,278.0,9.86894786626
lose,2,139.0,4.93447393313,278.0,9.86894786626
baptiz,2,139.0,4.93447393313,278.0,9.86894786626
welcom,2,139.0,4.93447393313,278.0,9.86894786626
solitari,2,139.0,4.93447393313,278.0,9.86894786626
notic,2,139.0,4.93447393313,278.0,9.86894786626
happi,2,139.0,4.93447393313,278.0,9.86894786626
sermon,2,139.0,4.93447393313,278.0,9.86894786626
ask,2,139.0,4.93447393313,278.0,9.86894786626
sacr,2,139.0,4.93447393313,278.0,9.86894786626
awar,2,139.0,4.93447393313,278.0,9.86894786626
equiti,2,139.0,4.93447393313,278.0,9.86894786626
worth,2,139.0,4.93447393313,278.0,9.86894786626
meant,2,139.0,4.93447393313,278.0,9.86894786626
grandpar,2,139.0,4.93447393313,278.0,9.86894786626
crush,2,139.0,4.93447393313,278.0,9.86894786626
tri,2,139.0,4.93447393313,278.0,9.86894786626
unw,2,139.0,4.93447393313,278.0,9.86894786626
get,2,139.0,4.93447393313,278.0,9.86894786626
told,2,139.0,4.93447393313,278.0,9.86894786626
uu,2,139.0,4.93447393313,278.0,9.86894786626
journey,2,139.0,4.93447393313,278.0,9.86894786626
secret,4,69.5,4.24132675257,278.0,16.9653070103
reverend,2,139.0,4.93447393313,278.0,9.86894786626
asid,2,139.0,4.93447393313,278.0,9.86894786626
growth,9,28.7586206897,3.35893757237,258.827586207,30.2304381513
think,4,64.1538461538,4.1612840449,256.615384615,16.6451361796
