term,freq,idf,logidf,tfidf,logtfidf
shall,38,139.0,4.93447393313,5282.0,187.510009459
ye,30,139.0,4.93447393313,4170.0,148.034217994
unto,20,139.0,4.93447393313,2780.0,98.6894786626
thou,16,139.0,4.93447393313,2224.0,78.9515829301
comfort,16,139.0,4.93447393313,2224.0,78.9515829301
thee,14,139.0,4.93447393313,1946.0,69.0826350638
thi,12,139.0,4.93447393313,1668.0,59.2136871976
beast,11,139.0,4.93447393313,1529.0,54.2792132644
shalt,10,139.0,4.93447393313,1390.0,49.3447393313
stone,17,75.8181818182,4.32833812956,1288.90909091,73.5817482025
bless,7,139.0,4.93447393313,973.0,34.5413175319
know,11,83.4,4.42364830936,917.4,48.660131403
ourselv,6,139.0,4.93447393313,834.0,29.6068435988
s,12,64.1538461538,4.1612840449,769.846153846,49.9354085388
am,6,119.142857143,4.7803232533,714.857142858,28.6819395198
consol,5,139.0,4.93447393313,695.0,24.6723696657
job,5,139.0,4.93447393313,695.0,24.6723696657
troubl,5,139.0,4.93447393313,695.0,24.6723696657
thing,10,69.5,4.24132675257,695.0,42.4132675257
neither,5,139.0,4.93447393313,695.0,24.6723696657
sermon,5,139.0,4.93447393313,695.0,24.6723696657
wick,5,139.0,4.93447393313,695.0,24.6723696657
god,21,32.0769230769,3.46813686434,673.615384615,72.8308741511
love,10,64.1538461538,4.1612840449,641.538461538,41.612840449
christ,6,104.25,4.64679186068,625.5,27.8807511641
will,19,30.8888888889,3.43039653635,586.888888889,65.1775341906
evil,4,139.0,4.93447393313,556.0,19.7378957325
outlin,4,139.0,4.93447393313,556.0,19.7378957325
sunday,4,139.0,4.93447393313,556.0,19.7378957325
let,4,139.0,4.93447393313,556.0,19.7378957325
wit,8,69.5,4.24132675257,556.0,33.9306140206
vineyard,4,139.0,4.93447393313,556.0,19.7378957325
grace,4,139.0,4.93447393313,556.0,19.7378957325
merci,4,139.0,4.93447393313,556.0,19.7378957325
i,47,10.9736842105,2.39550006207,515.763157893,112.588502917
father,33,15.1636363636,2.71890021713,500.399999999,89.7237071653
deliv,5,92.6666666667,4.52900882502,463.333333333,22.6450441251
peac,13,34.75,3.54817957201,451.75,46.1263344361
lord,8,55.6,4.01818320126,444.8,32.1454656101
leagu,11,37.9090909091,3.635190949,417.0,39.987100439
knoweth,3,139.0,4.93447393313,417.0,14.8034217994
hath,3,139.0,4.93447393313,417.0,14.8034217994
stumbl,3,139.0,4.93447393313,417.0,14.8034217994
ask,3,139.0,4.93447393313,417.0,14.8034217994
bring,5,83.4,4.42364830936,417.0,22.1182415468
hast,3,139.0,4.93447393313,417.0,14.8034217994
rejoic,3,139.0,4.93447393313,417.0,14.8034217994
cometh,3,139.0,4.93447393313,417.0,14.8034217994
afraid,3,139.0,4.93447393313,417.0,14.8034217994
loveth,3,139.0,4.93447393313,417.0,14.8034217994
hid,3,139.0,4.93447393313,417.0,14.8034217994
isa,3,139.0,4.93447393313,417.0,14.8034217994
trust,3,139.0,4.93447393313,417.0,14.8034217994
go,7,59.5714285714,4.08717607274,417.0,28.6102325092
jesus,6,64.1538461538,4.1612840449,384.923076923,24.9677042694
luther,3,119.142857143,4.7803232533,357.428571429,14.3409697599
