term,freq,idf,logidf,tfidf,logtfidf
happi,22,139.0,4.93447393313,3058.0,108.558426529
want,11,119.142857143,4.7803232533,1310.57142857,52.5835557863
“i,6,139.0,4.93447393313,834.0,29.6068435988
get,3,139.0,4.93447393313,417.0,14.8034217994
stamp,3,139.0,4.93447393313,417.0,14.8034217994
unhappi,3,139.0,4.93447393313,417.0,14.8034217994
joy,3,139.0,4.93447393313,417.0,14.8034217994
got,3,139.0,4.93447393313,417.0,14.8034217994
say,5,75.8181818182,4.32833812956,379.090909091,21.6416906478
can't,2,139.0,4.93447393313,278.0,9.86894786626
moment,2,139.0,4.93447393313,278.0,9.86894786626
pay,2,139.0,4.93447393313,278.0,9.86894786626
disturb,2,139.0,4.93447393313,278.0,9.86894786626
fulfil,2,139.0,4.93447393313,278.0,9.86894786626
mind,2,119.142857143,4.7803232533,238.285714286,9.5606465066
piec,2,119.142857143,4.7803232533,238.285714286,9.5606465066
search,3,75.8181818182,4.32833812956,227.454545455,12.9850143887
effort,4,55.6,4.01818320126,222.4,16.072732805
true,3,59.5714285714,4.08717607274,178.714285714,12.2615282182
imag,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
paper,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
everything—even,1,139.0,4.93447393313,139.0,4.93447393313
borrow,1,139.0,4.93447393313,139.0,4.93447393313
ignor,1,139.0,4.93447393313,139.0,4.93447393313
analyz,1,139.0,4.93447393313,139.0,4.93447393313
goe,1,139.0,4.93447393313,139.0,4.93447393313
personifi,1,139.0,4.93447393313,139.0,4.93447393313
yoga,1,139.0,4.93447393313,139.0,4.93447393313
forget,1,139.0,4.93447393313,139.0,4.93447393313
“ah,1,139.0,4.93447393313,139.0,4.93447393313
minut,1,139.0,4.93447393313,139.0,4.93447393313
worri,1,139.0,4.93447393313,139.0,4.93447393313
lot,1,139.0,4.93447393313,139.0,4.93447393313
crazi,1,139.0,4.93447393313,139.0,4.93447393313
temporari,1,139.0,4.93447393313,139.0,4.93447393313
tire,1,139.0,4.93447393313,139.0,4.93447393313
quiet,1,139.0,4.93447393313,139.0,4.93447393313
anyth,1,139.0,4.93447393313,139.0,4.93447393313
bliss,1,139.0,4.93447393313,139.0,4.93447393313
sit,1,139.0,4.93447393313,139.0,4.93447393313
dollar,1,139.0,4.93447393313,139.0,4.93447393313
caught,1,139.0,4.93447393313,139.0,4.93447393313
realiz,1,139.0,4.93447393313,139.0,4.93447393313
caviti,1,139.0,4.93447393313,139.0,4.93447393313
didn't,1,139.0,4.93447393313,139.0,4.93447393313
troubl,1,139.0,4.93447393313,139.0,4.93447393313
you'll,1,139.0,4.93447393313,139.0,4.93447393313
suppos,1,139.0,4.93447393313,139.0,4.93447393313
everybodi,1,139.0,4.93447393313,139.0,4.93447393313
regain,1,119.142857143,4.7803232533,119.142857143,4.7803232533
am,1,119.142857143,4.7803232533,119.142857143,4.7803232533
fleet,1,119.142857143,4.7803232533,119.142857143,4.7803232533
depress,1,119.142857143,4.7803232533,119.142857143,4.7803232533
atom,1,119.142857143,4.7803232533,119.142857143,4.7803232533
price,1,119.142857143,4.7803232533,119.142857143,4.7803232533
cut,1,119.142857143,4.7803232533,119.142857143,4.7803232533
extern,1,119.142857143,4.7803232533,119.142857143,4.7803232533
better,1,119.142857143,4.7803232533,119.142857143,4.7803232533
seem,1,104.25,4.64679186068,104.25,4.64679186068
obtain,1,104.25,4.64679186068,104.25,4.64679186068
stop,1,104.25,4.64679186068,104.25,4.64679186068
care,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502
print,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502
goal,2,43.8947368421,3.78179442319,87.7894736842,7.56358884638
look,1,83.4,4.42364830936,83.4,4.42364830936
simpl,1,83.4,4.42364830936,83.4,4.42364830936
come,5,16.0384615385,2.77498968378,80.1923076925,13.8749484189
enough,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
hundr,2,36.2608695652,3.59073918643,72.5217391304,7.18147837286
thing,1,69.5,4.24132675257,69.5,4.24132675257
give,2,33.36,3.50735757749,66.72,7.01471515498
god,2,32.0769230769,3.46813686434,64.1538461538,6.93627372868
go,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
daili,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
if,2,28.7586206897,3.35893757237,57.5172413794,6.71787514474
find,1,55.6,4.01818320126,55.6,4.01818320126
again,1,55.6,4.01818320126,55.6,4.01818320126
outsid,2,27.8,3.3250360207,55.6,6.6500720414
aim,1,55.6,4.01818320126,55.6,4.01818320126
so,3,18.5333333333,2.91957091259,55.5999999999,8.75871273777
without,2,26.9032258065,3.29224619787,53.806451613,6.58449239574
purpos,1,52.125,3.95364468012,52.125,3.95364468012
approach,1,52.125,3.95364468012,52.125,3.95364468012
suprem,1,52.125,3.95364468012,52.125,3.95364468012
mix,1,49.0588235294,3.8930200583,49.0588235294,3.8930200583
behind,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
ago,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
basic,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
alway,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
how,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319
quick,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319
reflect,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319
said,1,41.7,3.7305011288,41.7,3.7305011288
way,2,20.3414634146,3.01266133565,40.6829268292,6.0253226713
thousand,1,37.9090909091,3.635190949,37.9090909091,3.635190949
struggl,1,36.2608695652,3.59073918643,36.2608695652,3.59073918643
peac,1,34.75,3.54817957201,34.75,3.54817957201
valu,1,34.75,3.54817957201,34.75,3.54817957201
final,1,34.75,3.54817957201,34.75,3.54817957201
will,1,30.8888888889,3.43039653635,30.8888888889,3.43039653635
the,30,1.0,0.0,30.0,0.0
natur,3,9.92857142857,2.29541660352,29.7857142857,6.88624981056
did,1,28.7586206897,3.35893757237,28.7586206897,3.35893757237
case,1,27.8,3.3250360207,27.8,3.3250360207
befor,3,8.96774193548,2.19363390921,26.9032258064,6.58090172763
never,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774
observ,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774
simpli,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774
take,1,21.9473684211,3.08864724263,21.9473684211,3.08864724263
when,4,5.38064516129,1.68280828544,21.5225806452,6.73123314176
where,2,10.6923076923,2.36952457567,21.3846153846,4.73904915134
can,3,7.06779661017,1.95554877789,21.2033898305,5.86664633367
took,1,20.85,3.03735394824,20.85,3.03735394824
veri,1,20.3414634146,3.01266133565,20.3414634146,3.01266133565
short,1,17.7446808511,2.87608580065,17.7446808511,2.87608580065
all,4,4.34375,1.46873803033,17.375,5.87495212132
practic,1,17.0204081633,2.83441310425,17.0204081633,2.83441310425
are,8,2.12213740458,0.752423790489,16.9770992366,6.01939032391
same,1,16.68,2.81421039693,16.68,2.81421039693
that,9,1.81304347826,0.595006912876,16.3173913043,5.35506221588
back,1,15.1636363636,2.71890021713,15.1636363636,2.71890021713
be,6,2.51204819277,0.921098433442,15.0722891566,5.52659060065
and,15,1.00120048019,0.0011997601919,15.0180072028,0.0179964028785
then,1,14.6315789474,2.68318213452,14.6315789474,2.68318213452
throughout,1,14.1355932203,2.64869595845,14.1355932203,2.64869595845
small,1,12.6363636364,2.53657866033,12.6363636364,2.53657866033
were,3,3.87906976744,1.35559537423,11.6372093023,4.06678612269
common,2,5.79166666667,1.75642010278,11.5833333333,3.51284020556
some,2,5.59731543624,1.72228709641,11.1946308725,3.44457419282
is,10,1.11497326203,0.108830424384,11.1497326203,1.08830424384
becaus,1,11.12,2.40874528882,11.12,2.40874528882
of,11,1.0,0.0,11.0,0.0
i,1,10.9736842105,2.39550006207,10.9736842105,2.39550006207
up,1,10.8311688312,2.38242798051,10.8311688312,2.38242798051
place,1,10.6923076923,2.36952457567,10.6923076923,2.36952457567
last,1,10.425,2.34420676768,10.425,2.34420676768
various,1,9.92857142857,2.29541660352,9.92857142857,2.29541660352
differ,1,9.81176470588,2.28358214587,9.81176470588,2.28358214587
creat,1,9.47727272727,2.24889658788,9.47727272727,2.24889658788
to,9,1.03731343284,0.0366341331798,9.33582089556,0.329707198618
now,1,8.96774193548,2.19363390921,8.96774193548,2.19363390921
peopl,2,4.4126984127,1.4844863873,8.8253968254,2.9689727746
ani,1,8.51020408163,2.14126592369,8.51020408163,2.14126592369
human,1,7.94285714286,2.0722730522,7.94285714286,2.0722730522
see,1,7.06779661017,1.95554877789,7.06779661017,1.95554877789
these,1,6.672,1.89791966506,6.672,1.89791966506
one,3,2.224,0.799307376388,6.672,2.39792212916
mani,2,3.29644268775,1.19284391363,6.5928853755,2.38568782726
after,2,3.10037174721,1.13152202276,6.20074349442,2.26304404552
in,6,1.0036101083,0.0036036075033,6.0216606498,0.0216216450198
for,4,1.44290657439,0.366659533686,5.77162629756,1.46663813474
who,1,5.59731543624,1.72228709641,5.59731543624,1.72228709641
becam,1,5.1801242236,1.64482903737,5.1801242236,1.64482903737
by,4,1.25225225225,0.224943731818,5.009009009,0.899774927272
from,3,1.45804195804,0.377094410979,4.37412587412,1.13128323294
than,1,4.32124352332,1.46354321345,4.32124352332,1.46354321345
form,1,4.29896907216,1.4583752433,4.29896907216,1.4583752433
or,2,2.12755102041,0.754971562568,4.25510204082,1.50994312514
not,1,4.12871287129,1.41796570496,4.12871287129,1.41796570496
over,1,3.95260663507,1.37437526888,3.95260663507,1.37437526888
but,1,3.65789473684,1.2968877734,3.65789473684,1.2968877734
year,1,3.59482758621,1.27949603069,3.59482758621,1.27949603069
this,1,3.57939914163,1.27519494879,3.57939914163,1.27519494879
a,3,1.02331288344,0.0230452891179,3.06993865032,0.0691358673537
first,1,3.02173913043,1.10583253664,3.02173913043,1.10583253664
with,1,1.36497545008,0.311136443187,1.36497545008,0.311136443187
