"","Var1","Freq"
"353","nt",0.00264323740739362
"179","first",0.00171252001042403
"314","mani",0.00167529131454525
"351","now",0.0015636052269089
"208","good",0.00115408957224228
"214","great",0.0011168608763635
"282","just",0.000967946092848367
"145","etern",0.000893488701090801
"233","holi",0.000819031309333234
"512","therefor",0.000781802613454451
"150","even",0.000744573917575667
"343","never",0.000744573917575667
"240","human",0.000707345221696884
"345","new",0.000707345221696884
"482","sound",0.000707345221696884
"521","true",0.000707345221696884
"330","much",0.000670116525818101
"288","last",0.000632887829939317
"102","dead",0.000595659134060534
"433","right",0.000595659134060534
