,groupName,rank,rfPred,rfClassPred,svmPred
1,DorothyDay,4,4.98,4,3.54470369915
3,DorothyDay,4,4.56333333333,4,4.16076804666
6,PastorAnderson,2,1.83,2,2.16926653555
7,PastorAnderson,2,1.86666666667,2,1.69502150422
10,SeaShepherds,2,4.44666666667,6,3.18222879751
13,Bahai,6,4.87666666667,6,4.62040825465
16,Bahai,6,5.69333333333,8,5.41985527615
17,JohnPiper,4,5.50333333333,4,5.09659872262
21,JohnPiper,4,5.35666666667,4,5.8879360149
24,NaumanKhan,3,2.81666666667,3,3.24732165303
25,NaumanKhan,3,2.71666666667,3,3.08172577361
28,WBC,1,1.93,1,2.38961354487
30,WBC,1,1.42333333333,1,1.76773520594
33,IntegralYoga,6,5.86333333333,6,5.35088948847
36,IntegralYoga,6,5.77333333333,6,5.96547032222
37,MehrBaba,8,5.75,8,5.76072226002
38,MehrBaba,8,5.60666666667,8,6.0201661008
43,ISIS,1,1.08,1,0.8998040328
45,ISIS,1,1.15333333333,1,1.27848087017
50,Unitarian,7,5.72666666667,7,5.33126434851
51,Unitarian,7,5.76666666667,7,4.23212291759
52,Rabbinic,6,5.55333333333,6,5.17303583875
56,Rabbinic,6,5.63,4,5.50642716246
58,MalcolmX,2,2.88,6,3.58462791065
61,Shepherd,4,4.74666666667,4,4.95403646499
63,Shepherd,4,4.38333333333,4,4.16955935461
65,Ghandi,1,4.32333333333,6,3.36938959392
