,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,test0
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,train2
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,test0
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,train3
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,test0
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,test0
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,train4
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,test1
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,test0
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,test0
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,test1
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,train4
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,train4
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,train4
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,train4
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,test0
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,test0
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,train3
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,train2
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,train2
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,train3
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,train3
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,test1
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,test0
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,train4
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,test1
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test1
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test1
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,test1
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,test1
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,train2
31,Bahai,./data_dsicap/Bahai/raw/Bahai32.txt,train3
32,Bahai,./data_dsicap/Bahai/raw/Bahai33.txt,train3
33,Bahai,./data_dsicap/Bahai/raw/Bahai34.txt,train2
34,Bahai,./data_dsicap/Bahai/raw/Bahai35.txt,train4
35,Bahai,./data_dsicap/Bahai/raw/Bahai36.txt,train4
36,Bahai,./data_dsicap/Bahai/raw/Bahai37.txt,train2
37,Bahai,./data_dsicap/Bahai/raw/Bahai38.txt,train3
38,Bahai,./data_dsicap/Bahai/raw/Bahai39.txt,train2
39,Bahai,./data_dsicap/Bahai/raw/Bahai40.txt,test1
40,Bahai,./data_dsicap/Bahai/raw/Bahai41.txt,train3
41,Bahai,./data_dsicap/Bahai/raw/Bahai42.txt,train4
42,Bahai,./data_dsicap/Bahai/raw/Bahai43.txt,train3
43,Bahai,./data_dsicap/Bahai/raw/Bahai44.txt,train4
44,Bahai,./data_dsicap/Bahai/raw/Bahai45.txt,test1
45,Bahai,./data_dsicap/Bahai/raw/Bahai46.txt,test0
46,Bahai,./data_dsicap/Bahai/raw/Bahai47.txt,train2
47,Bahai,./data_dsicap/Bahai/raw/Bahai48.txt,train3
48,Bahai,./data_dsicap/Bahai/raw/Bahai49.txt,train2
49,Bahai,./data_dsicap/Bahai/raw/Bahai50.txt,train2
50,DorothyDay,./data_dsicap/DorothyDay/raw/12.html.txt,train3
51,DorothyDay,./data_dsicap/DorothyDay/raw/13.html.txt,test0
52,DorothyDay,./data_dsicap/DorothyDay/raw/142.html.txt,test0
53,DorothyDay,./data_dsicap/DorothyDay/raw/143.html.txt,test1
54,DorothyDay,./data_dsicap/DorothyDay/raw/145.html.txt,train4
55,DorothyDay,./data_dsicap/DorothyDay/raw/146.html.txt,train3
56,DorothyDay,./data_dsicap/DorothyDay/raw/147.html.txt,test1
57,DorothyDay,./data_dsicap/DorothyDay/raw/148.html.txt,train2
58,DorothyDay,./data_dsicap/DorothyDay/raw/149.html.txt,train3
59,DorothyDay,./data_dsicap/DorothyDay/raw/150.html.txt,train2
60,DorothyDay,./data_dsicap/DorothyDay/raw/151.html.txt,train3
61,DorothyDay,./data_dsicap/DorothyDay/raw/152.html.txt,train3
62,DorothyDay,./data_dsicap/DorothyDay/raw/153.html.txt,train2
63,DorothyDay,./data_dsicap/DorothyDay/raw/154.html.txt,test1
64,DorothyDay,./data_dsicap/DorothyDay/raw/155.html.txt,test1
65,DorothyDay,./data_dsicap/DorothyDay/raw/156.html.txt,train2
66,DorothyDay,./data_dsicap/DorothyDay/raw/158.html.txt,train2
67,DorothyDay,./data_dsicap/DorothyDay/raw/159.html.txt,test0
68,DorothyDay,./data_dsicap/DorothyDay/raw/160.html.txt,test1
69,DorothyDay,./data_dsicap/DorothyDay/raw/161.html.txt,train3
70,DorothyDay,./data_dsicap/DorothyDay/raw/162.html.txt,test0
71,DorothyDay,./data_dsicap/DorothyDay/raw/164.html.txt,train3
72,DorothyDay,./data_dsicap/DorothyDay/raw/165.html.txt,train3
73,DorothyDay,./data_dsicap/DorothyDay/raw/166.html.txt,train2
74,DorothyDay,./data_dsicap/DorothyDay/raw/167.html.txt,test0
75,DorothyDay,./data_dsicap/DorothyDay/raw/169.html.txt,test1
76,DorothyDay,./data_dsicap/DorothyDay/raw/170.html.txt,test1
77,DorothyDay,./data_dsicap/DorothyDay/raw/171.html.txt,test0
78,DorothyDay,./data_dsicap/DorothyDay/raw/172.html.txt,train2
79,DorothyDay,./data_dsicap/DorothyDay/raw/173.html.txt,test0
80,DorothyDay,./data_dsicap/DorothyDay/raw/174.html.txt,test1
81,DorothyDay,./data_dsicap/DorothyDay/raw/175.html.txt,train2
82,DorothyDay,./data_dsicap/DorothyDay/raw/176.html.txt,train3
83,DorothyDay,./data_dsicap/DorothyDay/raw/177.html.txt,train2
84,DorothyDay,./data_dsicap/DorothyDay/raw/178.html.txt,train2
85,DorothyDay,./data_dsicap/DorothyDay/raw/2.html.txt,test1
86,DorothyDay,./data_dsicap/DorothyDay/raw/3.html.txt,test1
87,DorothyDay,./data_dsicap/DorothyDay/raw/5.html.txt,test0
88,DorothyDay,./data_dsicap/DorothyDay/raw/53.html.txt,test0
89,DorothyDay,./data_dsicap/DorothyDay/raw/54.html.txt,train3
90,DorothyDay,./data_dsicap/DorothyDay/raw/60.html.txt,test0
91,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV01.txt,train3
92,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV02.txt,train5
93,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV03.txt,test1
94,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV04.txt,test0
95,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV05.txt,train4
96,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV06.txt,train2
97,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV07.txt,test1
98,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV08.txt,test0
99,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV09.txt,train2
100,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV10.txt,train3
101,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV11.txt,train4
102,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV12.txt,train2
103,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV13.txt,train2
104,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV14.txt,test0
105,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV15.txt,train2
106,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV16.txt,test0
107,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV17.txt,train4
108,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV18.txt,train2
109,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV19.txt,test0
110,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV20.txt,test0
111,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV21.txt,train4
112,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV22.txt,train4
113,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV23.txt,train4
114,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV24.txt,train3
115,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV25.txt,train3
116,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV26.txt,test1
117,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV27.txt,test0
118,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV28.txt,train3
119,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV29.txt,train5
120,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV30.txt,test1
121,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV31.txt,train3
122,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV32.txt,train4
123,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV33.txt,test1
124,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV34.txt,test1
125,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV35.txt,test1
126,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV36.txt,train3
127,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV37.txt,test1
128,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV38.txt,train5
129,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV39.txt,train4
130,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV40.txt,train5
131,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV41.txt,train2
132,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV42.txt,test1
133,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV43.txt,train4
134,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV44.txt,train2
135,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV45.txt,train3
136,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV46.txt,test0
137,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV47.txt,train5
138,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV48.txt,train2
139,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV49.txt,test0
140,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV50.txt,train2
141,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV51.txt,train5
142,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV52.txt,train4
143,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV53.txt,train3
144,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV54.txt,test1
145,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV55.txt,train5
146,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV56.txt,test0
147,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV57.txt,train5
148,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV58.txt,train3
149,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV59.txt,train5
150,ISIS,./data_dsicap/ISIS/raw/Issue_1-FromHijrahtoKhilafah.txt,train3
151,ISIS,./data_dsicap/ISIS/raw/Issue_1-HalabTribalAssemblies.txt,test0
152,ISIS,./data_dsicap/ISIS/raw/Issue_1-Introduction.txt,train3
153,ISIS,./data_dsicap/ISIS/raw/Issue_1-TheConceptofImamah.txt,test1
154,ISIS,./data_dsicap/ISIS/raw/Issue_1-TheEnemysWords.txt,test1
155,ISIS,./data_dsicap/ISIS/raw/Issue_2-Foreward.txt,test0
156,ISIS,./data_dsicap/ISIS/raw/Issue_2-HijrahandJihad.txt,train3
157,ISIS,./data_dsicap/ISIS/raw/Issue_2-It_sEitherTheIslamicStateorTheFlood.txt,train4
158,ISIS,./data_dsicap/ISIS/raw/Issue_2-TheEnemy_sWords.txt,train2
159,ISIS,./data_dsicap/ISIS/raw/Issue_2-TheFightAgainstthePKK.txt,train4
160,ISIS,./data_dsicap/ISIS/raw/Issue_2-TheFloodoftheMubahalah.txt,train2
161,ISIS,./data_dsicap/ISIS/raw/Issue_3-Foley_sBloodIsOnObama_sHands.txt,test1
