,group,filepath,subgroup
0,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV01.txt,test0
1,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV02.txt,train5
2,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV03.txt,train5
3,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV04.txt,train3
4,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV05.txt,train3
5,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV06.txt,test1
6,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV07.txt,train3
7,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV08.txt,train2
8,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV09.txt,train2
9,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV10.txt,test0
10,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV11.txt,train3
11,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV12.txt,train3
12,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV13.txt,train4
13,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV14.txt,train4
14,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV15.txt,test1
15,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV16.txt,test1
16,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV17.txt,train3
17,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV18.txt,train5
18,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV19.txt,train2
19,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV20.txt,test1
20,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV21.txt,test0
21,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV22.txt,train3
22,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV23.txt,train2
23,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV24.txt,test1
24,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV25.txt,train2
25,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV26.txt,test0
26,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV27.txt,test1
27,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV28.txt,train4
28,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV29.txt,test1
29,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV30.txt,train4
30,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV31.txt,train5
31,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV32.txt,train2
32,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV33.txt,train4
33,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV34.txt,test0
34,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV35.txt,test1
35,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV36.txt,train4
