,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,test8
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,test3
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,test7
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,test4
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,test8
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,test7
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,test0
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,test9
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,test4
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,test1
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,test2
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,test6
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,test5
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,test3
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,test3
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,test8
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,test5
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,test2
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,test8
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,test1
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,test5
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,test8
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,test6
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,test1
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,test1
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,test6
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test0
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test0
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,test7
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,test2
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,test9
31,Bahai,./data_dsicap/Bahai/raw/Bahai32.txt,test3
32,Bahai,./data_dsicap/Bahai/raw/Bahai33.txt,test4
33,Bahai,./data_dsicap/Bahai/raw/Bahai34.txt,test2
34,Bahai,./data_dsicap/Bahai/raw/Bahai35.txt,test5
35,Bahai,./data_dsicap/Bahai/raw/Bahai36.txt,test5
36,Bahai,./data_dsicap/Bahai/raw/Bahai37.txt,test4
37,Bahai,./data_dsicap/Bahai/raw/Bahai38.txt,test9
38,Bahai,./data_dsicap/Bahai/raw/Bahai39.txt,test2
39,Bahai,./data_dsicap/Bahai/raw/Bahai40.txt,test4
40,Bahai,./data_dsicap/Bahai/raw/Bahai41.txt,test9
41,Bahai,./data_dsicap/Bahai/raw/Bahai42.txt,test6
42,Bahai,./data_dsicap/Bahai/raw/Bahai43.txt,test7
43,Bahai,./data_dsicap/Bahai/raw/Bahai44.txt,test0
44,Bahai,./data_dsicap/Bahai/raw/Bahai45.txt,test0
45,Bahai,./data_dsicap/Bahai/raw/Bahai46.txt,test6
46,Bahai,./data_dsicap/Bahai/raw/Bahai47.txt,test1
47,Bahai,./data_dsicap/Bahai/raw/Bahai48.txt,test9
48,Bahai,./data_dsicap/Bahai/raw/Bahai49.txt,test3
49,Bahai,./data_dsicap/Bahai/raw/Bahai50.txt,test7
50,DorothyDay,./data_dsicap/DorothyDay/raw/12.html.txt,test7
51,DorothyDay,./data_dsicap/DorothyDay/raw/13.html.txt,test6
52,DorothyDay,./data_dsicap/DorothyDay/raw/142.html.txt,test3
53,DorothyDay,./data_dsicap/DorothyDay/raw/143.html.txt,test4
54,DorothyDay,./data_dsicap/DorothyDay/raw/145.html.txt,test1
55,DorothyDay,./data_dsicap/DorothyDay/raw/146.html.txt,test4
56,DorothyDay,./data_dsicap/DorothyDay/raw/147.html.txt,test8
57,DorothyDay,./data_dsicap/DorothyDay/raw/148.html.txt,test5
58,DorothyDay,./data_dsicap/DorothyDay/raw/149.html.txt,test1
59,DorothyDay,./data_dsicap/DorothyDay/raw/150.html.txt,test6
60,DorothyDay,./data_dsicap/DorothyDay/raw/151.html.txt,test0
61,DorothyDay,./data_dsicap/DorothyDay/raw/152.html.txt,test1
62,DorothyDay,./data_dsicap/DorothyDay/raw/153.html.txt,test6
63,DorothyDay,./data_dsicap/DorothyDay/raw/154.html.txt,test3
64,DorothyDay,./data_dsicap/DorothyDay/raw/155.html.txt,test7
65,DorothyDay,./data_dsicap/DorothyDay/raw/156.html.txt,test3
66,DorothyDay,./data_dsicap/DorothyDay/raw/158.html.txt,test5
67,DorothyDay,./data_dsicap/DorothyDay/raw/159.html.txt,test2
68,DorothyDay,./data_dsicap/DorothyDay/raw/160.html.txt,test5
69,DorothyDay,./data_dsicap/DorothyDay/raw/161.html.txt,test0
70,DorothyDay,./data_dsicap/DorothyDay/raw/162.html.txt,test2
71,DorothyDay,./data_dsicap/DorothyDay/raw/164.html.txt,test4
72,DorothyDay,./data_dsicap/DorothyDay/raw/165.html.txt,test0
73,DorothyDay,./data_dsicap/DorothyDay/raw/166.html.txt,test2
74,DorothyDay,./data_dsicap/DorothyDay/raw/167.html.txt,test4
75,DorothyDay,./data_dsicap/DorothyDay/raw/169.html.txt,test5
76,DorothyDay,./data_dsicap/DorothyDay/raw/170.html.txt,test6
77,DorothyDay,./data_dsicap/DorothyDay/raw/171.html.txt,test0
78,DorothyDay,./data_dsicap/DorothyDay/raw/172.html.txt,test0
79,DorothyDay,./data_dsicap/DorothyDay/raw/173.html.txt,test7
80,DorothyDay,./data_dsicap/DorothyDay/raw/174.html.txt,test4
81,DorothyDay,./data_dsicap/DorothyDay/raw/175.html.txt,test1
82,DorothyDay,./data_dsicap/DorothyDay/raw/176.html.txt,test2
83,DorothyDay,./data_dsicap/DorothyDay/raw/177.html.txt,test5
84,DorothyDay,./data_dsicap/DorothyDay/raw/178.html.txt,test1
85,DorothyDay,./data_dsicap/DorothyDay/raw/2.html.txt,test2
86,DorothyDay,./data_dsicap/DorothyDay/raw/3.html.txt,test3
87,DorothyDay,./data_dsicap/DorothyDay/raw/5.html.txt,test6
88,DorothyDay,./data_dsicap/DorothyDay/raw/53.html.txt,test3
89,DorothyDay,./data_dsicap/DorothyDay/raw/54.html.txt,test7
90,DorothyDay,./data_dsicap/DorothyDay/raw/60.html.txt,test7
