,group,filepath,subgroup
0,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/12.html.txt,test5
1,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/13.html.txt,test7
2,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/142.html.txt,test6
3,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/143.html.txt,test1
4,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/145.html.txt,test7
5,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/146.html.txt,test7
6,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/147.html.txt,test0
7,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/148.html.txt,test3
8,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/149.html.txt,test3
9,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/150.html.txt,test2
10,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/151.html.txt,test6
11,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/152.html.txt,test6
12,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/153.html.txt,test4
13,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/154.html.txt,test0
14,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/155.html.txt,test1
15,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/156.html.txt,test4
16,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/158.html.txt,test5
17,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/159.html.txt,test0
18,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/160.html.txt,test6
19,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/161.html.txt,test5
20,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/162.html.txt,test5
21,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/164.html.txt,test1
22,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/165.html.txt,test2
23,DorothyDay,./data_dsicap/fake_data/DorothyDay/raw/166.html.txt,test1
