,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,test8
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,test9
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,test8
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,test6
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,test3
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,test0
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,test1
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,test4
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,test0
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,test0
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,test1
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,test7
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,test0
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,test9
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,test7
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,test5
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,test4
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,test6
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,test3
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,test5
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,test3
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,test1
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,test9
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,test9
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,test2
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,test7
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test8
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test4
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,test1
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,test5
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,test8
31,Bahai,./data_dsicap/Bahai/raw/Bahai32.txt,test7
32,Bahai,./data_dsicap/Bahai/raw/Bahai33.txt,test2
33,Bahai,./data_dsicap/Bahai/raw/Bahai34.txt,test3
34,Bahai,./data_dsicap/Bahai/raw/Bahai35.txt,test2
35,Bahai,./data_dsicap/Bahai/raw/Bahai36.txt,test6
36,Bahai,./data_dsicap/Bahai/raw/Bahai37.txt,test2
37,Bahai,./data_dsicap/Bahai/raw/Bahai38.txt,test4
38,Bahai,./data_dsicap/Bahai/raw/Bahai39.txt,test9
39,Bahai,./data_dsicap/Bahai/raw/Bahai40.txt,test6
40,Bahai,./data_dsicap/Bahai/raw/Bahai41.txt,test3
41,Bahai,./data_dsicap/Bahai/raw/Bahai42.txt,test4
42,Bahai,./data_dsicap/Bahai/raw/Bahai43.txt,test2
43,Bahai,./data_dsicap/Bahai/raw/Bahai44.txt,test1
44,Bahai,./data_dsicap/Bahai/raw/Bahai45.txt,test8
45,Bahai,./data_dsicap/Bahai/raw/Bahai46.txt,test7
46,Bahai,./data_dsicap/Bahai/raw/Bahai47.txt,test6
47,Bahai,./data_dsicap/Bahai/raw/Bahai48.txt,test0
48,Bahai,./data_dsicap/Bahai/raw/Bahai49.txt,test5
49,Bahai,./data_dsicap/Bahai/raw/Bahai50.txt,test5
50,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV01.txt,test5
51,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV02.txt,test5
52,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV03.txt,test0
53,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV04.txt,test7
54,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV05.txt,test1
55,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV06.txt,test6
56,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV07.txt,test5
57,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV08.txt,test4
58,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV09.txt,test6
59,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV10.txt,test2
60,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV11.txt,test10
61,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV12.txt,test1
62,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV13.txt,test9
63,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV14.txt,test8
64,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV15.txt,test3
65,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV16.txt,test3
66,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV17.txt,test2
67,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV18.txt,test11
68,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV19.txt,test8
69,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV20.txt,test5
70,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV21.txt,test4
71,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV22.txt,test0
72,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV23.txt,test0
73,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV24.txt,test10
74,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV25.txt,test8
75,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV26.txt,test7
76,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV27.txt,test11
77,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV28.txt,test0
78,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV29.txt,test8
79,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV30.txt,test3
80,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV31.txt,test1
81,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV32.txt,test11
82,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV33.txt,test9
83,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV34.txt,test2
84,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV35.txt,test10
85,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV36.txt,test3
86,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV37.txt,test7
87,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV38.txt,test4
88,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV39.txt,test6
89,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV40.txt,test5
90,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV41.txt,test2
91,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV42.txt,test3
92,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV43.txt,test7
93,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV44.txt,test0
