,group,filepath,subgroup
0,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV01.txt,test0
1,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV02.txt,train2
2,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV03.txt,train2
3,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV04.txt,test1
4,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV05.txt,train2
5,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV06.txt,train3
6,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV07.txt,train3
7,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV08.txt,test0
8,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV09.txt,train4
9,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV10.txt,train2
10,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV11.txt,train2
11,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV12.txt,test1
12,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV13.txt,train3
13,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV14.txt,test1
14,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV15.txt,train4
15,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV16.txt,test1
16,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV17.txt,test0
17,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV18.txt,train5
18,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV19.txt,train4
19,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV20.txt,test1
20,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV21.txt,train3
21,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV22.txt,train3
22,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV23.txt,test1
23,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV24.txt,test0
24,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV25.txt,train5
25,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV26.txt,train2
26,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV27.txt,train3
27,IntegralYoga,./data_dsicap/IntegralYoga/raw/YV28.txt,train4
