,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,test3
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,test5
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,test0
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,test5
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,test2
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,test9
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,test6
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,test7
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,test7
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,test0
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,test4
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,test8
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,test0
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,test1
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,test9
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,test0
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,test7
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,test9
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,test8
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,test6
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,test4
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,test6
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,test8
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,test4
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,test3
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,test8
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test3
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test7
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,test9
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,test0
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,test1
