,group,filepath,subgroup
0,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/12.html.txt,train76
1,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/13.html.txt,test18
2,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/142.html.txt,train66
3,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/143.html.txt,test19
4,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/145.html.txt,train43
5,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/146.html.txt,train72
6,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/147.html.txt,test17
7,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/148.html.txt,train42
8,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/149.html.txt,train44
9,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/15.html.txt,train28
10,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/150.html.txt,train61
11,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/151.html.txt,train67
12,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/152.html.txt,test21
13,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/153.html.txt,test14
14,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/154.html.txt,train68
15,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/155.html.txt,test9
16,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/156.html.txt,train28
17,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/158.html.txt,train39
18,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/159.html.txt,test16
19,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/16.html.txt,test11
20,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/160.html.txt,train61
21,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/161.html.txt,train60
22,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/162.html.txt,train51
23,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/164.html.txt,train62
24,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/165.html.txt,train61
25,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/166.html.txt,test4
26,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/167.html.txt,train33
27,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/169.html.txt,test19
28,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/170.html.txt,test18
29,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/171.html.txt,test6
30,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/172.html.txt,train61
31,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/173.html.txt,train58
32,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/174.html.txt,train40
33,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/175.html.txt,train41
34,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/176.html.txt,train26
35,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/177.html.txt,train27
36,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/178.html.txt,train58
37,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/179.html.txt,test20
38,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/180.html.txt,train50
39,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/182.html.txt,train31
40,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/183.html.txt,train34
41,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/184.html.txt,train31
42,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/186.html.txt,train60
43,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/188.html.txt,test21
44,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/189.html.txt,test6
45,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/191.html.txt,train48
46,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/192.html.txt,test5
47,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/193.html.txt,train72
48,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/194.html.txt,test13
49,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/195.html.txt,train47
50,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/196.html.txt,train48
51,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/197.html.txt,train45
52,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/198.html.txt,train27
53,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/199.html.txt,test8
54,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/2.html.txt,train59
55,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/200.html.txt,train38
56,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/201.html.txt,train61
57,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/202.html.txt,train37
58,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/203.html.txt,test13
59,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/204.html.txt,train55
60,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/205.html.txt,train56
61,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/206.html.txt,train56
62,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/207.html.txt,test15
63,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/208.html.txt,test3
64,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/209.html.txt,test8
65,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/210.html.txt,train30
66,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/211.html.txt,train62
67,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/212.html.txt,train39
68,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/213.html.txt,train44
69,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/214.html.txt,train54
70,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/215.html.txt,train52
71,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/216.html.txt,train46
72,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/217.html.txt,train62
73,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/218.html.txt,train34
74,DorothyDay,/Users/Seth/Documents/DSI/Capstone/2016-group/cloneOf2016Code/data_dsicap/DorothyDay/raw/219.html.txt,test18
