,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,test1
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,test1
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,test0
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,train4
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,train2
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,train2
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,train2
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,train4
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,train4
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,train2
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,train2
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,test0
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,train3
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,test1
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,test0
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,test1
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,train2
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,train4
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,test1
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,train3
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,train3
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,train2
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,test0
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,train2
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,train3
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,train4
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test1
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test0
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,test1
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,test1
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,train4
