,group,filepath,subgroup
0,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai01.txt,test0
1,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai02.txt,train4
2,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai03.txt,test1
3,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai04.txt,test0
4,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai05.txt,train4
5,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai06.txt,test1
6,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai07.txt,train2
7,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai08.txt,test0
8,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai09.txt,train4
9,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai10.txt,train3
10,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai11.txt,test1
11,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai12.txt,test1
12,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai13.txt,train2
13,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai14.txt,test1
14,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai15.txt,test0
15,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai16.txt,train3
16,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai17.txt,test0
17,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai18.txt,test1
18,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai19.txt,train4
19,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai20.txt,train2
20,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai21.txt,test0
21,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai22.txt,train3
22,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai23.txt,train3
23,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai24.txt,train2
24,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai25.txt,train3
25,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai26.txt,test0
26,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai27.txt,train2
27,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai28.txt,test1
28,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai29.txt,train2
29,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai30.txt,train4
30,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai31.txt,train3
31,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai32.txt,train2
32,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai33.txt,train4
33,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai34.txt,train4
34,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai35.txt,test1
35,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai36.txt,test1
36,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai37.txt,train2
37,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai38.txt,train4
38,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai39.txt,train4
39,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai40.txt,train4
40,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai41.txt,test0
41,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai42.txt,train3
42,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai43.txt,train2
43,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai44.txt,test0
44,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai45.txt,train3
45,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai46.txt,train2
46,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai47.txt,train3
47,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai48.txt,test0
48,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai49.txt,test1
49,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai50.txt,train3
50,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/12.html.txt,test9
51,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/13.html.txt,train54
52,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/142.html.txt,train42
53,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/143.html.txt,train58
54,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/145.html.txt,test5
55,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/146.html.txt,train42
56,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/147.html.txt,train67
57,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/148.html.txt,train44
58,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/149.html.txt,test1
59,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/15.html.txt,train68
60,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/150.html.txt,train67
61,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/151.html.txt,test4
62,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/152.html.txt,train38
63,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/153.html.txt,train43
64,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/154.html.txt,train70
65,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/155.html.txt,train40
66,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/156.html.txt,train71
67,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/158.html.txt,train25
68,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/159.html.txt,train73
69,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/16.html.txt,test15
70,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/160.html.txt,test15
71,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/161.html.txt,train68
72,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/162.html.txt,train65
73,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/164.html.txt,test21
74,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/165.html.txt,train72
75,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/166.html.txt,test19
76,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/167.html.txt,train57
77,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/169.html.txt,train46
78,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/170.html.txt,train46
79,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/171.html.txt,train74
80,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/172.html.txt,test19
81,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/173.html.txt,test8
82,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/174.html.txt,train54
83,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/175.html.txt,train56
84,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/176.html.txt,test19
85,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/177.html.txt,test11
86,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/178.html.txt,test16
87,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/179.html.txt,train72
88,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/180.html.txt,train67
89,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/182.html.txt,train27
90,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/183.html.txt,train72
91,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/184.html.txt,train33
92,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/186.html.txt,train52
93,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/188.html.txt,train41
94,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/189.html.txt,train50
95,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/191.html.txt,train74
96,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/192.html.txt,train39
97,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/193.html.txt,train66
98,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/194.html.txt,train61
99,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/195.html.txt,test13
100,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/196.html.txt,test4
