,group,filepath,subgroup
0,Bahai,./data_dsicap/Bahai/raw/Bahai01.txt,train3
1,Bahai,./data_dsicap/Bahai/raw/Bahai02.txt,train4
2,Bahai,./data_dsicap/Bahai/raw/Bahai03.txt,train3
3,Bahai,./data_dsicap/Bahai/raw/Bahai04.txt,test1
4,Bahai,./data_dsicap/Bahai/raw/Bahai05.txt,train4
5,Bahai,./data_dsicap/Bahai/raw/Bahai06.txt,train2
6,Bahai,./data_dsicap/Bahai/raw/Bahai07.txt,train4
7,Bahai,./data_dsicap/Bahai/raw/Bahai08.txt,test0
8,Bahai,./data_dsicap/Bahai/raw/Bahai09.txt,train3
9,Bahai,./data_dsicap/Bahai/raw/Bahai10.txt,test0
10,Bahai,./data_dsicap/Bahai/raw/Bahai11.txt,train4
11,Bahai,./data_dsicap/Bahai/raw/Bahai12.txt,train4
12,Bahai,./data_dsicap/Bahai/raw/Bahai13.txt,test0
13,Bahai,./data_dsicap/Bahai/raw/Bahai14.txt,train4
14,Bahai,./data_dsicap/Bahai/raw/Bahai15.txt,train2
15,Bahai,./data_dsicap/Bahai/raw/Bahai16.txt,train3
16,Bahai,./data_dsicap/Bahai/raw/Bahai17.txt,test0
17,Bahai,./data_dsicap/Bahai/raw/Bahai18.txt,train2
18,Bahai,./data_dsicap/Bahai/raw/Bahai19.txt,test0
19,Bahai,./data_dsicap/Bahai/raw/Bahai20.txt,test0
20,Bahai,./data_dsicap/Bahai/raw/Bahai21.txt,train4
21,Bahai,./data_dsicap/Bahai/raw/Bahai22.txt,train2
22,Bahai,./data_dsicap/Bahai/raw/Bahai23.txt,test1
23,Bahai,./data_dsicap/Bahai/raw/Bahai24.txt,train2
24,Bahai,./data_dsicap/Bahai/raw/Bahai25.txt,train3
25,Bahai,./data_dsicap/Bahai/raw/Bahai26.txt,train2
26,Bahai,./data_dsicap/Bahai/raw/Bahai27.txt,test1
27,Bahai,./data_dsicap/Bahai/raw/Bahai28.txt,test1
28,Bahai,./data_dsicap/Bahai/raw/Bahai29.txt,test1
29,Bahai,./data_dsicap/Bahai/raw/Bahai30.txt,train2
30,Bahai,./data_dsicap/Bahai/raw/Bahai31.txt,train2
31,Bahai,./data_dsicap/Bahai/raw/Bahai32.txt,train4
32,Bahai,./data_dsicap/Bahai/raw/Bahai33.txt,test1
33,Bahai,./data_dsicap/Bahai/raw/Bahai34.txt,test1
34,Bahai,./data_dsicap/Bahai/raw/Bahai35.txt,test0
35,Bahai,./data_dsicap/Bahai/raw/Bahai36.txt,train3
36,Bahai,./data_dsicap/Bahai/raw/Bahai37.txt,train3
37,Bahai,./data_dsicap/Bahai/raw/Bahai38.txt,test1
38,Bahai,./data_dsicap/Bahai/raw/Bahai39.txt,test0
39,Bahai,./data_dsicap/Bahai/raw/Bahai40.txt,test1
40,Bahai,./data_dsicap/Bahai/raw/Bahai41.txt,train4
41,Bahai,./data_dsicap/Bahai/raw/Bahai42.txt,test1
42,Bahai,./data_dsicap/Bahai/raw/Bahai43.txt,train3
43,Bahai,./data_dsicap/Bahai/raw/Bahai44.txt,train4
44,Bahai,./data_dsicap/Bahai/raw/Bahai45.txt,test0
45,Bahai,./data_dsicap/Bahai/raw/Bahai46.txt,train3
