,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
3,Shepherd,4,4.0,4,4.02530475167,4
4,Shepherd,4,4.0,4,3.93325249835,4
5,Shepherd,4,4.02,4,4.13722982434,4
8,Shepherd,4,4.0,4,4.46842590338,4
14,Shepherd,4,4.01,4,4.30272632362,4
15,Shepherd,4,3.99,4,3.95743263176,4
20,Shepherd,4,4.17,4,4.05628479731,4
22,Shepherd,4,4.0,4,3.88050954063,4
29,Shepherd,4,4.03,4,4.37950083271,4
30,Shepherd,4,4.01,4,4.04368599019,4
31,Shepherd,4,3.90666666667,4,4.21165611872,4
33,Shepherd,4,4.2,4,4.26277623402,4
36,Shepherd,4,4.0,4,3.70515376022,4
44,Shepherd,4,4.25,4,4.06188673668,4
45,Shepherd,4,4.0,4,4.16591154067,4
49,Shepherd,4,4.0,4,3.98658240138,4
50,Shepherd,4,4.0,4,4.24681952484,4
56,Shepherd,4,4.3,4,4.61635450453,4
59,Shepherd,4,4.04666666667,4,4.21143149227,4
64,Shepherd,4,4.0,4,4.23012580491,4
71,Shepherd,4,4.0,4,4.07917111341,4
72,Shepherd,4,3.96,4,4.18410170241,4
73,DorothyDay,4,3.96,4,3.89691741823,4
75,DorothyDay,4,4.14,4,3.86204169674,4
76,DorothyDay,4,4.01,4,4.09190571573,4
88,DorothyDay,4,4.80666666667,4,3.76356854669,4
89,DorothyDay,4,4.23,4,4.81542691098,4
90,DorothyDay,4,4.1,4,4.21820177024,4
91,DorothyDay,4,3.85,4,3.9409194408,4
92,DorothyDay,4,4.15666666667,4,3.8112542579,4
93,DorothyDay,4,4.06333333333,4,4.51911192627,4
104,DorothyDay,4,3.36333333333,4,3.74528879521,4
105,DorothyDay,4,4.01,4,3.84816476323,4
106,DorothyDay,4,4.26666666667,4,4.0131784071,4
116,DorothyDay,4,4.06,4,3.89078460615,4
117,DorothyDay,4,4.12333333333,4,4.45334134838,4
126,DorothyDay,4,4.1,4,4.55103654809,4
127,DorothyDay,4,4.65666666667,4,4.09791997778,4
128,DorothyDay,4,4.13666666667,4,4.02696960438,4
131,DorothyDay,4,5.25,4,4.17041801126,4
132,DorothyDay,4,5.09,4,4.043303935,4
133,DorothyDay,4,4.23,4,4.2723711298,4
136,DorothyDay,4,4.39666666667,4,4.03405883598,4
142,DorothyDay,4,4.33666666667,4,3.98252859356,4
143,DorothyDay,4,3.98666666667,4,3.77499538628,4
144,DorothyDay,4,4.09666666667,4,4.00360810694,4
152,Unitarian,7,6.68,7,5.76021862515,7
155,Unitarian,7,6.70333333333,7,6.29931914822,7
161,Unitarian,7,4.36666666667,7,6.39888985436,7
165,Unitarian,7,6.72666666667,7,6.80131119987,7
167,Unitarian,7,6.91333333333,7,6.73868234608,7
170,Unitarian,7,6.69666666667,7,6.27826962627,7
174,Unitarian,7,6.20333333333,7,6.14534921976,7
177,Unitarian,7,6.65666666667,7,6.60607380073,7
178,Unitarian,7,6.77333333333,7,7.35768298025,7
180,JohnPiper,4,3.92,4,3.9689288609,4
181,JohnPiper,4,4.0,4,3.82484581657,4
184,JohnPiper,4,4.01333333333,4,4.26840586798,4
191,JohnPiper,4,4.02666666667,4,4.2151433201,4
194,JohnPiper,4,4.38666666667,4,3.94885423967,4
199,JohnPiper,4,3.9,4,3.8667467105,4
201,JohnPiper,4,4.01333333333,4,4.47914085994,4
205,JohnPiper,4,4.08,4,3.45108973402,4
207,JohnPiper,4,4.0,4,3.66355686299,4
209,JohnPiper,4,3.94,4,4.12815296642,4
211,JohnPiper,4,3.81333333333,4,4.14167877842,4
215,JohnPiper,4,3.97,4,3.94978284638,4
