,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,ensemble2pred
128,DorothyDay_test0,10,17.3610749245,"worker, get, too, room, prayer, maurin, farm, shall, eat, bless, walk, visit, tri, silenc, labor, street, morn, will, sunday, want",0.0262355280596,0.0174403496386,0.9,0.1,0.257803252842,0.683097882634,0.0230348938284,0.00105550726437,0.0145287470508,0.010679249969,0.0112380479324,0.007326462188,0.00918912206631,0.739258154538,0.680202101505,DorothyDay,4,4.05,4,3.77175248616,4,4
180,JohnPiper_test8,10,30.1951489449,"vers, hope, god, love, say, let, prayer, christ, know, encourag, get, promis, want, sin, judgment, will, etern, glori, scriptur, thing",0.0337876825133,0.0193585351715,0.9,0.1,0.417263769999,0.695157827479,0.0176703173659,0.0193148815564,0.0140662724378,0.0101823016901,0.0196297981035,0.00346408201827,0.0112670142412,0.75994085187,0.681412472978,JohnPiper,4,4.0,4,4.27692581279,4,4
8,Shepherd_test10,10,30.5409860611,"get, love, christ, god, don, ask, want, thing, fear, ill, wisdom, said, know, heaven, say, better, jesus, sin, grace, too",0.032637831156,0.0247695317184,0.7,0.3,0.298657831919,0.644718051948,0.0210030004286,0.0182526075154,0.0218245463638,0.0105372196028,0.0192884697814,0.00760822974711,0.0120374339191,0.663545918496,0.651527215338,Shepherd,4,4.0,4,4.44228556562,4,4
133,DorothyDay_test7,10,19.9690718651,"worker, love, too, get, peter, priest, ask, tri, joy, room, bed, thing, say, talk, christ, farm, want, maurin, night, said",0.0328081600693,0.0209527378248,1.0,0.0,0.371269560281,0.769516190358,0.0234767416466,0.00262065953265,0.0157239571959,0.00840794933392,0.0275715221664,0.00829875518672,0.0101004586154,0.762190605376,0.585367710038,DorothyDay,4,4.26,4,5.00957296211,4,4
177,Unitarian_test8,10,38.8341958523,"feel, guilt, courag, want, say, get, ask, know, unitarian, let, someth, thing, too, tell, pain, rememb, love, look, dont, tomb",0.0306992379701,0.0267196135546,0.7,0.3,0.25571606224,0.658494540083,0.0207758288072,0.00860712907726,0.0320541358739,0.00979431929481,0.00750897812602,0.00498619891372,0.0124951770397,0.701197780172,0.634996240487,Unitarian,7,6.76666666667,7,7.03825034905,7,7
73,DorothyDay_test8,10,25.8556449413,"worker, get, love, sin, too, jack, room, talk, retreat, priest, farm, ask, tree, say, pay, car, visit, hospit, god, night",0.0262613652514,0.0219740635935,0.8,0.2,0.294751555731,0.707195088189,0.0214911907396,0.00540471529492,0.013660737084,0.0110222146566,0.0131926121372,0.00340454506767,0.00897948761597,0.726176583273,0.713301397524,DorothyDay,4,4.07333333333,4,4.3053127241,4,4
184,JohnPiper_test4,10,29.2123410702,"god, hope, vers, jesus, jonah, say, prayer, answer, thing, heaven, righteous, christ, fountain, mind, whi, desir, confid, fear, know, grace",0.0325348820195,0.0205560499297,0.7,0.3,0.470188774638,0.686479570627,0.0209396630078,0.0148919807033,0.0122351954135,0.00779556736349,0.0211494092149,0.000209746207089,0.0106271411592,0.6974900603,0.64868392324,JohnPiper,4,4.0,4,3.83586174366,4,4
297,PastorAnderson_test0,10,118.119742155,"say, get, vers, bibl, want, unto, sin, know, save, let, whi, talk, thing, don, sorrow, god, shall, chapter, guy, look",0.0254968266783,0.0220751568805,0.8,0.2,0.329671363718,0.612670876736,0.01532012663,0.0265887944718,0.0222479457701,0.0178281725465,0.0167232292407,0.0035516034832,0.0169161558496,0.718624081809,0.700719573074,PastorAnderson,2,2.3,2,1.83676924456,2,2
49,Shepherd_test11,10,30.946573019,"christ, don, get, ask, christma, gift, heaven, love, know, preach, want, grace, preacher, god, let, said, jesus, say, lord, ill",0.0367268389024,0.0195682808802,0.9,0.1,0.29364518714,0.648586441598,0.0210910130836,0.018838921856,0.0250589833417,0.0112962036176,0.0239865589476,0.00639879888468,0.01086723386,0.685575732165,0.708152682171,Shepherd,4,4.0,4,4.2249477014,4,4
194,JohnPiper_test2,10,29.5928211212,"vers, sin, love, god, spirit, jesus, say, christ, wrath, prayer, faith, judgment, will, righteous, feel, desir, let, abid, thing, mose",0.0355153928864,0.0241817676842,0.8,0.2,0.491222608345,0.699261869714,0.0205534424399,0.0198904281676,0.0154587011899,0.0102592734759,0.0194018913355,0.000488536832188,0.0115504065324,0.780224909827,0.687391425732,JohnPiper,4,4.08,4,3.67282598782,4,4
144,DorothyDay_test5,10,22.8125841618,"worker, love, get, priest, too, say, tri, bishop, duffi, christ, want, mroconnel, know, room, look, farm, thing, hospit, cloth, feel",0.0284396576949,0.0207628597051,0.7,0.3,0.318111712472,0.722693388389,0.0216756782621,0.00181826881669,0.012249389923,0.0110053112589,0.019809560266,0.00291879994258,0.0107182161826,0.744748375275,0.58387260074,DorothyDay,4,4.03,4,4.10599443771,4,4
56,Shepherd_test18,10,30.1987090111,"get, don, want, christ, said, sin, thing, ill, tell, ask, preacher, let, sure, hell, god, say, lord, save, know, wrong",0.033044458386,0.0226010054373,0.8,0.2,0.276406405707,0.612743195834,0.0225647659085,0.0181452337322,0.0268765046172,0.0117854191369,0.026157881499,0.00255111206928,0.0128274226582,0.67970486445,0.679107160902,Shepherd,4,4.01,4,3.8184634886,4,4
14,Shepherd_test20,10,30.1415019035,"christ, want, ask, job, get, preacher, god, ill, don, whi, look, preach, know, said, elder, jesus, lord, should, say, bless",0.0359929944219,0.0211775942873,0.8,0.2,0.273349586904,0.585821698502,0.0216896600768,0.0122671028303,0.0199118190869,0.00960034134547,0.0326056037548,0.00618688664486,0.010738159579,0.650229105175,0.625495120924,Shepherd,4,4.11333333333,4,4.25407024921,4,4
279,PastorAnderson_test5,10,109.559792042,"say, get, bibl, vers, shall, save, christ, unto, know, talk, want, let, thing, jesus, whi, look, god, lot, chapter, lord",0.0258157762746,0.0159978561076,1.0,0.0,0.452816603137,0.72187695333,0.0154894788446,0.0241251225583,0.0214194132288,0.0153857756995,0.0172995701033,0.00210234557659,0.0193830605626,0.773494448253,0.819204566178,PastorAnderson,2,2.16,2,2.91062037116,2,2
263,WBC_test0,10,36.0843958855,"shall, unto, christ, heaven, lord, god, thou, thi, angel, say, wit, afflict, belov, thee, sin, hath, sermon, rev, jesus, zion",0.0336692547638,0.0304184734633,0.6,0.4,0.402122949956,0.584422009137,0.0110561876627,0.00418263184065,0.0113779285735,0.0165550323203,0.0233115914475,0.00274942232882,0.00968147649829,0.805435856668,0.859315724048,WBC,1,1.69333333333,1,2.10240549734,1,1
126,DorothyDay_test9,10,27.0949978828,"get, worker, poverti, labor, talk, too, love, maurin, pray, farm, say, prayer, room, ask, told, hope, night, know, morn, rememb",0.0248109902788,0.0204927502395,0.8,0.2,0.312233580319,0.718764075106,0.0221806194294,0.00288958528346,0.0177444955435,0.0111513572911,0.0136339587318,0.00520939318709,0.00842456554475,0.706546990456,0.792489226245,DorothyDay,4,3.97666666667,4,4.03854007025,4,4
20,Shepherd_test16,10,29.0450251102,"christ, grace, prais, god, get, ask, sin, don, know, lord, will, evil, trust, say, jesus, thing, want, prayer, merci, good",0.0366962288966,0.0246186093401,0.9,0.1,0.290800115862,0.640324752418,0.0259170354812,0.0184532293151,0.0230665366439,0.00806391118446,0.0229915235166,0.00330057760108,0.0104268246943,0.649829924878,0.679965582167,Shepherd,4,4.0,4,4.22772492697,4,4
253,WBC_test12,10,41.1700520515,"shall, unto, christ, god, lord, thi, sin, thou, thing, let, love, bless, coven, hath, heaven, thee, righteous, perfect, comfort, say",0.030388956583,0.0256001256625,0.5,0.5,0.46077474363,0.67899721133,0.0209863321093,0.00925642594859,0.0120104039168,0.016319869441,0.0196603427173,0.00209098327213,0.00991942064463,0.759259392502,0.839769537052,WBC,1,1.71666666667,4,2.56020187914,4,4
174,Unitarian_test4,10,49.5334889889,"wound, heal, disappoint, dream, say, wonder, know, love, talk, feel, awar, get, someth, thing, silenc, let, joy, think, want, dont",0.0310449932966,0.0237246132831,0.7,0.3,0.243575096023,0.649621690095,0.0179108037205,0.00953970903887,0.0294061531123,0.00987359885523,0.00856188886239,0.00529453851658,0.0112807059385,0.705749920946,0.676724767785,Unitarian,7,6.94666666667,7,7.03708643963,7,7
72,Shepherd_test5,10,33.4352009296,"don, christ, god, pray, ask, get, want, know, said, prayer, love, ill, worship, rememb, expect, whi, let, say, happen, faith",0.0351223094594,0.0196614779804,0.9,0.1,0.243632089067,0.542753328484,0.0219562198267,0.0151775676212,0.0267839428609,0.00843198201177,0.0269823424377,0.00515838899544,0.0110773097017,0.637121000816,0.528454699428,Shepherd,4,4.02,4,3.99942536804,4,4
235,JohnPiper_test6,10,27.0772669315,"glori, vers, god, spirit, say, sin, christ, etern, thing, will, wrath, let, jesus, get, love, know, righteous, grace, honor, piper",0.0324038642533,0.0258104568769,0.8,0.2,0.437655878014,0.720851588375,0.0220485842488,0.0215070400743,0.0141575119913,0.00866470679251,0.0211975862603,0.000657589354789,0.012494197741,0.68206284068,0.695086015182,JohnPiper,4,4.02666666667,4,3.81903094607,4,4
249,WBC_test8,10,32.5125660896,"shall, unto, christ, hath, god, thou, lord, thee, evil, thing, thi, flesh, judgment, sin, sermon, let, heaven, belov, eat, will",0.029423496827,0.0291505060511,0.5,0.5,0.387028264978,0.604411329244,0.0119563109933,0.00962967750275,0.0117624248691,0.0147353454404,0.0207781296452,0.0019711755962,0.00937116267046,0.757461214798,0.796093977204,WBC,1,1.03,1,0.955223340151,1,1
310,NaumanKhan_test1,10,40.0293388367,"allah, get, know, don't, say, want, apo, someth, quot, talk, quran, thing, gon, tell, realli, ask, messeng, happen, look, think",0.0170180336365,0.0140954664785,0.7,0.3,0.558933834585,0.805025924767,0.0177940668738,0.0429979018936,0.0198390566489,0.0156428438637,0.0141555785728,0.000743632645473,0.0158818686426,0.65425250041,0.648151343056,NaumanKhan,3,3.18333333333,3,3.5932779494,3,3
254,WBC_test4,10,34.8888840675,"unto, coven, shall, sin, thou, lord, god, thi, spirit, evil, thee, say, sermon, belov, grace, wit, bless, hath, noah, saul",0.0237969580402,0.0318987319732,0.4,0.6,0.388330710534,0.628319212362,0.01502548967,0.00658855797037,0.0135646781743,0.0174999254688,0.0253406075783,0.00101362430313,0.00831768178159,0.779958726333,0.640983783655,WBC,1,1.02,1,0.989733214929,1,1
166,Unitarian_test7,10,42.3551971912,"trust, want, silenc, get, feel, easter, say, know, love, talk, fear, too, tell, ask, courag, reveng, rememb, joy, step, thing",0.0294169445814,0.0228044718071,0.8,0.2,0.232306901064,0.633119297347,0.0196934783774,0.00712716360324,0.0263919404105,0.0101280745941,0.0108515084936,0.0042066341568,0.0130753978886,0.686076245749,0.607733795743,Unitarian,7,5.39666666667,4,6.64378335174,7,8
152,Unitarian_test6,10,40.7241089344,"love, feel, want, say, rememb, jefferson, get, door, let, know, tri, dont, belov, someon, tell, hospit, apolog, ourselv, think, too",0.0280352817478,0.0240867803743,0.8,0.2,0.264507844984,0.68837638235,0.0206489675516,0.0116275739611,0.0284102299739,0.00985193458774,0.0120285247874,0.00452501646762,0.0106538362402,0.6384483008,0.688940862813,Unitarian,7,5.41666666667,7,6.90086117016,7,7
288,PastorAnderson_test4,10,112.941212893,"say, get, vers, bibl, know, want, look, talk, let, thing, god, lot, saul, preach, realli, whi, unto, don, chapter, sin",0.0261859778757,0.0177443502214,0.9,0.1,0.383882730341,0.711861455626,0.0133357024623,0.0272886253752,0.0230896559464,0.0163937492402,0.0164031010652,0.00255304822736,0.0171418952409,0.735445442049,0.732996643156,PastorAnderson,2,2.04,2,1.7980323615,2,2
44,Shepherd_test21,10,30.4866840839,"christ, get, god, don, ill, lord, said, know, want, think, got, preacher, prayer, sin, confid, ask, will, let, car, say",0.0337403177794,0.020014212828,1.0,0.0,0.292247946325,0.625420082325,0.0209260588658,0.0161162957645,0.0227207465901,0.0110911701364,0.0235104091888,0.00423546302943,0.0108758076095,0.675747381759,0.624338916204,Shepherd,4,4.0,4,3.96477913103,4,4
178,Unitarian_test1,10,46.574229002,"unitarian, say, get, congreg, ask, let, thing, rabbi, talk, silenc, know, universalist, tree, homeless, sudden, dont, tell, want, heal, whi",0.0271859331651,0.0209739039057,0.8,0.2,0.214718078796,0.671786079847,0.018424333084,0.00855148342059,0.0243081525804,0.00982298678634,0.0113438045375,0.00573423086512,0.00954874096235,0.690825457511,0.720117895323,Unitarian,7,5.95,7,6.43057123715,7,7
117,DorothyDay_test2,10,21.2043819427,"worker, get, babi, room, too, tri, love, night, farm, say, bed, pray, comfort, put, will, trip, know, joy, plane, tell",0.0236291887364,0.0221719681394,0.5,0.5,0.317001642737,0.739725474759,0.0229217445418,0.00254109837681,0.0169060830784,0.0126017735829,0.0113052948193,0.00383757714049,0.0113571539698,0.700163696689,0.688003720024,DorothyDay,4,4.09333333333,4,4.73730570318,4,4
142,DorothyDay_test20,10,17.6123349667,"worker, get, labor, say, tri, ask, pray, prison, talk, cooper, cathol, maurin, joe, money, know, bread, thing, prayer, let, reader",0.0240948973966,0.0233118372481,0.7,0.3,0.326789511355,0.726278367882,0.029770854634,0.00559331208276,0.0128706321044,0.0104047633367,0.0155770734348,0.00312744331509,0.0107054790401,0.66179718593,0.660736338606,DorothyDay,4,4.04333333333,4,4.75667491226,4,4
