,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred,ensemble2pred
174,DorothyDay_test2,3,6.8845179081,"know, tell, worker, talk, teresa, too, prayer, dont, priest, get, stteresa, wish, want, felt, god, thing, feel, taught, wool, how",0.0239670184775,0.0190348842031,0.666666666667,0.333333333333,0.530517703238,0.829603424179,0.0150155333103,0.0129444252675,0.0226095961339,0.0220918191232,0.00983776320331,0.0153607179841,0.0122540559199,0.743431084929,0.708825921477,DorothyDay,4,3.08333333333,2,5.28845703631,6,6
38,IntegralYoga_test2,3,4.21380591393,"sri, cri, gurudev, swami, self, mind, prayer, ask, sit, babi, satchidananda, realiz, know, anyth, pray, don't, tune, sincer, get, mirror",0.0311205081106,0.0157936965892,1.0,0.0,0.417580910072,0.766306982828,0.0129993658846,0.0263157894737,0.0142675967026,0.00792644261256,0.0180722891566,0.00253646163602,0.0152187698161,0.660395876481,0.606011736167,IntegralYoga,6,5.02333333333,8,4.77400196487,6,6
163,DorothyDay_test3,3,7.19743204117,"worker, strike, hour, grape, grower, cesar, farm, striker, chavez, room, jubil, bomb, boycott, coachella, car, pay, delano, forti, acr, commune",0.0229811215207,0.0227615869464,0.333333333333,0.666666666667,0.191064759203,0.55579973364,0.0108282118818,0.00204858062628,0.0109745390694,0.00995024875622,0.0121451565701,0.0017559262511,0.00819432250512,0.702618050573,0.661887626184,DorothyDay,4,5.78,6,3.86645385365,4,6
121,Shepherd_test5,3,10.4585518837,"don, ask, christ, want, love, get, better, obey, cooki, said, didn, lord, job, fun, husband, sure, too, think, encourag, girl",0.0385931772419,0.0159464312442,1.0,0.0,0.260810764254,0.555028102673,0.0167723900656,0.0167723900656,0.0198903343726,0.0120417159445,0.0211805182238,0.00666594989786,0.011289108698,0.689189410197,0.57586181425,Shepherd,4,4.17666666667,4,4.73312095224,4,4
168,DorothyDay_test0,3,5.59210205078,"reader, fast, wish, worker, too, sorrow, ammon, ask, sunday, bomb, inde, say, paper, atom, send, hospit, sentenc, friday, penanc, nonviol",0.021290163625,0.0203194564734,0.666666666667,0.333333333333,0.291009184642,0.763829239653,0.0329017193802,0.00594353640416,0.0127361494375,0.00764168966249,0.00955211207812,0.00318403735937,0.0120993419656,0.701198778641,0.632249864614,DorothyDay,4,5.92333333333,6,5.71128382721,6,6
40,IntegralYoga_test0,3,2.94442510605,"love, whi, don't, yoga, should, lotus, attain, realli, perfect, want, worship, sake, say, god, someth, spiritu, attitud, yogavill, rememb, husband",0.0449158747148,0.0181718627345,1.0,0.0,0.467431040213,0.702558989698,0.0303497942387,0.0385802469136,0.0128600823045,0.00874485596708,0.00462962962963,0.00154320987654,0.0133744855967,0.67938006543,0.683307008735,IntegralYoga,6,5.75333333333,6,3.95714111915,4,6
30,Rabbinic_test3,3,7.86794304848,"memori, mose, shul, rememb, jewish, walk, jew, happen, jerusalem, know, bless, night, get, told, want, templ, lapid, yerushalmi, don't, feel",0.0144466802392,0.0122103758745,1.0,0.0,0.4786331737,0.796957922954,0.0225618631732,0.0107714701601,0.0225618631732,0.00582241630277,0.0144104803493,0.00131004366812,0.0132459970888,0.733276988819,0.634468038214,Rabbinic,6,5.40666666667,6,5.22771871839,6,6
91,JohnPiper_test5,3,8.75269412994,"vers, god, fear, promis, christ, say, sin, trust, unbelief, wisdom, pursu, let, rest, preach, whi, assur, happen, gospel, therefor, omnipot",0.0276921340903,0.0314767442699,0.333333333333,0.666666666667,0.494457088714,0.666063461785,0.0263390044108,0.0199117832388,0.00529300567108,0.00806553245117,0.0216761184625,0.0,0.0134845620668,0.632001647046,0.705693754188,JohnPiper,4,4.39333333333,4,3.45814178396,4,4
99,JohnPiper_test0,3,8.46718716621,"mose, barnaba, bless, vers, faith, grace, god, promis, truth, fear, say, prophet, babi, afraid, endur, christma, luke, jesus, morn, spirit",0.0504804709861,0.0199089649865,1.0,0.0,0.49735304042,0.658892490194,0.0135294890319,0.0154998029686,0.00709313017207,0.0116905293577,0.0307368974123,0.0,0.0127413634572,0.71494589358,0.578630963186,JohnPiper,4,5.18666666667,4,5.50647166734,8,7
72,PastorAnderson_test3,3,34.4502968788,"sin, say, repent, husband, get, bibl, want, unto, save, know, let, vers, shall, tell, thing, look, talk, god, christ, lot",0.0274890770628,0.0267451035169,0.666666666667,0.333333333333,0.429301494446,0.692947040848,0.0118647122432,0.0420821819056,0.0214465937763,0.0176318635108,0.0179021987264,0.00240297969482,0.0174216027875,0.689976373209,0.700160460793,PastorAnderson,2,2.68,3,2.42147652883,3,3
201,Bahai_test4,3,2.95032000542,"baha'i, abdu'lbaha, love, perfect, virus, prejudic, imperfect, weak, conting, afflict, corrupt, creator, proof, talk, ignor, hatr, spiritu, spirit, heal, baha'u'llah",0.0417476957631,0.0405292029301,0.333333333333,0.666666666667,0.320649183935,0.492786845162,0.00639658848614,0.00255863539446,0.00127931769723,0.00724946695096,0.00938166311301,0.0,0.0110874200426,0.714614520597,0.675737535367,Bahai,6,6.29333333333,6,5.36002348118,6,6
110,Shepherd_test2,3,9.00902795792,"thank, mom, get, bless, ask, don, love, thing, said, too, ill, got, lord, god, wisdom, anger, look, want, complain, walk",0.0430079324443,0.0193670343754,1.0,0.0,0.304806656838,0.606392184309,0.0224522888861,0.0163402769116,0.0319321441936,0.00586254209804,0.0177123612324,0.01072720469,0.0154671323438,0.627954243892,0.581380960982,Shepherd,4,4.44666666667,4,5.6215300137,4,4
154,Unitarian_test2,3,11.5969729424,"fear, frog, get, worth, woman, know, liuzzo, unitarian, hope, realli, challeng, feel, love, color, too, digniti, judg, principl, viola, universalist",0.025316618081,0.0326454456761,0.333333333333,0.666666666667,0.309991054156,0.612032174662,0.01855199315,0.00761107411283,0.0273998668062,0.0110360574636,0.00447150604129,0.00751593568642,0.00970411949386,0.713337286559,0.743424799085,Unitarian,7,5.65333333333,7,5.23879974957,7,7
78,PastorAnderson_test1,3,35.5498409271,"say, bibl, let, get, vers, money, know, okay, spirit, unto, talk, tell, guy, look, want, thing, christ, chapter, shall, whi",0.0218821151031,0.0219752933129,0.666666666667,0.333333333333,0.321056015503,0.614351097243,0.0122623981706,0.0239245390882,0.0165785336573,0.0195226525654,0.0178362155209,0.00108617979134,0.0188080605974,0.756727199098,0.731920924954,PastorAnderson,2,2.10333333333,2,2.02327678305,2,2
63,NaumanKhan_test3,3,21.0851659775,"allah, say, know, don't, talk, gona, get, ayah, ramadhan, surah, want, tell, let, qur'an, baqarah, someth, ask, taqwa, didn't, thing",0.0190284077954,0.0159051323651,0.666666666667,0.333333333333,0.445506198347,0.748421717172,0.0165148942738,0.0386890981118,0.0173380665741,0.0169779286927,0.0205278592375,0.00144055152544,0.0122446879662,0.662268046728,0.54166638129,NaumanKhan,3,3.05666666667,3,2.61211292468,3,3
142,Unitarian_test5,3,6.43831396103,"einstein, darwin, wonder, pythagora, feel, yes, symphoni, flow, listen, salvat, say, jolinda, justic, know, sphere, harmoni, disson, think, pine, pleas",0.0335660880524,0.0241401034888,0.666666666667,0.333333333333,0.18163041708,0.565698365931,0.0158522939202,0.00596792241701,0.0225662066393,0.0110033569564,0.0154792987691,0.00130548302872,0.0121223424095,0.70822122205,0.658405229338,Unitarian,7,4.88,4,5.55419664242,7,4
191,WBC_test5,3,17.7484560013,"shall, hell, wrath, god, unto, wick, prophet, noth, angri, woe, moment, christ, etern, hypocrit, will, psalm, forth, fals, thing, hath",0.0227577933266,0.0357062354288,0.333333333333,0.666666666667,0.370898666306,0.550548008471,0.00560174538593,0.0175717907896,0.0101421074356,0.019163865794,0.017276962085,0.00064862314995,0.0112034907719,0.808433604751,0.715456518349,WBC,1,1.36666666667,1,2.38077349897,1,1
75,PastorAnderson_test2,3,36.5307130814,"get, bibl, say, let, want, preach, sin, thing, vers, know, pastor, talk, save, okay, guy, look, someth, whi, lot, read",0.0183180755594,0.0244549048335,0.333333333333,0.666666666667,0.473299118368,0.769398604629,0.0110138846717,0.0273000800508,0.0249537637674,0.0217241284125,0.0129737488613,0.00069009302454,0.0186601153836,0.678351249914,0.7591088865,PastorAnderson,2,2.52,2,2.47205192023,2,2
123,MehrBaba_test3,3,8.59682202339,"baba, room, hotel, mind, everyth, impress, know, will, mandali, infinit, get, realli, avatar, discipl, plane, want, tri, got, door, ego",0.0320630675091,0.0149300868423,1.0,0.0,0.410304565572,0.839264500349,0.0134237107921,0.014221158958,0.00930356193514,0.0190058479532,0.0300372142477,0.0,0.0120946305157,0.745636779192,0.703418274785,MehrBaba,8,2.55,1,3.30221500905,4,6
216,SeaShepherds_test2,3,2.36741089821,"diminish, fish, oxygen, turtl, whale, phytoplankton, eat, plankton, shepherd, taboo, ecolog, save, gift, will, feed, biodivers, salmon, pollut, solut, fishmeal",0.0230392999435,0.0294465969819,0.333333333333,0.666666666667,0.510655378777,0.59664039313,0.0217797137523,0.00622277535781,0.00808960796515,0.00248911014312,0.0,0.0,0.00373366521469,0.710753492369,0.661764718715,SeaShepherds,2,4.73,6,4.80596217282,6,6
3,ISIS_test1,3,6.69817590714,"allah, jihād, hijrah, abandon, said, pkk, hypocrisi, dabiq, rahimahullāh, alayhi, sallam, sallallāhu, ibn, muslim, messeng, fear, sahīh, will, should, sin",0.020845346805,0.0264283221577,0.333333333333,0.666666666667,0.428802610257,0.58021066001,0.00261278522905,0.0151541543285,0.00679324159554,0.0243859954712,0.0233408813796,0.0,0.0094060268246,0.698371841465,0.632756369145,ISIS,1,1.35,1,0.815933973623,1,1
169,DorothyDay_test5,3,5.4635579586,"worker, communism, love, communist, stfranci, shall, christ, say, heresi, god, sick, how, must, martin, pictur, assisi, hope, subscrib, matt, fellow",0.027272416531,0.0220140861554,1.0,0.0,0.318122674877,0.686160395215,0.0136481802426,0.00324956672444,0.0214471403813,0.00974870017331,0.0238301559792,0.00303292894281,0.0145147313692,0.70654922982,0.645649102321,DorothyDay,4,5.57,4,4.91233040045,4,4
74,PastorAnderson_test4,3,32.6457648277,"say, get, bibl, vers, want, thing, guy, talk, chapter, know, whi, sin, unto, let, preach, save, god, circumcis, look, tell",0.0247952594722,0.0215918338817,1.0,0.0,0.401161183461,0.66457585641,0.0144784061379,0.0214082415543,0.0208204430145,0.0190261106299,0.0165202326445,0.0016705853236,0.0193973518129,0.694478431946,0.738485922242,PastorAnderson,2,2.07666666667,2,1.19570990588,2,2
155,Unitarian_test1,3,13.4894969463,"bread, anger, get, angri, snake, sudden, tree, samaritan, mous, want, ask, vote, break, explos, yes, know, say, dan, whi, fear",0.027719583459,0.0261505526063,0.666666666667,0.333333333333,0.250789020585,0.523424480639,0.0189425829264,0.00951338609193,0.024835830948,0.0137228489645,0.0106078464388,0.00193635292137,0.00766122242802,0.672618225539,0.472666975403,Unitarian,7,4.76333333333,7,5.36855123591,4,6
108,Shepherd_test3,3,9.56014084816,"disagr, don, get, disagre, pray, want, christ, evil, wrong, preach, let, said, say, tell, ask, thing, think, whi, ill, must",0.028995458458,0.0282385860995,0.333333333333,0.666666666667,0.221622472286,0.502114332686,0.0268707482993,0.0141723356009,0.0244897959184,0.0109977324263,0.0145124716553,0.0047619047619,0.0105442176871,0.596102151432,0.49973275678,Shepherd,4,5.54333333333,7,4.98828193575,4,6
62,NaumanKhan_test0,3,22.7683589458,"allah, swt, know, get, talk, gon, say, dont, ask, dua, thing, realli, someth, happen, think, ibrahim, ego, tell, whi, masjid",0.0192248514968,0.0144049345275,1.0,0.0,0.449066165564,0.718075592998,0.0182529335072,0.041527838138,0.0185426626105,0.0267033656864,0.0140518615095,0.000627746390458,0.0135206914868,0.593758862225,0.525662948765,NaumanKhan,3,3.11666666667,3,3.56657506262,3,3
158,MalcolmX_test1,3,24.1025941372,"malcolm, get, let, negro, know, got, bernard, talk, say, tri, whi, bullet, want, think, ballot, segreg, look, here, congo, should",0.019010107927,0.0165272143248,0.666666666667,0.333333333333,0.411189268031,0.782986721955,0.0150529065392,0.031256917696,0.0206313366096,0.0151414530482,0.0154956390844,0.00110683136317,0.0152742728118,0.708314202426,0.588844122577,MalcolmX,2,2.55333333333,2,3.29993307311,2,2
66,NaumanKhan_test2,3,13.2022731304,"allah, apo, quot, don't, say, know, messeng, quran, talk, want, pray, get, realli, didn't, whi, guy, ask, how, tell, masjid",0.0145614250018,0.0110705668123,1.0,0.0,0.555871294038,0.836984417395,0.0159830866808,0.0332346723044,0.0230021141649,0.0224947145877,0.0277378435518,0.00118393234672,0.012177589852,0.685038645735,0.537599839048,NaumanKhan,3,3.16333333333,3,3.64967191258,3,3
90,JohnPiper_test2,3,8.19043016434,"sin, vers, shall, christ, lose, god, womb, say, courag, etern, know, femal, desir, job, happen, womanhood, want, look, woman, unborn",0.0227521156625,0.0367665267083,0.0,1.0,0.449713662488,0.665417836234,0.0207532667179,0.0112733794517,0.00768639508071,0.00973610043556,0.0225467589034,0.00153727901614,0.0126825518832,0.76371947975,0.681758055863,JohnPiper,4,4.74,4,3.00731684136,4,4
136,MehrBaba_test0,3,4.42138314247,"mind, love, realiz, spirit, want, baba, clown, heart, spiritu, infinit, convict, divin, miracl, intellect, react, tiger, intellectu, understand, proof, sham",0.0286610191486,0.0230605510523,0.666666666667,0.333333333333,0.430236803408,0.659476361915,0.00663658083355,0.00424741173347,0.0114149190337,0.00929121316698,0.020175205734,0.0,0.0177860366339,0.825804228011,0.740520331359,MehrBaba,8,6.75333333333,8,5.05698060389,8,8
212,SeaShepherds_test1,3,2.91123104095,"whale, shepherd, save, illeg, whaler, net, japanes, totoaba, injunct, slaughter, quota, japan, vessel, gear, pamela, court, fleet, farley, anderson, find",0.018725439774,0.0235045627979,0.0,1.0,0.568181818182,0.659090909091,0.0245862884161,0.000945626477541,0.00283687943262,0.0160756501182,0.0,0.00378250591017,0.00661938534279,0.771481552741,0.601369302509,SeaShepherds,2,2.94,1,3.37224084557,6,6
189,WBC_test0,3,9.45030403137,"unto, submit, shall, husband, thou, christ, god, thee, servant, let, sin, evil, thing, thi, lord, wive, fear, submiss, master, say",0.0258799730722,0.038192142001,0.666666666667,0.333333333333,0.439210284665,0.660286851196,0.0119858989424,0.0170387779083,0.00928319623972,0.0227967097532,0.0163337250294,0.00282021151586,0.0075205640423,0.70786543571,0.584031004687,WBC,1,2.48333333333,1,1.35740134687,1,1
16,Rabbinic_test4,3,6.34727787971,"mose, alinski, rabbi, plagu, know, pharaoh, rememb, passov, happen, someon, tell, yizkor, let, torah, lincoln, jefferson, noth, slaveri, moment, sure",0.0188679655248,0.0152808744245,1.0,0.0,0.385235502883,0.762891233479,0.0287162162162,0.0045045045045,0.0116366366366,0.0101351351351,0.0101351351351,0.00168918918919,0.0106981981982,0.70154171861,0.705715069387,Rabbinic,6,5.35666666667,6,5.02517150398,6,6
28,Rabbinic_test0,3,7.34145879745,"moment, let, rosh, hashanah, ourselv, destini, forward, want, god, passag, ask, get, opportun, tallit, holiday, yizkor, step, atzeret, rabbi, synagogu",0.0216836204257,0.0125878487906,1.0,0.0,0.343365818167,0.824020307077,0.0370608053907,0.00609658270496,0.0155623295363,0.00545483715707,0.0141184020536,0.00112305470881,0.0126744745708,0.656503018109,0.635762388021,Rabbinic,6,5.36666666667,6,5.56799167687,6,6
117,Shepherd_test1,3,8.51545619965,"christ, love, pleas, sin, kid, don, christma, get, said, want, pay, ask, know, ill, dad, sexual, god, woman, mind, sex",0.0295860940466,0.0186532349484,0.666666666667,0.333333333333,0.28158338357,0.641647349831,0.017083669626,0.0195049771321,0.0239440408932,0.00941619585687,0.0262308313156,0.00645682001614,0.0137207425343,0.670056490788,0.613998056416,Shepherd,4,4.16666666667,4,4.58453580951,4,4
218,SeaShepherds_test0,3,3.32072496414,"costa, shepherd, rican, coco, illeg, whale, crew, arrest, vessel, shark, guatemalan, charg, marin, boat, extradit, rica, poacher, incopesca, vaquita, fishermen",0.0187990685862,0.0175095247834,0.666666666667,0.333333333333,0.343516924842,0.632042455536,0.0197044334975,0.00227358848049,0.0166729821902,0.00871542250853,0.000378931413414,0.000378931413414,0.0053050397878,0.675731701522,0.729320357747,SeaShepherds,2,4.71333333333,6,5.89513993519,6,6
185,WBC_test4,3,14.0892879963,"unto, love, bless, shall, sin, thi, enemi, thou, mose, god, hate, curs, thee, look, thing, lord, aaron, say, hath, evil",0.0285119321996,0.0237839700013,0.666666666667,0.333333333333,0.435528802212,0.613457971772,0.0255794764084,0.0138024154227,0.0117020478584,0.0187532818243,0.0204035706249,7.50131272973e-05,0.0105768509489,0.632231430291,0.691600657163,WBC,1,1.97666666667,1,2.66073973176,4,6
172,DorothyDay_test1,3,5.74518489838,"poverti, job, worker, talk, want, poor, get, rob, too, care, say, door, should, tax, voluntari, reader, tri, pay, farm, jainitress",0.02164801027,0.0273219296059,0.333333333333,0.666666666667,0.335174645382,0.750103661072,0.0252844500632,0.00526759376317,0.0086388537716,0.0229667088074,0.0130636325327,0.0094816687737,0.0124315212811,0.742688523835,0.703121811945,DorothyDay,4,2.17666666667,1,3.00299370404,4,6
49,IntegralYoga_test5,3,4.41822814941,"heaven, let, yoga, everybodi, mantra, everyth, yogavill, happi, gurudeva, mind, get, ourselv, anyth, love, better, attitud, feel, want, ashram, pain",0.0312004680234,0.0175750668889,1.0,0.0,0.3111273002,0.724169818633,0.0189165950129,0.012324448266,0.0335339638865,0.0048724562912,0.00773860705073,0.00114646030381,0.0220693608484,0.710396608965,0.593507299252,IntegralYoga,6,6.69333333333,7,5.53253022775,2,6
210,Bahai_test1,3,2.89417910576,"courag, sick, baha'i, abdu'lbaha, baha'u'llah, heal, excit, prophet, cure, nerv, kind, everyon, fear, violent, maladi, virtu, uniti, educ, spiritu, will",0.0398020819511,0.0253008054601,1.0,0.0,0.378340050754,0.462345126138,0.0070206230803,0.00921456779289,0.000438788942519,0.00394910048267,0.00526546731022,0.0,0.00833698990785,0.820936566045,0.707697318363,Bahai,6,6.10666666667,6,5.38149387475,6,6
129,MehrBaba_test2,3,3.14529109001,"perfect, baba, shri, master, bahaulhuq, princess, matchabelli, someon, hazrat, meher, spiritu, love, miracl, usa, girl, everyth, noth, pollut, princ, saint",0.044374244709,0.014910203561,1.0,0.0,0.509216192937,0.697301177146,0.00131578947368,0.00263157894737,0.0214912280702,0.00438596491228,0.0280701754386,0.00745614035088,0.0100877192982,0.693562286663,0.619564346434,MehrBaba,8,7.47,8,6.70105926365,8,8
197,Bahai_test0,3,2.6869020462,"baha'i, spirit, baha'u'llah, realiti, prophet, divin, god, spiritu, messeng, illumin, abdu'lbaha, manifest, holi, enabl, unto, fellowship, soul, ask, mankind, etern",0.0302872163543,0.0117726334974,1.0,0.0,0.465086206897,0.732902298851,0.0126728110599,0.0,0.0120967741935,0.00979262672811,0.0161290322581,0.000576036866359,0.00518433179724,0.795850122918,0.729064269166,Bahai,6,6.31,8,5.67519284075,8,8
56,NaumanKhan_test5,3,15.1359260082,"allah, say, prophet, know, alayhi, don't, get, sallallahu, dont, wasallam, happen, talk, quran, want, messeng, thing, fear, gon, ask, muslim",0.0195364414239,0.0217613407501,0.333333333333,0.666666666667,0.429453502415,0.735363828502,0.0210940293171,0.031247765463,0.0122988916696,0.0235967107615,0.0154451197712,7.15051841258e-05,0.0149445834823,0.660889513023,0.483494786824,NaumanKhan,3,3.10333333333,2,2.97476850679,3,3
114,Shepherd_test4,3,11.0809819698,"don, want, know, rememb, let, trust, get, bad, god, ask, thing, love, said, look, behav, preacher, say, everyon, preach, sure",0.0334485360367,0.0262420844202,1.0,0.0,0.274769677233,0.633003587546,0.0250328050873,0.0172605228626,0.0356313717573,0.00787322095488,0.0229130917533,0.00494599777935,0.00928636317755,0.677308085443,0.661527656404,Shepherd,4,4.14,4,4.6824208871,4,4
26,Rabbinic_test5,3,6.33261203766,"mose, torah, paint, pharaoh, israelit, “what, ask, must, know, question, should, van, gogh, moment, prepar, jew, rabbi, maccabe, miracl, intent",0.0207957349386,0.0155208407518,1.0,0.0,0.467392921341,0.770781937643,0.028762293561,0.00445351642234,0.00816478010763,0.0102059751345,0.0122471701614,0.000371126368528,0.0155873074782,0.700011936224,0.650046332686,Rabbinic,6,5.68,6,5.54284903171,6,6
130,MehrBaba_test1,3,4.32243609428,"shall, spiritu, saint, master, ask, janak, attitud, reaction, sadguru, benefit, milk, mind, perfect, execution, disembodi, shrine, atheist, should, conscious, feel",0.0222627780233,0.0202522883771,0.666666666667,0.333333333333,0.395079365079,0.647857142857,0.0,0.00506186726659,0.00224971878515,0.0109673790776,0.023340832396,0.000281214848144,0.00815523059618,0.784800767167,0.778951452001,MehrBaba,8,5.77666666667,8,3.47214911389,1,6
14,ISIS_test3,3,6.31237602234,"allah, messeng, alayhi, sallam, sallallāhu, ibn, inde, advic, said, ta'ālā, fear, enemi, don't, path, jihād, know, let, du'ā, soldier, flaw",0.0128517148805,0.026509574744,0.333333333333,0.666666666667,0.468487228304,0.659656116135,0.00205722835235,0.0304843837666,0.00841593416869,0.0119693285955,0.02150738732,0.000374041518609,0.011034224799,0.622269535236,0.613283868713,ISIS,1,3.99,8,3.14839386011,1,6
54,NaumanKhan_test4,3,13.2937140465,"allah, don't, know, say, get, opinion, someth, talk, want, you'r, realli, goanna, i'm, fitrah, they'r, shura, we'r, didn't, doesn't, kid",0.0218538964337,0.0198804899928,1.0,0.0,0.499278952479,0.754474059618,0.0165343373987,0.0412539903413,0.0177621347303,0.0228370303675,0.00540230825898,0.00204632888598,0.0150609806008,0.693334528986,0.611844035028,NaumanKhan,3,2.8,3,2.56869672947,2,2
182,WBC_test2,3,9.24394202232,"sin, unto, shall, thou, hath, say, presumptu, lord, thi, jeremiah, god, ghost, lydia, spirit, christ, sermon, thee, gather, blasphem, preach",0.0217412681251,0.0295943753736,0.666666666667,0.333333333333,0.459575700033,0.649698035672,0.00918511540273,0.00647668393782,0.0150730098917,0.0170748940179,0.0243758831842,0.00117757889779,0.0065944418276,0.723507931303,0.634406451161,WBC,1,1.16666666667,1,0.615097255616,1,1
179,WBC_test3,3,9.17742800713,"shall, unto, sodomit, obama, thou, wit, worship, saith, sheep, belov, lord, abomin, dog, prophet, beast, sermon, nebuchadnezzar, filthi, peter, sunday",0.0237256123489,0.0267034404959,0.666666666667,0.333333333333,0.378712739295,0.519579089568,0.0074038691187,0.0054931932171,0.00943396226415,0.0164795796513,0.0228086935754,0.00059708621925,0.00752328636255,0.745748429004,0.703380115849,WBC,1,1.04666666667,1,0.638159689325,1,1
9,ISIS_test0,3,4.54073309898,"obama, airstrik, isi, iraqi, crusad, isil, terrorist, iraq, allah, foley, today…, yazidi, dabiq, islam, strike, commit, jihād, they'r, senior, enemi",0.0100084626825,0.0285827441864,0.0,1.0,0.42834642448,0.662248404516,0.0133712660028,0.00142247510669,0.00739687055477,0.0130867709815,0.00853485064011,0.0,0.0130867709815,0.723447310842,0.676783513724,ISIS,1,3.26333333333,6,1.67921240592,1,1
24,Rabbinic_test1,3,7.13257598877,"orthodox, jew, franci, torah, jewish, communal, lefkowitz, pope, want, ourselv, convers, ask, sit, hashanah, moment, rosh, choos, debbi, tell, rabbi",0.0223295723401,0.0132737332507,0.666666666667,0.333333333333,0.444551153795,0.812476101552,0.0289924715682,0.013455069678,0.0198622457152,0.00432484382508,0.00832932884831,0.00144161460836,0.0099311228576,0.730543113585,0.638118075244,Rabbinic,6,5.71,6,6.08071884068,6,6
132,MehrBaba_test4,3,4.23644018173,"spiritu, mental, marri, love, happi, get, must, regul, lust, noth, children, bear, freedom, practis, conscious, partner, joy, baba, done, passion",0.0457998765394,0.0206236000598,1.0,0.0,0.562071205294,0.708774814274,0.00855675984027,0.0,0.000570450656018,0.0114090131204,0.00513405590416,0.000570450656018,0.0165430690245,0.788207347462,0.65732024943,MehrBaba,8,6.26,6,7.33670043058,8,8
73,PastorAnderson_test0,3,31.1143929958,"say, shall, christ, unto, vers, bibl, let, know, get, chapter, jesus, jew, okay, abraham, tell, passag, messiah, look, seed, bless",0.0177629826141,0.0127891825204,1.0,0.0,0.389247528597,0.68408507484,0.0121487259823,0.0185427922888,0.018798554941,0.0166245723968,0.0190223472617,0.000351673646856,0.0177115636689,0.746579634434,0.765955462394,PastorAnderson,2,2.35666666667,2,3.08012219469,2,2
178,WBC_test1,3,9.6967279911,"shall, angel, heaven, unto, sin, god, hath, wit, thee, rev, say, lord, sermon, hair, belov, thi, graham, outlin, etern, sunday",0.0359857237528,0.0292995253279,0.666666666667,0.333333333333,0.45034184885,0.600930507305,0.00666214995483,0.00892050587173,0.0119692863595,0.0140018066847,0.0159214092141,0.0102755194219,0.00609756097561,0.742936222896,0.769178121404,WBC,1,4.72666666667,1,4.03594069109,1,2
69,Ghandi_test1,3,14.4871020317,"div, href, class, meta, svg, https, numlnum, rel, button, content, width, numcnum, octicon, fillrul, mnum, ariahidden, evenodd, viewbox, path, arialabel",0.0109747644829,0.00572765428023,1.0,0.0,0.165780305462,0.710602565131,0.00226154050818,0.00525475588666,0.0158972994546,0.00558733537315,0.00292669948118,0.000731674870294,0.00452308101636,0.666142165892,0.399644999472,Ghandi,1,3.49333333333,1,3.31990836275,1,1
207,Bahai_test3,3,3.13985586166,"baha'i, baha'u'llah, fill, abdu'lbaha, realiti, matur, tri, mankind, principl, must, mind, ancestor, imit, soul, conclud, check, uniti, nay, genom, perfect",0.0178679674692,0.0116402888606,1.0,0.0,0.408022533023,0.585664335664,0.0144546649146,0.00963644327639,0.00963644327639,0.011826544021,0.00525624178712,0.0,0.00963644327639,0.700264975894,0.614630468643,Bahai,6,5.15,6,4.80356606244,6,6
95,JohnPiper_test4,3,9.59058499336,"hope, vers, grace, husband, god, promis, say, submiss, christ, regener, peter, let, gospel, godli, anew, surgic, jesus, preach, spirit, know",0.0406534793186,0.013565680359,1.0,0.0,0.499865613073,0.680081468341,0.0228465238303,0.0215347616965,0.00907302142545,0.00623087013555,0.0149759510275,0.00426322693485,0.0137735024049,0.691741981595,0.609292429906,JohnPiper,4,4.95666666667,6,5.78343714154,6,6
143,Unitarian_test0,3,13.1384570599,"depress, garden, feel, tell, flower, know, love, abus, easter, dont, tomb, let, say, silenc, someon, grief, get, noth, realli, loss",0.0252222483062,0.0307519526308,0.333333333333,0.666666666667,0.29552898282,0.70814303763,0.0137966274911,0.00996423096576,0.0327031170158,0.00979390223131,0.0105603815364,0.00783512178505,0.0128598194515,0.678910260832,0.602304989226,Unitarian,7,6.31,7,6.71602615746,7,7
