,group,filepath,subgroup
0,Rabbinic,./data_dsicap/Rabbinic/raw/1938-vs-2012.txt,train11
1,Rabbinic,./data_dsicap/Rabbinic/raw/45.txt,test5
2,Rabbinic,./data_dsicap/Rabbinic/raw/615th-commandment.txt,train8
3,Rabbinic,./data_dsicap/Rabbinic/raw/aba-gate.txt,train23
4,Rabbinic,./data_dsicap/Rabbinic/raw/abnormal-evil.txt,train22
5,Rabbinic,./data_dsicap/Rabbinic/raw/acting-now-ever.txt,test7
6,Rabbinic,./data_dsicap/Rabbinic/raw/arevut.txt,test2
7,Rabbinic,./data_dsicap/Rabbinic/raw/attitude-gratitude.txt,test4
8,Rabbinic,./data_dsicap/Rabbinic/raw/ayekha.txt,train9
9,Rabbinic,./data_dsicap/Rabbinic/raw/benchmark-breach.txt,train16
10,Rabbinic,./data_dsicap/Rabbinic/raw/best-defense.txt,train19
11,Rabbinic,./data_dsicap/Rabbinic/raw/big-picture.txt,test1
12,Rabbinic,./data_dsicap/Rabbinic/raw/bitul-ha-yesh.txt,test6
13,Rabbinic,./data_dsicap/Rabbinic/raw/blessed-are-introverts.txt,train15
14,Rabbinic,./data_dsicap/Rabbinic/raw/blessing-assimilation.txt,train14
15,Rabbinic,./data_dsicap/Rabbinic/raw/brother-can-you-spare-blessing.txt,train13
16,Rabbinic,./data_dsicap/Rabbinic/raw/caves-our-lives.txt,test0
17,Rabbinic,./data_dsicap/Rabbinic/raw/cells-without-numbers-prisoners-without-names.txt,train20
18,Rabbinic,./data_dsicap/Rabbinic/raw/check-your-jewish-privilege.txt,test3
19,Rabbinic,./data_dsicap/Rabbinic/raw/where-do-you-put-your-menorah.txt,train17
20,Rabbinic,./data_dsicap/Rabbinic/raw/who-jew-revisited.txt,train10
21,Rabbinic,./data_dsicap/Rabbinic/raw/why-synagogue.txt,train18
22,Rabbinic,./data_dsicap/Rabbinic/raw/will-believe.txt,train12
23,Rabbinic,./data_dsicap/Rabbinic/raw/zerizus.txt,train21
24,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS01.txt,test1
25,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS02.txt,train12
26,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS03.txt,train16
27,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS04.txt,test4
28,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS05.txt,train14
29,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS06.txt,train18
30,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS07.txt,train10
31,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS08.txt,train13
32,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS09.txt,train7
33,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS10.txt,test3
34,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS11.txt,train15
35,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS12.txt,train17
36,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS13.txt,train19
37,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS14.txt,test0
38,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS15.txt,train8
39,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS16.txt,train9
40,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS17.txt,test2
41,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS18.txt,train6
42,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS19.txt,test5
43,SeaShepherds,./data_dsicap/SeaShepherds/raw/SS20.txt,train11
