,group,filepath,subgroup
0,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU01.txt,test1
1,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU02.txt,train2
2,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU03.txt,train3
3,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU04.txt,test0
4,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU05.txt,train2
5,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU06.txt,train3
6,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU07.txt,train3
7,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU08.txt,train2
8,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU09.txt,train3
9,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU10.txt,test1
10,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU11.txt,test0
11,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU12.txt,test0
12,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU13.txt,train3
13,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU14.txt,test0
14,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU15.txt,test0
15,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU16.txt,test0
16,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU17.txt,train2
17,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU19.txt,train2
18,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU20.txt,test1
19,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU21.txt,test1
20,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU22.txt,train2
21,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU23.txt,train2
22,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU24.txt,test0
23,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU25.txt,test0
24,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU26.txt,train3
25,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU27.txt,train2
26,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU28.txt,train2
27,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU29.txt,test1
28,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU30.txt,test1
29,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU31.txt,test0
30,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU32.txt,train3
31,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU33.txt,test0
32,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU34.txt,test1
33,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU35.txt,test1
34,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU36.txt,test1
35,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU37.txt,test1
36,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU38.txt,train2
37,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU39.txt,train3
38,ACLU,./data_dsicap_FULL/ACLU/raw/ACLU40.txt,train3
39,AEU,./data_dsicap_FULL/AEU/raw/AEU001.txt,train1
40,AEU,./data_dsicap_FULL/AEU/raw/AEU002.txt,train1
41,AEU,./data_dsicap_FULL/AEU/raw/AEU003.txt,test0
42,AEU,./data_dsicap_FULL/AEU/raw/AEU004.txt,train1
43,AEU,./data_dsicap_FULL/AEU/raw/AEU005.txt,train1
44,AEU,./data_dsicap_FULL/AEU/raw/AEU006.txt,train1
45,AEU,./data_dsicap_FULL/AEU/raw/AEU007.txt,test0
46,AEU,./data_dsicap_FULL/AEU/raw/AEU008.txt,test0
47,AEU,./data_dsicap_FULL/AEU/raw/AEU009.txt,test0
48,AEU,./data_dsicap_FULL/AEU/raw/AEU010.txt,test0
49,AEU,./data_dsicap_FULL/AEU/raw/AEU011.txt,test0
50,AEU,./data_dsicap_FULL/AEU/raw/AEU012.txt,test0
51,AEU,./data_dsicap_FULL/AEU/raw/AEU013.txt,test0
52,AEU,./data_dsicap_FULL/AEU/raw/AEU014.txt,test0
53,AEU,./data_dsicap_FULL/AEU/raw/AEU015.txt,test0
54,AndrewMurray,./data_dsicap_FULL/AndrewMurray/raw/AndrewMurray-HolyinChrist.txt,test0
55,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai01.txt,train5
56,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai02.txt,train4
57,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai03.txt,test0
58,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai04.txt,test0
59,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai05.txt,test1
60,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai06.txt,test1
61,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai07.txt,train4
62,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai08.txt,test1
63,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai09.txt,train4
64,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai10.txt,test0
65,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai11.txt,train6
66,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai12.txt,train4
67,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai13.txt,train4
68,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai14.txt,test0
69,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai15.txt,test1
70,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai16.txt,train6
71,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai17.txt,train3
72,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai18.txt,test2
73,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai19.txt,train7
74,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai20.txt,test1
75,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai21.txt,train3
76,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai22.txt,test2
77,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai23.txt,train5
78,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai24.txt,test2
79,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai25.txt,train7
80,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai26.txt,train3
81,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai27.txt,train5
82,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai28.txt,test2
83,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai29.txt,train6
84,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai30.txt,train6
85,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai31.txt,train6
86,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai32.txt,train5
87,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai33.txt,test1
88,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai34.txt,train6
89,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai35.txt,train5
90,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai36.txt,train6
91,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai37.txt,train4
92,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai38.txt,train5
93,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai39.txt,train6
94,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai40.txt,train4
95,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai41.txt,train3
96,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai42.txt,test2
97,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai43.txt,train6
98,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai44.txt,train3
99,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai45.txt,test1
100,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai46.txt,train3
101,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai47.txt,train4
102,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai48.txt,test1
103,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai49.txt,train3
104,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai50.txt,test1
105,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai51.txt,test0
106,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai52.txt,train3
107,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai53.txt,test1
108,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai54.txt,train3
109,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai55.txt,test0
110,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai56.txt,test0
111,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai57.txt,train5
112,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai58.txt,test2
113,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai59.txt,test0
114,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai60.txt,test2
115,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai61.txt,test2
116,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai62.txt,test0
117,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai63.txt,train4
118,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai64.txt,test2
119,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai65.txt,train5
120,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai66.txt,test0
121,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai67.txt,train3
122,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai68.txt,train7
123,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai69.txt,test2
124,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai70.txt,train5
125,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai71.txt,train5
126,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai72.txt,train6
127,Bahai,./data_dsicap_FULL/Bahai/raw/Bahai73.txt,train4
128,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay001.txt,train37
129,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay002.txt,train68
130,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay003.txt,test12
131,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay004.txt,train72
132,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay005.txt,test6
133,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay006.txt,train33
134,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay007.txt,train29
135,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay008.txt,train77
136,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay009.txt,test11
137,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay010.txt,train68
138,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay011.txt,train58
139,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay012.txt,train49
140,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay013.txt,test20
141,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay014.txt,train27
142,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay015.txt,test22
143,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay016.txt,test8
144,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay017.txt,test10
145,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay018.txt,train25
146,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay019.txt,test1
147,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay020.txt,train26
148,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay021.txt,test19
149,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay022.txt,train60
150,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay023.txt,train50
151,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay024.txt,test9
152,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay025.txt,train70
153,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay026.txt,train69
154,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay027.txt,train30
155,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay028.txt,train39
156,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay029.txt,test11
157,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay030.txt,train35
158,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay031.txt,train36
159,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay032.txt,train69
160,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay033.txt,train62
161,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay034.txt,test23
162,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay035.txt,train39
163,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay036.txt,train40
164,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay037.txt,test14
165,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay038.txt,train26
166,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay039.txt,test11
167,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay040.txt,train40
168,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay041.txt,train64
169,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay042.txt,test4
170,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay043.txt,test11
171,DorothyDay,./data_dsicap_FULL/DorothyDay/raw/DorothyDay044.txt,train28
