,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,toBeCount,pronounFrac,pronounCount,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,14.764095068,"s, don, get, grace, christ, love, ask, want, ill, t",0.0386458887489,0.0216174571535,0.8,0.2,17.9,0.0667182567047,169.4,0.591759305818,0.599370576393,0.720992533334,Shepherd,4,4.0,3.83465595727
4,Shepherd_test9,10,14.2312619686,"s, get, don, christ, ask, ill, god, sin, said, t",0.0282822678214,0.0244671478483,0.6,0.4,16.8,0.0682262410319,157.0,0.592095830568,0.61875850837,0.533858663173,Shepherd,4,4.0,4.28965522576
6,Shepherd_test0,10,13.040941,"s, don, prais, know, get, t, want, ill, christma, said",0.0323763967355,0.0176457487023,1.0,0.0,14.6,0.0537443825853,162.1,0.587514817503,0.650612664238,0.706805820553,Shepherd,4,4.0,4.23567231324
9,Shepherd_test10,10,13.434664011,"s, christ, don, want, get, friend, t, whi, ask, worship",0.0290034278514,0.0227954046106,0.7,0.3,14.5,0.0507717311305,152.5,0.532661726349,0.602441559604,0.65077492762,Shepherd,4,3.4,3.93382519646
15,Shepherd_test20,10,15.176856041,"s, don, get, ask, know, christ, said, ill, whi, t",0.0313169942159,0.0242927486479,0.7,0.3,15.3,0.0539891689286,182.0,0.609681095108,0.59476746263,0.613755960809,Shepherd,4,4.0,4.02897201555
16,Shepherd_test6,10,13.596353054,"s, get, god, want, don, know, christ, t, ask, better",0.032936873618,0.0266626471465,0.8,0.2,16.4,0.0693287892522,156.6,0.610362425726,0.604343340942,0.647612551359,Shepherd,4,4.0,3.98469004346
21,Shepherd_test16,10,13.6761009693,"s, sin, get, want, ask, don, pray, christ, lord, t",0.0283340801042,0.0272932725747,0.4,0.6,16.3,0.0635462955988,165.8,0.633060745491,0.613951375088,0.723817969104,Shepherd,4,3.3,3.81602201114
23,Shepherd_test19,10,14.0631611347,"s, don, get, want, t, ill, christ, said, sunday, thing",0.0298954909194,0.020839762476,0.8,0.2,15.8,0.0538120719788,168.2,0.564818104012,0.562998941082,0.651760673002,Shepherd,4,3.4,3.75754166013
30,Shepherd_test14,10,14.8736748695,"s, christ, get, ask, don, ill, want, t, pray, spirit",0.0318970180988,0.0203194105296,0.7,0.3,16.4,0.0554983037374,173.9,0.590651021605,0.597157402175,0.487364937045,Shepherd,4,4.0,3.87930259201
31,Shepherd_test4,10,14.3602828979,"s, don, get, worship, pray, christ, t, know, said, want",0.0332917720926,0.0180501374199,0.9,0.1,17.7,0.0732199751659,165.8,0.624545275804,0.611411150579,0.438604224046,Shepherd,4,4.0,4.06598913732
32,Shepherd_test8,10,16.2642140388,"s, christ, love, ask, want, get, ill, fear, don, god",0.0324252201479,0.0227530207409,0.8,0.2,19.2,0.0654818893004,178.9,0.564610408936,0.619116861983,0.678637597926,Shepherd,4,4.0,4.09490799843
34,Shepherd_test3,10,14.6491048336,"s, don, get, t, bless, christ, ask, re, want, sin",0.0302798068017,0.0239111446495,0.8,0.2,16.8,0.0660891856217,169.3,0.621260322901,0.709355112668,0.676194400479,Shepherd,4,3.7,4.88733358549
37,Shepherd_test13,10,14.9177789688,"s, get, don, ask, love, t, ill, god, know, want",0.0341358839953,0.0215131097738,0.9,0.1,17.9,0.0743820087583,161.7,0.604043455611,0.547180857402,0.491134388769,Shepherd,4,4.0,3.83815971336
44,Shepherd_test21,10,14.3820610046,"s, trust, get, want, lord, thank, ask, god, don, say",0.0320240934572,0.0233687528766,0.7,0.3,20.8,0.08619249922,158.7,0.613849281026,0.593611922271,0.646869196551,Shepherd,4,4.32727272727,4.0427402111
45,Shepherd_test1,10,14.2434988022,"s, get, christ, know, god, love, want, heaven, ill, bad",0.036686604917,0.0224234140468,0.9,0.1,17.6,0.0641346600579,164.6,0.587072639949,0.613862939587,0.576840770503,Shepherd,4,4.0,4.02074218246
49,Shepherd_test11,10,14.2892811298,"pray, s, get, prayer, walk, god, christ, ask, love, sin",0.0318084435438,0.022149050504,1.0,0.0,18.4,0.0825350047428,154.5,0.661160276704,0.568168188558,0.563116110364,Shepherd,4,4.0,3.92938133275
50,Shepherd_test2,10,14.881606102,"s, christ, don, preach, get, ask, t, heaven, said, god",0.0301649858485,0.0227505368089,0.6,0.4,16.5,0.057510586036,167.5,0.588131638124,0.59346903046,0.630345649621,Shepherd,4,4.0,4.1021837282
