,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,13.7582969666,"don, get, s, t, want, christ, sin, worri, said, ill",0.0319534440087,0.0233025806253,0.8,0.2,0.0597249305216,0.602620272663,0.623172858659,0.53356666509,Shepherd,4,4.01842105263,4.04020270173
4,Shepherd_test9,10,13.8423819542,"s, ask, sin, get, want, don, know, christ, god, ill",0.0340030929183,0.0242396455707,0.9,0.1,0.071161404078,0.646288692172,0.556737632318,0.575558077609,Shepherd,4,4.01842105263,3.57153604652
6,Shepherd_test21,10,14.5923960209,"s, don, get, t, christ, want, ask, god, love, said",0.0343267954805,0.0233807911441,1.0,0.0,0.0744840738874,0.595277133188,0.649287942651,0.688857959418,Shepherd,4,4.32,4.61310577611
7,Shepherd_test0,10,14.0574169159,"s, sin, don, get, christ, ask, someon, love, god, said",0.0330584348381,0.0242475114258,0.8,0.2,0.0703781419219,0.553329909965,0.615566137731,0.618593133006,Shepherd,4,4.01842105263,4.15300638382
10,Shepherd_test10,10,13.7426760197,"s, christ, god, get, don, ask, want, preach, discipl, know",0.0328110493244,0.0225688328879,0.8,0.2,0.0650250705273,0.617595881978,0.634736635684,0.645663437656,Shepherd,4,4.01842105263,4.26034094384
16,Shepherd_test20,10,15.3655459881,"s, get, don, ask, christ, pray, preacher, want, t, bad",0.0326091831976,0.0236100935823,0.8,0.2,0.06729128625,0.620860160515,0.577223227795,0.592331930295,Shepherd,4,4.01842105263,3.82102923026
17,Shepherd_test6,10,12.8397459984,"s, christ, spirit, don, want, sin, get, t, know, go",0.0322753564508,0.0257149619581,0.4,0.6,0.0710730021893,0.622887036078,0.633503739807,0.656249742084,Shepherd,4,2.3,3.66362548169
22,Shepherd_test16,10,13.3779330254,"s, don, get, thank, t, ill, want, said, jesus, bless",0.0344437297827,0.0209699160646,0.9,0.1,0.0567426233967,0.558823968751,0.581982179457,0.66306172275,Shepherd,4,4.01842105263,3.82886276577
24,Shepherd_test19,10,14.1010191441,"s, get, christ, god, want, preacher, ill, don, worship, sin",0.0332669787745,0.0238168493642,0.9,0.1,0.0863267903082,0.665052140157,0.610306774874,0.717921456626,Shepherd,4,4.01842105263,4.29483643885
26,Shepherd_test4,10,12.3109970093,"s, rememb, walk, god, want, get, preach, christ, bad, prepar",0.0287044944194,0.0196458870564,0.9,0.1,0.0680903802558,0.621328830444,0.632482542105,0.601935017606,Shepherd,4,4.27226720648,4.32250883699
32,Shepherd_test14,10,14.4533770084,"s, get, happen, god, know, said, evil, don, thing, whi",0.0310106316538,0.0240691858044,0.7,0.3,0.0684883324766,0.588514738599,0.599827201788,0.71345635968,Shepherd,4,4.01842105263,4.1820417946
