,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,17.2129898071,"s, get, don, want, christ, t, ask, know, god, love, ill, go, said, heaven, whi",0.0315449271023,0.018707902401,0.9,0.1,184.7,0.611101599195,0.633721633782,0.650324009208,Shepherd,4,3.2,4.14092939648
4,Shepherd_test9,10,18.9856498241,"s, christ, know, god, love, get, want, sin, don, encourag, ill, said, jesus, t, thing",0.034930055677,0.0247924291765,0.8,0.2,171.2,0.567067900282,0.622976982319,0.57853719325,Shepherd,4,4.0,3.9570657372
6,Shepherd_test21,10,16.7220458984,"get, s, don, want, know, christ, preacher, t, god, go, lord, thing, ill, say, i",0.0284354480001,0.0197091845082,0.8,0.2,163.0,0.644131766181,0.594195363437,0.576169243287,Shepherd,4,5.80909090909,4.31957496885
7,Shepherd_test0,10,17.1254341602,"s, want, don, get, ill, t, god, thank, christ, ask, said, worship, i, let, tell",0.0312017584037,0.0188462171321,0.9,0.1,165.5,0.613304499471,0.576238897547,0.622565913509,Shepherd,4,4.00909090909,3.80605718935
10,Shepherd_test10,10,16.6785080433,"get, s, don, want, lord, t, ill, sin, christ, ask, know, wait, god, said, thing",0.0367061423495,0.0207974185882,0.8,0.2,168.6,0.61348536797,0.634776925428,0.67160604233,Shepherd,4,4.00909090909,3.90453174774
16,Shepherd_test20,10,17.4771738052,"s, don, get, christ, want, ill, t, ask, jesus, know, said, god, judg, preacher, i",0.0295753052512,0.0194202079446,0.9,0.1,163.9,0.615511871615,0.580711789981,0.570339336553,Shepherd,4,4.00909090909,3.92717061711
17,Shepherd_test6,10,17.2979681492,"s, sin, walk, christ, grace, god, get, ask, said, evil, say, know, preacher, disagr, thing",0.0316930217492,0.0220881014793,0.6,0.4,161.0,0.593415726886,0.619516913229,0.696968935418,Shepherd,4,4.0,4.08926172256
22,Shepherd_test16,10,17.9720540047,"s, don, get, ill, know, god, t, christ, want, love, said, say, devil, satan, wisdom",0.0339861661195,0.0201726050157,0.9,0.1,180.5,0.590472879087,0.631839423854,0.594105379544,Shepherd,4,3.9,4.04860153357
25,Shepherd_test19,10,21.5478641987,"s, don, ill, get, t, god, christ, ask, know, said, didn, want, fear, thing, tell",0.0325403500941,0.0226189537113,0.7,0.3,202.9,0.591896986928,0.59799676537,0.588648823159,Shepherd,4,3.1,4.13702110417
32,Shepherd_test14,10,16.7523748875,"s, get, don, prayer, ill, t, said, pray, let, know, go, christ, want, jesus, thing",0.0324252045828,0.020400146575,0.9,0.1,161.3,0.62018783714,0.618303598326,0.595787267318,Shepherd,4,4.00909090909,4.14851883834
33,Shepherd_test4,10,16.9724209309,"s, christ, don, get, ask, want, said, know, ill, preacher, god, let, go, say, t",0.0280064467663,0.0220364372174,0.5,0.5,155.8,0.608349698203,0.613623159492,0.586596516489,Shepherd,4,4.0,4.25110190435
34,Shepherd_test8,10,19.339384079,"s, don, get, sin, want, t, evil, know, god, happen, christ, thing, said, someon, ill",0.0316984162182,0.03126380624,0.5,0.5,182.4,0.61817847917,0.631764185007,0.554598407813,Shepherd,4,3.5,3.75045945286
36,Shepherd_test3,10,15.5500290394,"s, get, don, know, god, preach, christ, jesus, trust, ask, want, said, let, thing, t",0.0350203938434,0.0193988357258,0.7,0.3,146.7,0.661290297361,0.650432359724,0.706277039307,Shepherd,4,4.8417719267,3.89795985471
39,Shepherd_test13,10,16.8861010075,"s, get, christ, don, want, ask, know, t, said, remind, listen, friend, lord, i, do",0.0276704708185,0.0200382466906,0.9,0.1,170.3,0.593375393398,0.609674138944,0.65788969215,Shepherd,4,4.00909090909,4.08502829361
46,Shepherd_test1,10,17.0502400398,"s, ask, christ, preach, get, know, preacher, ill, don, want, t, said, god, i, say",0.0304750082685,0.0242072333655,0.8,0.2,160.4,0.643820517568,0.582488168088,0.592396989739,Shepherd,4,4.6125,4.08640392714
50,Shepherd_test11,10,14.9928238392,"s, don, get, want, t, god, commit, ask, christ, ill, jesus, preach, said, say, let",0.0292210804447,0.0213215551619,0.7,0.3,151.1,0.564844316622,0.585580390084,0.590333769843,Shepherd,4,4.00909090909,3.96614812211
56,Shepherd_test18,10,16.226444006,"s, christ, get, don, god, want, ask, know, t, said, say, ill, go, evil, spirit",0.0343322522807,0.0226238944875,0.9,0.1,168.4,0.594693575094,0.610391770571,0.586411976326,Shepherd,4,4.0,3.91991513615
59,Shepherd_test7,10,15.9085350037,"christ, s, pray, get, sin, don, ask, want, ill, t, know, said, love, prayer, i",0.0328735566923,0.0225284612194,0.8,0.2,179.1,0.640105023586,0.579750894779,0.562315952167,Shepherd,4,4.8,4.02749368108
64,Shepherd_test17,10,15.2494339943,"s, pray, want, don, get, ask, t, christ, prayer, i, will, said, too, know, ill",0.0324695426463,0.0189236047159,0.9,0.1,173.0,0.611511575284,0.63719069457,0.625081546149,Shepherd,4,4.00909090909,4.15176501111
67,Shepherd_test2,10,15.9209661484,"s, don, ask, god, get, said, t, ill, christ, love, whi, know, thing, thank, sin",0.028523912518,0.0255388311882,0.4,0.6,162.3,0.576611918209,0.629297109745,0.698213171898,Shepherd,4,2.8,2.81517894451
71,Shepherd_test12,10,16.4501760006,"s, get, don, ill, christ, want, prais, god, t, thank, said, i, thing, job, know",0.0328701370595,0.0243712433876,0.8,0.2,169.6,0.583871622673,0.61555394032,0.640095382186,Shepherd,4,4.0,3.99952528991
72,Shepherd_test5,10,14.2721090317,"s, don, get, ask, lord, know, god, said, whi, t, judg, christ, rememb, want, thing",0.0285511760311,0.0190058745387,1.0,0.0,151.3,0.625530943562,0.559714242632,0.532070372431,Shepherd,4,5.5,3.89104358194
73,DorothyDay_test8,10,12.319868803,"worker, get, want, am, too, farm, fr, love, go, talk, say, maurin, peter, i, reader",0.0285356692708,0.018699200747,0.9,0.1,73.9,0.72329357779,0.708318549848,0.644805916762,DorothyDay,4,4.05961360883,4.40752210726
75,DorothyDay_test13,10,14.9435658455,"get, negro, worker, night, i, room, go, too, am, talk, teresa, street, tell, want, dont",0.0249109429431,0.0196510552331,0.7,0.3,90.2,0.725293064172,0.749329005312,0.702144464459,DorothyDay,4,4.04328707822,4.2033294938
76,DorothyDay_test3,10,13.7482688427,"worker, get, too, love, tri, bed, room, sleep, say, am, go, feel, ask, want, let",0.0279269392317,0.0190488750451,0.8,0.2,87.9,0.727623834637,0.725958285979,0.754688581717,DorothyDay,4,4.44328707822,4.09432656266
88,DorothyDay_test23,10,10.1344909668,"worker, priest, labor, get, fr, prayer, christ, talk, rememb, too, bishop, say, duffi, i, steel",0.0281556217179,0.0187539708292,0.9,0.1,57.6,0.71033226629,0.714065299443,0.655345546434,DorothyDay,4,4.05961360883,4.31649119673
89,DorothyDay_test16,10,13.60592103,"worker, get, too, priest, picket, go, room, rememb, talk, hour, say, prayer, morn, pray, tamar",0.0243376121662,0.0318122324782,0.5,0.5,72.4,0.676782658382,0.748543564653,0.64480112971,DorothyDay,4,2.9,2.82273195223
90,DorothyDay_test6,10,9.85072588921,"worker, poverti, ask, too, say, fr, peter, shall, get, thank, love, thing, hospit, priest, christma",0.0294474283003,0.0228769575422,0.9,0.1,51.4,0.644830401501,0.75332361477,0.606859339098,DorothyDay,4,3.73419616913,4.13789532177
91,DorothyDay_test11,10,10.7916500568,"worker, get, peter, say, christ, too, poverti, love, ask, talk, thing, let, cloth, tri, read",0.0284439358106,0.0224235370854,0.6,0.4,66.3,0.69596562437,0.714524073423,0.554904892239,DorothyDay,4,4.3464131107,4.17748973427
92,DorothyDay_test1,10,11.8354840279,"we, my, room, get, our, me, helen, too, worker, you, go, tri, pay, door, i",0.0248815761448,0.0210411820415,0.6,0.4,64.0,0.678090059634,0.778333997381,0.81562322931,DorothyDay,4,4.10086283579,4.20158933881
93,DorothyDay_test18,10,14.2190568447,"worker, get, talk, too, night, go, morn, tri, say, let, labor, stay, want, know, street",0.0271785929906,0.0190172065859,0.9,0.1,83.5,0.754401786451,0.704174530202,0.768616870605,DorothyDay,4,4.49052269974,4.241016571
103,DorothyDay_test21,10,16.9191110134,"worker, room, get, too, babi, told, go, fr, i, ask, priest, am, night, tri, look",0.0214676812741,0.0179475465134,0.7,0.3,92.6,0.711513372118,0.763211098156,0.767803436863,DorothyDay,4,4.30086283579,4.51635582017
104,DorothyDay_test14,10,10.8859300613,"worker, fr, peter, tri, get, go, paper, parish, priest, happi, am, farm, i, too, hospit",0.0245458059588,0.0173406190636,0.7,0.3,64.2,0.703415793465,0.697936853453,0.748849572483,DorothyDay,4,4.70052269974,4.02453820354
105,DorothyDay_test4,10,18.4407091141,"car, get, worker, fr, prayer, too, room, go, talk, ask, street, pray, i, morn, want",0.0228520534138,0.0166981650061,0.8,0.2,102.8,0.738402308581,0.713578517153,0.651699905318,DorothyDay,4,4.30052269974,4.53783639347
115,DorothyDay_test12,10,10.6618480682,"worker, farm, rememb, too, get, talk, room, maurin, love, go, hospit, night, say, i, tri",0.0213744266904,0.0186999338796,0.6,0.4,57.8,0.701392033683,0.712034100373,0.726550700324,DorothyDay,4,4.05961360883,4.62447485247
116,DorothyDay_test2,10,13.6613719463,"worker, talk, get, farm, labor, say, too, go, am, priest, room, night, maurin, i, stay",0.0248858885473,0.0169920284504,0.9,0.1,74.2,0.676256378933,0.763081894753,0.801963940323,DorothyDay,4,4.1417719267,3.85270093154
125,DorothyDay_test9,10,10.7813341618,"worker, get, labor, talk, unemploy, room, christ, love, hour, night, go, i, maurin, cloth, tri",0.0254476287399,0.0192920508023,0.8,0.2,64.5,0.708084681301,0.759966818366,0.634053593318,DorothyDay,4,4.10086283579,3.97564668315
126,DorothyDay_test10,10,11.7189002037,"worker, am, ammon, love, pray, too, prayer, i, get, go, ask, feel, tri, say, know",0.0289649495673,0.0222251592032,0.8,0.2,70.1,0.774503270616,0.681364212458,0.608601923909,DorothyDay,4,6.6,4.51046547329
127,DorothyDay_test0,10,13.564289093,"worker, priest, labor, too, christ, get, tri, know, i, love, am, farm, hear, sin, strike",0.0280864740883,0.0226770988938,0.7,0.3,82.5,0.709795481489,0.752241762091,0.689940052127,DorothyDay,4,4.03419616913,3.84449080025
131,DorothyDay_test22,10,9.11336994171,"too, worker, get, room, ask, am, christ, go, love, told, talk, farm, dolci, labor, mind",0.0266421408217,0.020694952929,0.7,0.3,54.0,0.714704971537,0.742072453697,0.764037911786,DorothyDay,4,4.04328707822,4.16353571199
132,DorothyDay_test17,10,11.9086430073,"get, retreat, worker, room, farm, talk, want, maurin, go, love, too, answer, thing, am, ask",0.0251886965503,0.0193939042149,0.7,0.3,62.4,0.699541058952,0.729743924055,0.680890955238,DorothyDay,4,4.04328707822,4.02011569589
133,DorothyDay_test7,10,12.4232251644,"worker, prison, farm, room, too, get, talk, simon, am, want, go, i, fr, priest, labor",0.0248211325335,0.0184548974438,0.7,0.3,72.9,0.713421245667,0.68113451435,0.68001446228,DorothyDay,4,4.05961360883,4.05944998347
136,DorothyDay_test19,10,9.66531205177,"worker, joy, priest, strike, too, tri, felt, christma, feel, love, want, babi, room, i, know",0.0267300103041,0.0261577669424,0.5,0.5,64.8,0.66601916564,0.735517382389,0.597320857243,DorothyDay,4,4.20909090909,3.14318424923
142,DorothyDay_test20,10,10.5456888676,"get, room, night, farm, bus, too, fr, trip, am, go, car, retreat, worker, hard, kitchen",0.0260332856868,0.0178784251428,0.8,0.2,65.1,0.692577141688,0.778814833029,0.627253069815,DorothyDay,4,4.10086283579,3.83740731798
143,DorothyDay_test15,10,10.5337400436,"room, worker, love, farm, go, too, bed, joy, tri, get, tamar, tell, floor, retreat, night",0.0305836180116,0.0206541279654,1.0,0.0,65.6,0.725040208085,0.758056247932,0.707547351656,DorothyDay,4,5.21320049813,5.21354821626
144,DorothyDay_test5,10,14.0515701771,"worker, room, get, hospit, peter, too, tri, night, paper, go, cathol, maurin, talk, dont, say",0.0250340041474,0.0175931142834,0.9,0.1,87.9,0.735929408906,0.753533542361,0.729469305702,DorothyDay,4,4.48419616913,4.1185440984
153,Unitarian_test6,10,21.232847929,"unitarian, disappoint, s, nt, say, congreg, i, know, want, bread, am, love, silenc, think, talk",0.027201485959,0.023316636336,0.8,0.2,137.5,0.686644015719,0.693248618974,0.664329159238,Unitarian,7,6.03268101761,4.3586584712
156,Unitarian_test3,10,20.5439019203,"courag, depress, i, love, know, say, am, dont, violenc, joy, unitarian, silenc, cult, someth, garden",0.0318505413311,0.0293032116123,0.5,0.5,136.1,0.658670938379,0.685919894773,0.600695002592,Unitarian,7,3.7,3.76547226595
158,Unitarian_test4,10,24.2403190136,"am, know, i, feel, get, want, say, door, silenc, dont, frustrat, let, love, realli, think",0.0300739087411,0.0203231183371,1.0,0.0,158.3,0.648152473658,0.642658577174,0.586305389009,Unitarian,7,5.3125,4.70333459743
161,Unitarian_test5,10,19.0348501205,"s, nt, hope, let, love, unitarian, i, know, silenc, get, universalist, want, say, feel, am",0.03006764557,0.0207050206815,0.9,0.1,136.4,0.735832199859,0.663154748779,0.591289062978,Unitarian,7,6.3417719267,4.73833591037
