,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
2,PastorAnderson_test5,1,14.357624054,"s, re, say, naked, dress, bibl, wear, go, breastfeed, cloth, don, woman, thigh, modest, ve, t, talk, get, kid, breastfe",0.0190393768931,0.00973604500216,1.0,0.0,0.209746588694,0.0284600389864,0.379727095517,0.0160825039665,0.0276215202654,0.0215635367085,0.0124044425213,0.00555315159383,0.00389441800087,0.0211308235973,0.738750851442,0.690743325786,PastorAnderson,2,4.2,3.23925234309
8,PastorAnderson_test7,1,7.38212394714,"re, heartili, s, say, job, don, do, dilig, unto, get, go, whatev, vers, done, heart, husband, els, want, realli, thing",0.0230456394035,0.0129537580961,1.0,0.0,0.578189300412,0.0699588477366,0.685185185185,0.0185268865793,0.0478987799367,0.0230456394035,0.0115981322488,0.00677812923633,0.000602500376563,0.0284681427926,0.669349791259,0.623796802535,PastorAnderson,2,5.38464912281,2.86928386287
14,PastorAnderson_test1,1,10.7004361153,"s, re, nt, say, get, circumcis, vers, go, save, chapter, whi, gentil, christ, thing, unto, flesh, want, sin, guy, talk",0.0211086999408,0.0189386466759,1.0,0.0,0.687382297552,0.133709981168,0.821092278719,0.0165713158414,0.0151903728546,0.0199250345236,0.0208127835865,0.0222923653581,0.0,0.0151903728546,0.689621287363,0.722693345776,PastorAnderson,2,2.83742203742,1.83347600181
15,PastorAnderson_test11,1,14.1935498714,"nt, husband, re, s, say, want, get, spous, marriag, go, let, thing, do, tell, wife, bibl, unto, ve, lot, sin",0.0295532646048,0.0233676975945,1.0,0.0,0.674250258532,0.0703205791107,0.827300930714,0.0100038182512,0.0518518518519,0.0272623138603,0.0141275295914,0.0146620847652,0.00595647193585,0.0177930507827,0.675651453898,0.610207974411,PastorAnderson,2,3.40306306306,2.06924764963
17,PastorAnderson_test8,1,10.8300480843,"s, tongu, re, say, get, let, vers, preach, go, talk, bibl, gospel, speak, stammer, unto, look, hear, chapter, whi, got",0.0175372784395,0.012379255369,1.0,0.0,0.181483429774,0.0331404523935,0.323513940032,0.0118165619432,0.0192253587171,0.0115352152302,0.0150989402607,0.0137859889337,0.00112538685173,0.0184751008159,0.691597175406,0.693847895574,PastorAnderson,2,2.59375,3.15058493865
22,PastorAnderson_test4,1,8.78234982491,"s, tribul, say, re, vers, christ, hell, bibl, jesus, save, go, lord, chapter, nt, glori, god, obey, thessalonian, gospel, shall",0.03666184274,0.0207428847082,1.0,0.0,0.732193732194,0.150997150997,0.811965811966,0.0243608297154,0.0217076700434,0.00747708634829,0.0147129763628,0.0188133140376,0.0,0.0174867342016,0.649761572531,0.784072022714,PastorAnderson,2,3.01650793651,2.86243898671
23,PastorAnderson_test14,1,14.7321078777,"re, nt, s, say, tell, talk, ve, know, tongu, go, bibl, sin, lot, thing, proverb, want, ll, let, get, realli",0.0196988080794,0.0296195846121,0.0,1.0,0.386026817219,0.0592801693719,0.54128440367,0.0146313610734,0.0307615445007,0.0327599743059,0.015559203483,0.00813646420669,0.00164156733995,0.0213403754193,0.711348553272,0.57868401013,PastorAnderson,2,2.75714285714,3.79678366653
24,PastorAnderson_test3,1,6.6052749157,"get, re, s, nt, fight, go, unto, say, bibl, christ, wisdom, need, ye, vers, god, content, thing, know, preach, pastor",0.0261005742126,0.0167043674961,1.0,0.0,0.755033557047,0.137583892617,0.848993288591,0.0182704019488,0.0408908995998,0.0203584478859,0.0128762832782,0.00609013398295,0.0,0.0149643292152,0.650330232919,0.772361384341,PastorAnderson,2,4.97121212121,2.19721476835
25,PastorAnderson_test13,1,10.2729589939,"re, s, say, redeem, bottl, cast, redempt, get, bad, bibl, gather, go, trash, don, save, vers, parabl, righteous, away, unto",0.0317131308944,0.0219711887242,1.0,0.0,0.197222222222,0.0211111111111,0.396111111111,0.0355477251529,0.0148201886206,0.00953466680485,0.0175147683698,0.0235257539641,0.000829101461291,0.0196911597057,0.674556708857,0.619822864032,PastorAnderson,2,3.48399390244,3.36738478182
33,PastorAnderson_test6,1,11.786853075,"nt, s, sin, get, re, say, let, go, fornic, sorrow, forgiv, save, wrong, bibl, ve, ye, talk, repent, thing, somebodi",0.0199876728009,0.0415602711984,0.0,1.0,0.626198083067,0.134185303514,0.746006389776,0.0121510962402,0.0235977811042,0.0219248040856,0.0188430043145,0.0167297701858,0.000616359954213,0.0175222329841,0.681601242477,0.645382889086,PastorAnderson,2,1.92972972973,1.36176818426
