,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,61.0436518192,"s, christ, preacher, get, ill, ask, want, god, said, devil, satan, don, know, thing, say, job, t, i, do, too",0.0325508051576,0.0253808409155,0.7,0.3,0.0812912476387,0.651891176999,0.0241303451121,0.0173930977588,0.0222741647188,0.00807782208167,0.0260896466383,0.00415921902929,0.0107589715386,0.656494758127,0.577571716127,Shepherd,4,4.0,4.09734278878
5,Shepherd_test9,10,51.9163479805,"s, god, know, ill, get, say, want, sin, don, pay, widow, let, rememb, christ, said, ask, t, whi, troubl, i",0.0309727026034,0.0279709767267,0.6,0.4,0.0775199144371,0.609214334053,0.0190847204187,0.0172352732853,0.0231377641365,0.00889308621572,0.0244363121237,0.00444654310786,0.0123558808484,0.651269857451,0.644773070854,Shepherd,4,4.0,4.09485678777
6,Shepherd_test21,10,58.4558680058,"s, get, don, want, said, christ, god, t, sin, ill, ask, jesus, say, thing, let, thank, go, church, know, whi",0.0297504088295,0.022835257339,0.7,0.3,0.093464164527,0.630511487205,0.0201172629288,0.01316574799,0.0192044377348,0.0124986834252,0.024611171576,0.00544184250255,0.0120071621669,0.650097670751,0.583092503222,Shepherd,4,4.0,3.91059640361
7,Shepherd_test0,10,63.9205701351,"s, let, don, want, christ, ill, rememb, pray, said, love, get, look, worship, god, thing, t, say, i, ask, whi",0.0314279303853,0.0226830767429,0.6,0.4,0.0770923362316,0.627066421963,0.022675887751,0.0214456709669,0.0255353105466,0.0108392073414,0.0222436494215,0.00571884559117,0.0115706875914,0.666064984912,0.676702965931,Shepherd,4,4.0,4.03857309159
10,Shepherd_test10,10,61.4907319546,"s, don, christ, get, want, t, know, god, ill, i, sin, lose, ask, said, whi, jesus, pray, thing, ve, preach",0.0324121884013,0.0231306800834,0.8,0.2,0.0642465501644,0.621465871012,0.0207004774465,0.0186304297018,0.0268772328136,0.0115855897967,0.0207338653133,0.00510834362793,0.013722413275,0.701844904469,0.562821700151,Shepherd,4,4.3,4.1087969817
15,Shepherd_test20,10,62.3958640099,"s, christ, get, don, ask, know, ill, let, said, trust, thing, thank, god, i, lord, t, love, go, say, want",0.0365267083768,0.0218086917248,1.0,0.0,0.0556167803037,0.588940039625,0.0250393859149,0.0179331612644,0.0268829819328,0.00868166124761,0.0235309891731,0.00707270472296,0.0122012536453,0.676615974657,0.654212155681,Shepherd,4,4.3,3.89324820902
16,Shepherd_test6,10,54.2689199448,"s, get, want, sin, don, preacher, christ, t, say, said, ill, god, listen, rememb, go, know, preach, ask, bad, spirit",0.0300626697378,0.0242343054757,0.6,0.4,0.0707607515317,0.610921569138,0.0208603462741,0.0163221722218,0.0212035695218,0.0122034932499,0.0252078407444,0.00602547479216,0.00995347418198,0.629823305118,0.616345748854,Shepherd,4,4.0,4.08792371574
21,Shepherd_test16,10,56.6851308346,"s, god, christ, ask, know, want, lord, ill, don, said, get, got, t, car, wisdom, bless, say, i, elisha, talk",0.0332231650414,0.0212459452878,0.9,0.1,0.0625853667565,0.601664221936,0.0213065257668,0.0180127633294,0.0218897961984,0.00919508680436,0.0254923488643,0.00514650380841,0.00964111713443,0.645929498504,0.625845647564,Shepherd,4,4.0,3.89703219346
23,Shepherd_test19,10,59.8399100304,"s, christ, god, don, grace, jesus, ask, happen, want, pray, know, sin, get, said, t, ill, spirit, i, rememb, am",0.031040941792,0.0267234233484,0.7,0.3,0.068540298047,0.551140680691,0.0174530905077,0.0137279249448,0.0212817328918,0.0078642384106,0.0274558498896,0.0034837196468,0.0106926048565,0.669711983931,0.658557696542,Shepherd,4,4.0,4.03576503715
30,Shepherd_test14,10,51.4928050041,"s, christ, don, want, jesus, t, ill, get, know, bad, said, god, walk, rememb, didn, ask, happen, thing, encourag, better",0.0299769859466,0.0223064367387,0.8,0.2,0.0427965869405,0.578647469085,0.0231486601054,0.0155921707398,0.0208632828339,0.00998931033212,0.0285672158944,0.00541855578901,0.012090382985,0.659331712699,0.675272488771,Shepherd,4,4.0,3.80976273533
