,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,DorothyDay_test0,10,14.7287828922,"worker, maurin, farm, room, get, reader, silon, too, know, peasant, hospit, cathol, say, strike, priest, let, commune, peter, done, ddlw",0.0256759268404,0.0214544462786,0.8,0.2,0.294501871132,0.685665484461,0.0206850533808,0.00163107947805,0.0157918149466,0.0115658362989,0.0149762752076,0.00311387900356,0.0105278766311,0.763432743946,0.667632639032,DorothyDay,4,5.01333333333,4,5.45019624627,4
3,DorothyDay_test1,10,22.1089348793,"worker, talk, get, too, pay, love, strike, poverti, farm, hour, ask, grape, know, grower, say, priest, will, put, paid, cesar",0.0250132741486,0.0190452301067,0.8,0.2,0.258870106303,0.673976433135,0.0154694514933,0.00385516299044,0.0167382393129,0.0151278547726,0.0108334959984,0.00487995315245,0.00941830958423,0.701243281354,0.686854935084,DorothyDay,4,3.03666666667,6,5.80072852814,4
6,PastorAnderson_test0,10,112.869548082,"say, bibl, get, vers, unto, shall, save, know, let, talk, chapter, whi, look, thing, want, christ, spirit, tell, preach, god",0.0226809925725,0.0187264615731,0.8,0.2,0.346061162802,0.621837812206,0.0145539262711,0.0252249783016,0.0192773285825,0.017386140423,0.015421862866,0.000977570691152,0.0179525832534,0.704787729709,0.635486432826,PastorAnderson,2,2.28333333333,2,2.10180760595,2
7,PastorAnderson_test1,10,115.264456987,"say, get, repent, sin, bibl, save, let, vers, know, want, unto, talk, look, tell, christ, preach, thing, whi, god, okay",0.0259102619931,0.0227516189579,0.8,0.2,0.388233727662,0.657850315189,0.012514086299,0.0302628230761,0.0193118615726,0.0193936529863,0.0160492929587,0.00104511250863,0.0170307899233,0.724909285263,0.766183825602,PastorAnderson,2,2.24333333333,2,2.32280645056,2
10,SeaShepherds_test0,10,7.11597514153,"whale, shepherd, illeg, save, costa, greenpeac, rican, vessel, seal, coco, crew, shark, whaler, net, turtl, poacher, galapago, stop, gift, arrest",0.0211177344225,0.035624597152,0.3,0.7,0.387795639287,0.671773064694,0.0219331417335,0.00710936318257,0.0108909393435,0.0140674633187,0.000453789139313,0.000907578278627,0.00484041748601,0.748738773543,0.733754365089,SeaShepherds,2,3.82333333333,6,2.80054800152,2
13,Bahai_test0,10,7.27095103264,"thi, baha'i, thou, abdu'lbaha, spirit, prejudic, thee, baha'u'llah, color, opinion, divin, skin, tree, heaven, god, will, sex, women, equal, adam",0.0295595636079,0.0175854569577,0.7,0.3,0.385847111957,0.581174775136,0.0149474618914,0.00414385082137,0.00932366434808,0.0090276750037,0.00784371762617,0.00118395737753,0.00591978688767,0.674419847842,0.591682463657,Bahai,6,5.01,6,5.126867606,6
16,Bahai_test1,10,7.65742301941,"baha'i, abdu'lbaha, sick, evil, heal, want, baha'u'llah, spiritu, kind, skin, marriag, prejudic, cure, talk, realiti, virus, will, nerv, excit, afflict",0.0310576421879,0.0283715139931,0.7,0.3,0.262337098575,0.517668702227,0.0074173971679,0.0103843560351,0.00175320296696,0.009979770735,0.00876601483479,0.0,0.00917060013486,0.722518068799,0.732490498174,Bahai,6,5.65333333333,6,4.56370482841,6
17,JohnPiper_test0,10,29.1119098663,"vers, god, christ, worship, say, love, sin, whi, let, jesus, wonder, want, perfect, thing, will, risk, know, bethlehem, sacrific, answer",0.0312697735715,0.0239758117601,0.8,0.2,0.441757030813,0.670652039018,0.0180513112074,0.0183711179021,0.0132542107881,0.0058631227347,0.0201833558382,0.0005330111577,0.0108378935399,0.703602054125,0.69989635032,JohnPiper,4,4.68666666667,4,4.07600848328,4
21,JohnPiper_test1,10,27.3284809589,"christ, vers, god, say, hope, fear, sin, exult, fill, let, elder, jesus, glori, thing, mose, boast, grace, resurrect, promis, faith",0.0307383296844,0.0270742177491,0.6,0.4,0.394583410314,0.644524669066,0.0181893656364,0.015849654704,0.0104154873769,0.00981169100721,0.0227555756821,0.00120759273935,0.0121514019397,0.730236400697,0.62937039442,JohnPiper,4,4.80666666667,4,2.99549982246,4
24,NaumanKhan_test1,10,53.6156740189,"allah, don't, know, get, say, quran, talk, quot, apo, want, thing, someth, tell, guy, gon, you'r, whi, happen, deen, surah",0.0188451942858,0.0176322226388,0.7,0.3,0.410541623521,0.727053626407,0.0129432920709,0.0378889260622,0.0161634325861,0.0181080628973,0.0161007025761,0.00112914018066,0.0170834727334,0.616198821213,0.527713277439,NaumanKhan,3,2.72333333333,3,2.89305774644,3
