,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,16.6894009113,"we, you, my, me, s, your, christ, god, our, get, sin, grace, preach, don, whi, evil, i, said, want, ill",0.0324505624727,0.0245571429229,0.7,0.3,0.0630351755984,0.622622191347,0.664008162449,0.601434466426,Shepherd,4,4.0,4.1776769381
4,Shepherd_test9,10,14.1228969097,"we, you, s, your, my, me, worship, pray, get, don, ask, love, heaven, christ, t, our, merci, god, evil, lord",0.0342875105451,0.0214088688198,0.9,0.1,0.069740158094,0.612210091508,0.662892627363,0.581334741621,Shepherd,4,4.0,4.06629871861
5,Shepherd_test21,10,14.8309838772,"you, we, your, my, me, s, christ, ask, get, worship, bless, god, said, our, don, ill, want, hope, will, know",0.0317480870209,0.0232595013748,0.8,0.2,0.091062267421,0.631523884242,0.671773950761,0.643884297002,Shepherd,4,4.3,4.59997408875
6,Shepherd_test0,10,14.0575959682,"we, you, me, your, s, my, sin, bless, want, god, don, our, get, t, elder, preacher, ask, say, said, ill",0.0349788640637,0.0213248584583,0.8,0.2,0.0564420642472,0.578474534188,0.64073510037,0.639783849923,Shepherd,4,4.0,4.01094736481
9,Shepherd_test10,10,15.5780220032,"you, we, my, your, s, me, get, want, don, pray, t, our, christ, bad, job, ask, god, know, lord, thing",0.0336947829533,0.0254626610141,0.6,0.4,0.0674032221473,0.607071452909,0.663188531836,0.700012056022,Shepherd,4,4.0,3.87989186974
15,Shepherd_test20,10,14.7778499126,"you, we, your, s, my, me, pray, get, don, our, prayer, christ, ill, ask, t, said, god, want, heaven, re",0.0331299847386,0.0200589239107,0.8,0.2,0.0503555265071,0.580845084352,0.674600587974,0.588959593908,Shepherd,4,4.0,3.93042986447
16,Shepherd_test6,10,15.8838000298,"we, you, your, s, my, me, don, get, sin, ask, christ, our, knock, t, said, door, know, bless, say, i",0.0322402536664,0.027636332943,0.7,0.3,0.090062773923,0.634193442715,0.653884353976,0.622162095722,Shepherd,4,4.0,4.34348819445
21,Shepherd_test16,10,14.8620109558,"we, you, me, my, s, your, love, grace, get, our, judg, christ, god, sin, want, ill, don, got, i, said",0.0336706482473,0.0243669557318,0.8,0.2,0.0699398586245,0.644607289084,0.685928484615,0.675317594139,Shepherd,4,3.7,4.17702644145
23,Shepherd_test19,10,14.5853149891,"you, we, your, my, me, s, christ, love, get, don, ask, preach, our, god, said, t, say, want, ill, disagr",0.0322407380211,0.0210930392333,0.7,0.3,0.0836365966153,0.635779200306,0.637582261552,0.737625158154,Shepherd,4,3.5,3.77932289069
30,Shepherd_test14,10,14.8037729263,"you, we, your, s, my, me, get, rememb, want, our, christ, god, wisdom, said, love, t, i, ask, ill, don",0.0333466463527,0.0216935827548,0.9,0.1,0.0786325173705,0.63564147099,0.648785137496,0.716257613399,Shepherd,4,3.6,4.19305351408
31,Shepherd_test4,10,14.9313762188,"we, you, your, s, me, my, don, get, christ, want, t, ill, our, ask, know, said, bless, someth, go, too",0.0288528242929,0.0232391300053,0.6,0.4,0.0508536091276,0.590049538055,0.715684188125,0.686400507962,Shepherd,4,4.0,3.17282827205
