,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,27.2201588154,"we, you, s, my, me, your, get, don, ask, t, want, our, said, pray, go, know, christ, disagr, let, ill",0.0334699597403,0.0200281301233,0.9,0.1,0.561858166445,0.675077267232,0.527400835894,Shepherd,4,4.3,4.05888509183
4,Shepherd_test9,10,25.6794550419,"you, we, my, s, your, me, preach, don, get, know, god, want, said, ill, our, christ, t, ask, whi, go",0.0284206139927,0.0190579385948,1.0,0.0,0.576559253742,0.707610996701,0.698250894051,Shepherd,4,4.21528888889,3.15688611184
5,Shepherd_test0,10,22.4959528446,"you, we, my, me, s, your, get, walk, preacher, want, god, don, ask, sin, ill, christ, trust, evil, t, worship",0.0356682826181,0.0247220528494,0.7,0.3,0.649771286353,0.645445104158,0.525290889637,Shepherd,4,5.25397727273,3.75084044716
8,Shepherd_test10,10,22.432546854,"you, we, your, me, get, s, my, love, don, our, ask, christ, sin, mind, said, say, t, wisdom, ill, god",0.034979599884,0.0190687830722,1.0,0.0,0.596653626081,0.69266905131,0.748901217872,Shepherd,4,4.11528888889,3.49862064634
14,Shepherd_test20,10,26.2237610817,"you, we, your, s, me, get, christ, don, my, know, ask, sin, spirit, ill, judg, our, god, t, fear, say",0.0285859862843,0.0237505438049,0.7,0.3,0.587151860409,0.622268024822,0.680204282518,Shepherd,4,3.81925714286,4.17546233078
15,Shepherd_test6,10,25.059566021,"you, we, s, your, don, my, want, me, get, christ, our, t, preacher, god, ask, jesus, lord, know, said, love",0.0322270273628,0.0202666022542,0.9,0.1,0.59604729225,0.677030595709,0.655925558387,Shepherd,4,4.0264,3.89530927548
20,Shepherd_test16,10,25.1063699722,"we, you, my, your, s, me, get, don, sin, grace, christ, ask, know, god, our, said, let, t, ill, want",0.0341278964233,0.0256290954812,0.7,0.3,0.632115918767,0.666934076531,0.65857817554,Shepherd,4,4.0264,4.06608837159
22,Shepherd_test19,10,24.8179500103,"you, we, your, me, my, s, sin, get, our, god, christ, say, ill, bless, ask, whi, know, walk, someon, i",0.0338067583456,0.0279797954257,0.6,0.4,0.655570488651,0.697493523528,0.695212305598,Shepherd,4,4.3,3.11103609128
29,Shepherd_test14,10,24.7852818966,"you, we, s, your, my, me, don, get, want, preach, christ, preacher, know, god, ill, ask, our, t, lord, i",0.0331689406862,0.0212352286604,0.9,0.1,0.636706503089,0.651149520257,0.604061726637,Shepherd,4,4.18037727273,4.12725461885
30,Shepherd_test4,10,25.7358028889,"you, we, your, s, me, my, don, get, christ, want, our, ill, devil, sin, said, love, know, thing, t, satan",0.028799538871,0.0277406455703,0.4,0.6,0.63538342321,0.692039931517,0.606995531939,Shepherd,4,3.52272727273,2.97829031662
