,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,ISIS_test2,5,25.6837730408,"allah, ibn, wa, jihād, prophet, rahimahullāh, sallam, alayhi, sallallāhu, abandon, hypocrisi, hypocrit, said, faction, murji'ah, kufr, irjā, ﻿, messeng, oblig, ignor, say, “the, ahmad, prayer, muhammad, numah, bid'ah, nūh, īmān",0.0174403041338,0.0248359024991,0.2,0.8,0.376984156714,0.251147026707,0.643657185154,0.00387176707449,0.0083630168809,0.00485261473336,0.0247276857158,0.0189458468845,0.0,0.0099117237107,0.774003366969,0.70758587548,ISIS,1,1.0,0.557698877892
3,ISIS_test1,5,21.0417759418,"allah, ribāt, ibn, jihād, regim, camp, wa, faction, alayhi, sallallāhu, sallam, ﻿, prophet, abū, shām, yarmūk, said, khilāfah, dimashq, aknāf, mujāhidīn, messeng, apost, dābiq, muslim, will, āl, inde, islam, sinai",0.0191735979958,0.0229994912087,0.6,0.4,0.457003557224,0.28456948598,0.697416899526,0.00621755015704,0.00948657137363,0.00224344593295,0.0176270751875,0.0160246138068,0.000448689186591,0.0100634574707,0.780692141576,0.685774570285,ISIS,1,1.4,3.55885947947
6,ISIS_test0,5,17.9767780304,"allah, wa, alayhi, sallam, ibn, messeng, inde, sallallāhu, imamah, abū, said, ask, ﻿, advic, ibrahim, path, fear, jihād, muslim, ta'ālā, whoever, enemi, imam, tunisia, dabiq, prophet, millah, obey, brother, will",0.0155780237658,0.0259135345888,0.0,1.0,0.570048295405,0.165434237745,0.808867265502,0.00811520407351,0.0179807462805,0.00755827830376,0.0128888535285,0.0252207812873,0.001272973188,0.0138435834195,0.752358692533,0.671112760944,ISIS,1,4.8,2.42316984477
14,Shepherd_test0,5,19.5495650768,"s, get, thank, love, don, ask, mom, t, christ, jesus, want, everyth, god, said, i, am, bless, go, lord, preach, got, didn, know, thing, listen, preacher, cooki, think, look, ill",0.0365561971078,0.0166708665289,1.0,0.0,0.381812078339,0.0463971511792,0.579040405473,0.0222362958272,0.017099430019,0.0249806487932,0.0090071071705,0.0159031735979,0.00781085074942,0.0130884526071,0.653305310024,0.669772542135,Shepherd,4,5.0,4.94621281055
17,Shepherd_test1,5,18.8081068993,"s, thank, get, don, bad, bless, t, said, ill, grace, want, ask, thing, know, good, christma, god, lord, will, jesus, didn, walk, look, let, someth, i, happen, say, ve, got",0.0359701986593,0.0254512090017,1.0,0.0,0.355335210906,0.0576677529079,0.566006553625,0.0219238355333,0.0175997572447,0.0215445304203,0.00971021089364,0.0245789713245,0.00599302078592,0.0139584281596,0.662747072543,0.644729905276,Shepherd,4,4.0,3.89958993096
19,Shepherd_test2,5,20.410793066,"s, get, don, christ, sin, know, want, t, thing, ask, foolish, merci, ill, love, remind, said, pattern, go, god, i, say, wrong, heaven, barrel, redeem, do, didn, rememb, scriptur, tri",0.0356111032002,0.0230922376458,1.0,0.0,0.382787266356,0.054818687124,0.552880565524,0.0160683071131,0.0175473981444,0.0223880597015,0.0125050423558,0.0208417372596,0.00658867823047,0.0132445878715,0.683605541582,0.67131884463,Shepherd,4,4.2,4.1038883852
20,Ghandi_test0,5,27.2534410954,"div, href, class, meta, svg, td, li, https, numlnum, id, rel, button, content, numcnum, width, viewbox, mnum, fillrul, octicon, ariahidden, evenodd, path, tr, arialabel, datagaclick, span, itemprop, numzmnum, height, numhnumcnum",0.00850292927878,0.00665653061744,0.6,0.4,0.169031274127,0.199543437905,0.647681038545,0.00198527587063,0.0037637521714,0.011580775912,0.00397055174125,0.00198527587063,0.000661758623542,0.00450823062288,0.606976836351,0.590807249054,Ghandi,1,3.8,2.32813231181
26,MehrBaba_test2,5,11.8804590702,"perfect, baba, love, pure, shri, know, truth, janabai, s, conscious, realiz, master, joy, mind, feel, inner, spiritu, want, meher, divin, awaken, happi, say, fulfil, namdev, real, will, shall, blind, am",0.0456982192452,0.01945612321,1.0,0.0,0.450093277311,0.14945070028,0.669103641457,0.0113662195954,0.00545578540577,0.00807001591271,0.00943396226415,0.019549897704,0.00602409638554,0.0142077744942,0.785094592935,0.792676218111,MehrBaba,8,6.4,6.32874032152
28,MehrBaba_test1,5,8.04606199265,"imperson, realiz, imper, bahinabai, self, mind, shall, real, reaction, calf, i, master, pure, spiritu, oneini, meher, tukaram, baba, devot, im, ratnakar, brahmin, princess, truth, husband, matchabelli, indivis, am, feel, conscious",0.0372417693241,0.0162287879417,0.8,0.2,0.522008623674,0.133688736418,0.720821749424,0.0116384797236,0.00254591743953,0.0361883978905,0.0076377523186,0.0156392071286,0.017094017094,0.013093289689,0.725333460316,0.751950417511,MehrBaba,8,5.9,4.93073446976
31,MehrBaba_test0,5,7.61697602272,"infinit, mind, plane, baba, realiz, shall, suffer, truth, master, meher, know, grace, reaction, ignor, bliss, smell, happi, farid, divin, real, feel, unselfish, experi, conscious, shri, sight, pure, s, am, resign",0.0317112158766,0.023379748637,0.6,0.4,0.448026247795,0.151072870758,0.691545873659,0.0214190093708,0.00917957544464,0.0166379804934,0.00344234079174,0.0225664563014,0.0,0.0175941862689,0.702341061592,0.66963640625,MehrBaba,8,5.3,5.41473380737
