,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,25.000136137,"s, christ, get, sin, ask, god, love, ill, don, want, preacher, heaven, said, t, grace, go, jesus, evil, know, i, thing, whi, do, yes, prais, told, let, got, say, will",0.0376913265338,0.0242067460086,1.0,0.0,0.583836546156,0.695763030418,0.652990482279,Shepherd,4,4.0,3.64993714464
4,Shepherd_test9,10,26.667361021,"s, christ, sin, ask, worship, get, pray, don, want, know, t, ill, let, god, save, said, forgiv, grace, jesus, hope, preacher, i, lord, do, thing, should, gift, say, whi, got",0.0302285624838,0.0220135968802,0.9,0.1,0.601021044943,0.670722008359,0.636864575814,Shepherd,4,4.67142857143,4.30616357118
5,Shepherd_test21,10,28.3139920235,"s, get, don, christ, want, preacher, preach, t, ill, know, said, heaven, jesus, go, i, christma, rememb, baptiz, better, ask, let, god, didn, lord, say, sin, faith, think, someth, tell",0.0316256179303,0.0202305167061,0.9,0.1,0.581990386836,0.675490876221,0.61612587555,Shepherd,4,4.0,4.09181124028
6,Shepherd_test0,10,28.6782419682,"s, thank, don, christ, ill, want, get, sin, god, know, t, said, bless, thing, i, go, ask, preacher, expect, whi, hurt, didn, everyth, walk, someon, spirit, say, do, tell, how",0.0332003085027,0.0204857700335,0.9,0.1,0.595048637334,0.692950014972,0.599070922123,Shepherd,4,4.0,4.01193363767
9,Shepherd_test10,10,24.9939050674,"s, get, christ, ill, want, don, t, ask, said, sin, gospel, god, i, thing, go, say, rememb, got, grace, preach, jesus, know, do, idl, someon, encourag, let, think, lord, told",0.0328097773136,0.0212181101987,0.7,0.3,0.660304527395,0.645598336515,0.659831235497,Shepherd,4,4.08365384615,4.16860886186
15,Shepherd_test20,10,27.980987072,"s, don, get, want, t, said, ill, know, let, thing, lord, christ, say, god, i, jesus, do, should, didn, someon, go, tell, ask, will, preach, think, good, whi, talk, listen",0.0309547336329,0.0217813856146,0.7,0.3,0.558477285103,0.658978469826,0.680109444138,Shepherd,4,3.71578947368,4.102795625
16,Shepherd_test6,10,25.8261320591,"s, sin, evil, want, get, elder, god, bad, christ, know, happen, nt, love, kind, ill, whi, ask, should, say, do, said, don, let, thing, will, someon, burden, i, go, t",0.0305835437087,0.0287775494659,0.6,0.4,0.647199354444,0.702852754282,0.614566152991,Shepherd,4,2.8,4.23120667134
21,Shepherd_test16,10,29.8386487961,"christ, s, want, don, get, sin, ill, god, say, said, ask, t, know, preach, preacher, heaven, go, i, lord, will, let, whi, jesus, pray, repli, thank, told, should, do, thing",0.0326087568255,0.0203729870164,0.7,0.3,0.584726813375,0.655871622506,0.638403318448,Shepherd,4,4.0,4.07024834542
23,Shepherd_test19,10,23.9696080685,"s, christ, want, get, t, don, sin, pray, ask, said, preach, jesus, let, ill, got, god, say, thing, whi, someon, do, i, know, talk, good, tell, ve, should, someth, if",0.0314057230946,0.0201347549967,0.8,0.2,0.549925233133,0.625976388388,0.57277598578,Shepherd,4,4.01578947368,3.92032120481
30,Shepherd_test14,10,25.6595191956,"s, don, t, ask, want, get, didn, ill, sin, christ, said, preacher, go, i, dad, fill, spirit, bless, let, say, thing, know, better, kid, thank, do, god, love, preach, too",0.027867958296,0.0229825980551,0.7,0.3,0.584812766232,0.642020461936,0.699462851423,Shepherd,4,4.08245614035,4.03304825811
31,Shepherd_test4,10,27.4671809673,"s, don, get, sin, ill, t, know, said, want, christ, ask, god, jesus, love, re, walk, let, better, say, someon, think, will, thing, i, anyth, feel, bless, look, everyth, ve",0.0328145455892,0.0262449909695,0.8,0.2,0.582504949417,0.645512000311,0.631353126965,Shepherd,4,3.7,3.96812003134
32,Shepherd_test8,10,27.2151300907,"s, get, christ, want, know, ask, ill, thing, don, said, go, lord, mind, look, t, happen, preacher, i, will, got, do, say, talk, jesus, whi, tell, someth, god, think, door",0.0320036034492,0.0198591054913,0.9,0.1,0.630925947857,0.672879002665,0.691347790867,Shepherd,4,4.31875,4.0611241713
34,Shepherd_test3,10,25.3227059841,"s, sin, grace, christ, get, god, jesus, don, said, know, evil, let, everyth, thing, i, preacher, ask, t, want, ill, pray, will, better, do, say, lord, prayer, save, someon, tempt",0.0324005763106,0.0260611215107,0.7,0.3,0.609498372265,0.6425171011,0.534444062327,Shepherd,4,3.7,3.85352865077
37,Shepherd_test13,10,25.8596508503,"s, get, ask, don, sin, t, said, jesus, want, ill, christ, know, god, preacher, will, heaven, rememb, i, didn, humbl, lord, someon, say, go, foolish, save, re, thing, dad, noth",0.0324006995184,0.0263845413021,0.7,0.3,0.580194949473,0.67199704884,0.588946837371,Shepherd,4,3.7,4.08111235044
45,Shepherd_test1,10,28.4909379482,"s, christ, god, don, t, ask, get, want, prais, know, lord, said, listen, ill, sin, thing, heaven, whi, car, i, go, everyth, disappoint, jesus, will, love, look, bad, think, say",0.0319076732542,0.0231962162824,0.8,0.2,0.553799554097,0.725992142187,0.611164767989,Shepherd,4,4.1,3.9288106679
49,Shepherd_test11,10,25.8903830051,"s, christ, want, ill, don, get, t, ask, god, let, love, thing, said, preacher, know, jesus, lord, say, bless, someth, good, i, talk, evil, go, will, mistak, righteous, got, think",0.0336025083762,0.0244206225413,0.9,0.1,0.637774806786,0.693611769313,0.670155053674,Shepherd,4,4.05625,4.1134673042
55,Shepherd_test18,10,23.4163389206,"s, don, get, ask, t, know, want, say, judg, thing, god, lord, thank, whi, ill, eat, christ, someth, said, i, preach, love, preacher, let, do, sunday, pray, spirit, will, re",0.0311537544678,0.0170277588398,1.0,0.0,0.608265856523,0.644421398772,0.628143505871,Shepherd,4,5.1,4.37292705961
58,Shepherd_test7,10,24.1589519978,"s, get, ask, t, car, don, know, love, want, ill, christ, said, god, thing, sin, whi, happen, must, i, didn, should, heaven, do, go, deacon, say, will, think, better, baptiz",0.0329006852301,0.0201856467342,0.8,0.2,0.602969161723,0.672887593062,0.718486893177,Shepherd,4,4.0,3.96880978556
63,Shepherd_test17,10,25.6532950401,"s, don, bless, thank, judg, preach, whi, get, grace, ask, god, christ, t, bad, love, know, said, gift, want, talk, i, say, lord, thing, look, ill, eat, someon, good, sin",0.0348095157766,0.021048587559,0.8,0.2,0.603339156582,0.623978098592,0.596901347644,Shepherd,4,4.4,3.76999606059
66,Shepherd_test2,10,28.1984460354,"s, trust, rememb, christ, get, god, ill, say, devil, don, want, will, satan, i, thing, someon, said, lord, jesus, got, pay, know, happen, go, tri, preacher, sunday, let, someth, re",0.0315535782466,0.0260723885385,0.5,0.5,0.64479840395,0.697134932248,0.649573483964,Shepherd,4,3.4375,3.77945363803
71,Shepherd_test12,10,25.5762159824,"s, christ, don, t, love, ask, pray, get, ill, want, said, know, let, someon, i, happi, god, hope, done, sin, thing, dad, tell, say, rememb, money, heaven, whi, do, someth",0.0369818289772,0.0210887915674,1.0,0.0,0.55575832509,0.685856876297,0.640235571213,Shepherd,4,4.4,3.69568627321
72,Shepherd_test5,10,25.6320459843,"s, don, sin, christ, get, t, ill, god, say, said, lord, ask, love, know, want, thing, worri, someon, i, do, jesus, confid, someth, whi, think, anyth, righteous, save, will, let",0.03484444594,0.0256187570745,0.8,0.2,0.558690641637,0.648227580863,0.61028309638,Shepherd,4,4.0,4.04566653939
73,DorothyDay_test8,10,23.0494990349,"get, worker, labor, room, too, strike, love, christ, go, farm, talk, done, job, night, cloth, fr, silenc, poverti, am, want, say, parish, comfort, street, morn, bread, thing, maurin, theophan, ask",0.0272180181431,0.0214267154781,0.8,0.2,0.684684291158,0.739837561495,0.629479328985,DorothyDay,4,4.35567765568,4.47487678985
75,DorothyDay_test13,10,17.5684719086,"worker, love, too, get, want, tri, hospit, go, farm, i, room, am, told, christma, know, girl, strike, look, cathol, street, job, ask, tree, how, god, away, visit, maurin, sex, talk",0.0278760598172,0.0197052582095,0.7,0.3,0.749329594236,0.756235932259,0.76836793882,DorothyDay,4,3.50909090909,4.5523589143
76,DorothyDay_test3,10,22.1041898727,"poverti, talk, get, too, worker, joy, room, farm, night, am, love, tri, i, want, go, priest, comfort, say, visit, told, poor, maurin, meet, know, fr, unemploy, thing, cloth, pray, solzhenitsin",0.0257995941841,0.0187532625929,0.8,0.2,0.691280419181,0.782603444115,0.663998712192,DorothyDay,4,3.47931034483,3.77344537461
88,DorothyDay_test23,10,19.884016037,"worker, strike, want, get, labor, room, farm, go, too, talk, negro, girl, retreat, will, love, care, done, fr, paper, pray, door, peter, hard, must, comfort, bread, heard, month, christ, say",0.0248510199119,0.0219109828893,0.5,0.5,0.703598062202,0.794430165101,0.767097420906,DorothyDay,4,3.8,3.3062149882
89,DorothyDay_test16,10,15.5930600166,"get, worker, too, room, fr, want, floor, farm, poor, maurin, job, go, christ, tri, love, hospit, keep, done, look, say, tell, morn, ask, wish, door, talk, month, night, mari, cloth",0.0237391294717,0.0218573841088,0.6,0.4,0.689218618625,0.744926296882,0.68388368982,DorothyDay,4,4.06476856477,3.47232898134
90,DorothyDay_test6,10,18.1209030151,"worker, retreat, talk, labor, get, farm, must, room, fidel, hope, cathol, too, go, priest, tri, say, i, hospit, let, spoke, penanc, love, care, will, tree, told, know, steel, peter, cooper",0.0257489682334,0.0206883227033,0.8,0.2,0.669709500024,0.772111408738,0.724005928306,DorothyDay,4,2.94615384615,3.11571804776
91,DorothyDay_test11,10,20.9460680485,"love, talk, get, sin, tri, worker, fr, retreat, too, want, room, god, say, thing, go, peter, prayer, am, pay, done, i, night, must, ask, priest, eat, labor, let, farm, hard",0.0286106074478,0.0236853335447,0.7,0.3,0.680443903147,0.733362564503,0.693568798581,DorothyDay,4,3.55524475524,3.54953709092
92,DorothyDay_test1,10,21.1682348251,"get, worker, farm, fr, tri, talk, maurin, room, poverti, night, priest, peter, say, too, bed, am, go, i, hospit, know, pay, want, stjoseph, rememb, ownership, negro, love, cathol, hous, job",0.0248990315232,0.0190325268188,0.7,0.3,0.728957040729,0.737566553218,0.767704841681,DorothyDay,4,3.60909090909,3.90412802447
93,DorothyDay_test18,10,18.8507070541,"get, ammon, worker, poverti, am, farm, talk, too, room, know, larri, want, say, joy, go, love, babi, i, care, priest, night, fr, thing, voluntari, ask, rememb, maurin, shall, hospit, month",0.0238617968392,0.0204580534067,0.7,0.3,0.713716202824,0.750143025302,0.749790449751,DorothyDay,4,3.80909090909,3.60338393968
104,DorothyDay_test21,10,20.2761678696,"get, too, worker, tri, night, poverti, talk, maurin, fr, destitut, love, say, dollar, job, i, am, littl, got, street, joy, friday, done, hope, stay, room, addict, away, farm, suffer, poor",0.0270900339414,0.0234733856971,0.5,0.5,0.697997039319,0.731570774297,0.715076271349,DorothyDay,4,3.43143523144,3.16870307689
