,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,19.1507279873,"s, don, christ, get, preacher, t, thank, ask, said, god, ill, go, preach, say, i, want, sin, christma, bless, happen, thing, love, know, let, prais, evil, lord, should, will, got",0.0311044869152,0.019955100813,0.9,0.1,179.4,0.590465291288,0.631694884304,0.619446844052,Shepherd,4,3.96086956522,4.4116779778
4,Shepherd_test9,10,17.6659119129,"s, christ, get, don, walk, love, judg, want, know, ill, said, sin, ask, say, god, jesus, t, go, rememb, let, got, lord, i, do, someon, will, think, pray, someth, wrong",0.0290961122282,0.0271103043767,0.6,0.4,155.4,0.639078209893,0.62119441728,0.599337107038,Shepherd,4,4.6,4.64817508493
6,Shepherd_test0,10,20.1014409065,"s, get, don, t, thing, know, love, said, want, thank, christ, ask, whi, ill, i, bad, evil, wrong, disagr, better, talk, go, ll, jesus, lord, think, should, good, didn, sin",0.0359819660874,0.0199207403969,0.9,0.1,193.0,0.577987098082,0.606226213961,0.617609859815,Shepherd,4,3.96086956522,3.99752942503
9,Shepherd_test10,10,17.504368782,"don, s, get, want, sin, t, worri, car, ask, ill, said, christ, i, think, god, know, thing, say, go, heaven, lord, bless, someth, someon, do, will, didn, jesus, anyth, thank",0.031963053693,0.0225161923687,0.9,0.1,167.3,0.596021397165,0.569090239617,0.623995353011,Shepherd,4,4.01595744681,4.06452304758
16,Shepherd_test20,10,18.8139629364,"s, get, don, pray, ask, ill, sin, god, love, want, wisdom, t, say, said, mind, thing, christ, prayer, will, go, trust, let, lord, i, know, sing, tell, preacher, good, do",0.0353275819484,0.0216805854945,0.8,0.2,174.7,0.596648444948,0.584993117855,0.619715910996,Shepherd,4,4.01595744681,3.89252222852
17,Shepherd_test6,10,16.8021101952,"s, love, worship, don, christ, want, preacher, get, know, ill, ask, preach, whi, said, i, t, god, let, trust, go, thing, do, faith, lord, say, good, sunday, will, anyon, tell",0.0360332033894,0.0154508626659,1.0,0.0,156.2,0.636700691414,0.591616774215,0.66902707342,Shepherd,4,4.03125,3.99365555911
21,Shepherd_test16,10,18.8154881001,"get, s, don, job, want, t, ill, ask, said, know, christ, god, lord, preacher, merci, go, do, look, thing, didn, will, i, bad, trust, someth, told, everyth, whi, pray, wrong",0.0287891156028,0.0238015122231,0.6,0.4,169.9,0.613898957368,0.586881507087,0.592820534597,Shepherd,4,4.01595744681,4.16433692388
24,Shepherd_test19,10,15.7707359791,"s, get, ask, sin, talk, god, want, evil, said, say, know, ill, christ, someon, whi, i, jesus, lord, someth, love, thing, t, don, got, complain, go, too, dont, listen, do",0.0304261554162,0.0282473207365,0.5,0.5,134.3,0.638114771662,0.615380282726,0.639925112248,Shepherd,4,4.0,4.04697807777
31,Shepherd_test14,10,17.3713989258,"s, don, get, christ, t, want, know, let, said, go, sin, ill, bad, thing, i, do, talk, prepar, ve, god, re, ask, listen, think, whi, tri, tell, happen, say, will",0.0316847609802,0.0229665399638,0.7,0.3,162.1,0.622727198961,0.617454821731,0.603380216999,Shepherd,4,4.01595744681,4.28750573741
32,Shepherd_test4,10,16.2698478699,"sin, love, s, don, god, know, want, devil, t, wrath, get, ask, jesus, said, christ, preacher, say, thing, evil, ill, someth, happen, didn, whi, do, go, satan, bad, hell, i",0.0325112530536,0.0358090675623,0.4,0.6,146.1,0.607833052628,0.611803801769,0.57327806939,Shepherd,4,3.4,3.79420523297
